teamName,playoff_games_played,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_count,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_L,playoff_W,playoff_win_pct,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_count,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_L,regular_season_T,regular_season_W,regular_season_win_pct,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_count,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_L,home_T,home_W,home_win_pct,home_run_diff_total,home_run_diff_mean,away_games_played,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_count,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_L,away_T,away_W,away_win_pct,away_run_diff_total,away_run_diff_mean
Ann Arbor Pioneer,1,1.0,1.0,1.0,1,5.0,5.0,5.0,1.0,0.0,0.0,-4.0,-4.0,34,4.676470588235294,3.0,159.0,34,6.617647058823529,6.0,225.0,22.0,24.0,12.0,0.35294117647058826,-66.0,-1.9411764705882346,15,5.4,4.0,81.0,15,7.133333333333334,7.0,107.0,10.0,9.0,5.0,0.3333333333333333,-26.0,-1.7333333333333334,19,4.105263157894737,3.0,78.0,19,6.2105263157894735,6.0,118.0,12.0,15.0,7.0,0.3684210526315789,-40.0,-2.1052631578947363
Ann Arbor Skyline,4,5.25,6.0,21.0,4,3.5,3.5,14.0,1.0,3.0,0.75,7.0,1.75,28,6.75,5.5,189.0,28,5.107142857142857,4.0,143.0,14.0,23.0,14.0,0.5,46.0,1.6428571428571432,13,5.076923076923077,6.0,66.0,13,5.230769230769231,4.0,68.0,7.0,12.0,6.0,0.46153846153846156,-2.0,-0.1538461538461542,15,8.2,5.0,123.0,15,5.0,4.0,75.0,7.0,11.0,8.0,0.5333333333333333,48.0,3.1999999999999993
Armada,1,2.0,2.0,2.0,1,4.0,4.0,4.0,1.0,0.0,0.0,-2.0,-2.0,23,5.739130434782608,3.0,132.0,23,5.3478260869565215,4.0,123.0,11.0,10.0,12.0,0.5217391304347826,9.0,0.3913043478260869,13,6.615384615384615,3.0,86.0,13,5.6923076923076925,4.0,74.0,5.0,5.0,8.0,0.6153846153846154,12.0,0.9230769230769225,10,4.6,3.5,46.0,10,4.9,4.0,49.0,6.0,5.0,4.0,0.4,-3.0,-0.3000000000000007
Ashley,1,1.0,1.0,1.0,1,2.0,2.0,2.0,1.0,0.0,0.0,-1.0,-1.0,3,2.6666666666666665,2.0,8.0,3,12.0,12.0,36.0,3.0,12.0,0.0,0.0,-28.0,-9.333333333333334,3,2.6666666666666665,2.0,8.0,3,12.0,12.0,36.0,3.0,4.0,0.0,0.0,-28.0,-9.333333333333334,0,,,0.0,0,,,0.0,0.0,8.0,0.0,,0.0,
Athens,1,2.0,2.0,2.0,1,12.0,12.0,12.0,1.0,0.0,0.0,-10.0,-10.0,5,2.0,0.0,10.0,5,15.6,15.0,78.0,5.0,20.0,0.0,0.0,-68.0,-13.6,3,0.0,0.0,0.0,3,17.333333333333332,16.0,52.0,3.0,10.0,0.0,0.0,-52.0,-17.333333333333332,2,5.0,5.0,10.0,2,13.0,13.0,26.0,2.0,10.0,0.0,0.0,-16.0,-8.0
Atlanta,1,0.0,0.0,0.0,1,16.0,16.0,16.0,1.0,0.0,0.0,-16.0,-16.0,5,9.6,10.0,48.0,5,3.6,3.0,18.0,2.0,24.0,3.0,0.6,30.0,6.0,0,,,0.0,0,,,0.0,0.0,18.0,0.0,,0.0,,5,9.6,10.0,48.0,5,3.6,3.0,18.0,2.0,6.0,3.0,0.6,30.0,6.0
Au Gres-Sims,3,8.666666666666666,11.0,26.0,3,3.0,3.0,9.0,1.0,2.0,0.6666666666666666,17.0,5.666666666666666,24,5.625,4.0,135.0,24,9.833333333333334,10.0,236.0,15.0,2.0,9.0,0.375,-101.0,-4.208333333333334,15,5.933333333333334,4.0,89.0,15,8.666666666666666,8.0,130.0,7.0,0.0,8.0,0.5333333333333333,-41.0,-2.7333333333333325,9,5.111111111111111,2.0,46.0,9,11.777777777777779,11.0,106.0,8.0,2.0,1.0,0.1111111111111111,-60.0,-6.666666666666668
Auburn Hills Avondale,2,2.5,2.5,5.0,2,9.0,9.0,18.0,1.0,1.0,0.5,-13.0,-6.5,6,7.166666666666667,5.5,43.0,6,4.333333333333333,4.0,26.0,2.0,28.0,4.0,0.6666666666666666,17.0,2.833333333333334,3,3.6666666666666665,2.0,11.0,3,3.0,4.0,9.0,1.0,10.0,2.0,0.6666666666666666,2.0,0.6666666666666665,3,10.666666666666666,13.0,32.0,3,5.666666666666667,6.0,17.0,1.0,18.0,2.0,0.6666666666666666,15.0,4.999999999999999
Auburn Hills Oakland Christian,3,7.666666666666667,6.0,23.0,3,5.333333333333333,5.0,16.0,1.0,2.0,0.6666666666666666,7.0,2.333333333333334,13,6.461538461538462,6.0,84.0,13,5.230769230769231,5.0,68.0,8.0,25.0,5.0,0.38461538461538464,16.0,1.2307692307692308,3,9.333333333333334,9.0,28.0,3,8.333333333333334,5.0,25.0,1.0,16.0,2.0,0.6666666666666666,3.0,1.0,10,5.6,5.0,56.0,10,4.3,4.0,43.0,7.0,9.0,3.0,0.3,13.0,1.2999999999999998
Bad Axe,3,5.666666666666667,7.0,17.0,3,5.333333333333333,5.0,16.0,1.0,2.0,0.6666666666666666,1.0,0.3333333333333339,25,6.48,7.0,162.0,25,3.52,2.0,88.0,4.0,2.0,21.0,0.84,74.0,2.9600000000000004,13,6.3076923076923075,7.0,82.0,13,4.3076923076923075,3.0,56.0,2.0,0.0,11.0,0.8461538461538461,26.0,2.0,12,6.666666666666667,5.5,80.0,12,2.6666666666666665,2.0,32.0,2.0,2.0,10.0,0.8333333333333334,48.0,4.0
Bangor,1,0.0,0.0,0.0,1,15.0,15.0,15.0,1.0,0.0,0.0,-15.0,-15.0,17,0.9411764705882353,0.0,16.0,17,17.176470588235293,17.0,292.0,17.0,15.0,0.0,0.0,-276.0,-16.235294117647058,9,1.1111111111111112,0.0,10.0,9,18.11111111111111,18.0,163.0,9.0,13.0,0.0,0.0,-153.0,-17.0,8,0.75,0.0,6.0,8,16.125,16.0,129.0,8.0,2.0,0.0,0.0,-123.0,-15.375
Bark River-Harris,2,3.5,3.5,7.0,2,11.0,11.0,22.0,1.0,1.0,0.5,-15.0,-7.5,20,6.4,4.5,128.0,20,5.1,4.5,102.0,10.0,9.0,10.0,0.5,26.0,1.3000000000000007,8,7.5,7.5,60.0,8,4.25,4.0,34.0,4.0,5.0,4.0,0.5,26.0,3.25,12,5.666666666666667,4.0,68.0,12,5.666666666666667,6.5,68.0,6.0,4.0,6.0,0.5,0.0,0.0
Bath,1,1.0,1.0,1.0,1,11.0,11.0,11.0,1.0,0.0,0.0,-10.0,-10.0,17,1.7647058823529411,1.0,30.0,17,10.882352941176471,12.0,185.0,16.0,7.0,1.0,0.058823529411764705,-155.0,-9.117647058823529,6,2.6666666666666665,1.5,16.0,6,8.833333333333334,10.0,53.0,5.0,2.0,1.0,0.16666666666666666,-37.0,-6.166666666666668,11,1.2727272727272727,1.0,14.0,11,12.0,14.0,132.0,11.0,5.0,0.0,0.0,-118.0,-10.727272727272727
Battle Creek Central,1,0.0,0.0,0.0,1,15.0,15.0,15.0,1.0,0.0,0.0,-15.0,-15.0,3,1.0,1.0,3.0,3,12.666666666666666,13.0,38.0,3.0,31.0,0.0,0.0,-35.0,-11.666666666666666,2,1.0,1.0,2.0,2,15.5,15.5,31.0,2.0,16.0,0.0,0.0,-29.0,-14.5,1,1.0,1.0,1.0,1,7.0,7.0,7.0,1.0,15.0,0.0,0.0,-6.0,-6.0
Battle Creek Harper Creek,1,1.0,1.0,1.0,1,7.0,7.0,7.0,1.0,0.0,0.0,-6.0,-6.0,23,5.217391304347826,3.0,120.0,23,5.826086956521739,5.0,134.0,11.0,9.0,10.0,0.43478260869565216,-14.0,-0.6086956521739131,12,6.333333333333333,3.0,76.0,12,4.0,3.0,48.0,4.0,3.0,6.0,0.5,28.0,2.333333333333333,11,4.0,3.0,44.0,11,7.818181818181818,7.0,86.0,7.0,6.0,4.0,0.36363636363636365,-42.0,-3.8181818181818183
Battle Creek Lakeview,6,6.666666666666667,7.0,40.0,6,2.6666666666666665,1.5,16.0,1.0,5.0,0.8333333333333334,24.0,4.0,28,9.142857142857142,10.0,256.0,28,3.5357142857142856,3.0,99.0,6.0,22.0,22.0,0.7857142857142857,157.0,5.607142857142857,22,8.0,8.5,176.0,22,3.6818181818181817,3.0,81.0,6.0,15.0,16.0,0.7272727272727273,95.0,4.318181818181818,6,13.333333333333334,13.0,80.0,6,3.0,2.0,18.0,0.0,7.0,6.0,1.0,62.0,10.333333333333334
