team,division,district,nickname,color1,color2,color3,color4,score
Lake Odessa Lakewood,2,48,Vikings,Navy Blue , White,,,100
Olivet,2,48,Eagles,Green , White,,,100
Ann Arbor Father Gabriel Richard,2,49,Irish,Green , White,,,100
Chelsea,2,49,Bulldogs,Blue , Gold,,,100
Mason,2,49,Bulldogs,Blue , Red,,,100
Pinckney,2,49,Pirates,Red,Black,White,,100
Adrian,2,50,Maples,Royal Blue , White,,,100
Waldron,4,119,Maples,Royal Blue , White,,,62
Dundee,2,50,Vikings,Royal Blue , White,,,100
Milan,2,50,Big Reds,Red , Black,,,100
Tecumseh,2,50,Indians,Orange , Black,,,100
Carleton Airport,2,51,Jets,Navy Blue , Gold,,,100
Flat Rock,2,51,Rams,Green , Gold,,,100
Monroe Jefferson,2,51,Bears,Royal Blue , Gold,,,100
New Boston Huron,2,51,Chiefs,Red , White,,,100
Grosse Ile,2,52,Red Devils,Scarlet , Gray,,,100
Riverview,2,52,Pirates,Maroon , Gold,,,100
Romulus,2,52,Eagles,Maroon , White,,,100
Romulus Summit Academy North,2,52,Dragons,Teal , Black,,,100
Trenton,2,52,Trojans,Blue , Gold,,,100
Dearborn Divine Child,2,53,Falcons,Red , Gray,,,100
Dearborn Heights Annapolis,2,53,Cougars,Blue , Gold,,,100
Dearborn Henry Ford Academy,2,53,Navigators,Royal Blue , Silver,,,100
Melvindale,2,53,Cardinals,Red , White,,,100
Detroit Cody,2,54,Comets,Green , Gray,,,100
Detroit Henry Ford,2,54,Trojans,Brown , Gold,,,100
Redford Union,2,54,Panthers,Blue , Gold,,,100
Detroit University Prep,2,55,Panthers,Black,Red,White,,100
Detroit Denby,2,56,Tars,Blue , Gold,,,100
Detroit East English,2,56,Bulldogs,Maize , Blue,,,100
Grosse Pointe Woods University Liggett,2,56,Knights,Red , Navy,,,100
Harper Woods Chandler Park,2,56,Eagles,Navy Blue , White,,,100
St Clair Shores South Lake,2,56,Cavaliers,Royal Blue , Gold,,,100
Center Line,2,57,Panthers,Orange , Black,,,100
Watervliet,3,73,Panthers,Orange , Black,,,57
Eastpointe,2,57,Shamrocks,Green , White,,,100
Hazel Park,2,57,Vikings,Maroon , Grey,,,100
Madison Heights Lamphere,2,57,Rams,Blue , White,,,100
Macomb Lutheran North,2,58,Mustangs,Black , Gold,,,100
Marine City,2,58,Mariners,Orange , Black,,,100
Marysville,2,58,Vikings,Navy , White,,,100
Richmond,2,58,Blue Devils,Navy,White,Columbia Blue,,100
St Clair,2,58,Saints,Scarlet Red , Royal Blue,,,100
Armada,2,59,Tigers,Orange , Black,,,100
Croswell-Lexington,2,59,Pioneers,Royal Blue , White,,,100
Imlay City,2,59,Spartans,Royal Blue , Athletic Gold,,,100
North Branch,2,59,Broncos,Blue , White,,,100
Yale,2,59,Bulldogs,Navy , White,,,100
Bloomfield Hills Cranbrook Kingswood,2,60,Cranes,Blue , Green,,,100
Detroit Country Day,2,60,Yellowjackets,Blue , Gold,,,100
Goodrich,2,60,Martians,Blue , Gold,,,100
Ortonville Brandon,2,60,Blackhawks,Royal Blue , White,,,100
Unionville-Sebewaing,4,122,Blackhawks,Royal Blue , White,,,58
Pontiac Notre Dame Prep,2,60,Fighting Irish,Forest Green,Vegas Gold,White,,100
Fowlerville,2,61,Gladiators,Purple , Gold,,,100
Haslett,2,61,Vikings,Blue , Gold,,,100
Lansing Eastern,2,61,Quakers,Blue , Gold,,,100
Lansing Sexton,2,61,Big Reds,Red , White,,,100
Williamston,2,61,Hornets,Green , White,,,100
Corunna,2,62,Cavaliers,Black , Gold,,,100
Flint Powers Catholic,2,62,Chargers,Blue , Orange,,,100
Lake Fenton,2,62,Blue Devils,Royal Blue , White,,,100
Linden,2,62,Eagles,Red,Black,White,,100
Owosso,2,62,Trojans,Blue , Gold,,,100
Birch Run,2,63,Panthers,Blue , Gold,,,100
Clio,2,63,Mustangs,Orange , Black,,,100
Flint Hamady,2,63,Hawks,Columbia Blue , White,,,100
Flint Kearsley,2,63,Hornets,Royal Blue , Gold,,,100
Frankenmuth,2,63,Eagles,Red , Gray,,,100
Bridgeport,2,64,Bearcats,Red,Gold,White,,100
Carrollton,2,64,Cavaliers,Red,Black,White,,100
Saginaw Arthur Hill,2,64,Lumberjacks,Navy , Gold,,,100
Saginaw Swan Valley,2,64,Vikings,Purple , White,,,100
Calumet,3,65,Copper Kings,Blue , Grey,,,100
Hancock,3,65,Bulldogs,Crimson , Gold,,,100
Iron Mountain,3,65,Mountaineers,Black , Gold,,,100
Ishpeming Westwood,3,65,Patriots,Red,White,Blue,,100
Negaunee,3,65,Miners,Maize , Blue,,,100
Eben Junction Superior Central,3,66,Cougars,Blue , Silver,,,100
Gladstone,3,66,Braves,Purple , White,,,100
Manistique,3,66,Emeralds,Green , White,,,100
Menominee,3,66,Maroons,Maroon , White,,,100
Newberry,3,66,Indians,Orange , Black,,,100
Boyne City,3,67,Ramblers,Scarlet , Navy,,,100
Union City,3,82,Ramblers,Scarlet , Navy,,,70
Charlevoix,3,67,Rayders,Maroon , White,,,100
Elk Rapids,3,67,Elks,Orange , Black,,,100
Kalkaska,3,67,Blazers,Blue , White,,,100
Mancelona,3,67,Ironmen,Orange , Black,,,100
Grayling,3,68,Vikings,Green , White,,,100
Houghton Lake,3,68,Bobcats,Green , White,,,100
Lake City,3,68,Trojans,Red , Black,,,100
McBain,3,68,Ramblers,Green , Gold,,,100
Roscommon,3,68,Bucks,Blue , Gold,,,100
Hart,3,69,Pirates,Red , White,,,100
Hesperia,3,69,Panthers,Green , White,,,100
Mason County Central,3,69,Spartans,Royal Blue , Gold,,,100
Morley Stanwood,3,69,Mohawks,Blue , Gold,,,100
Shelby,3,69,Tigers,Purple , White,,,100
