Division,Host / Field Name,Plot Note,Map Link MHSAA,District_#,District Host?,Regional Host?,Column8
Division,Host,,Location,District,District Host ,,
4,Gaylord St Mary,y,"http://maps.google.com/maps?q=Gaylord St Mary, 321 N Otsego Ave  Gaylord, MI 49735",102,y,,
4,Hillman,y,"http://maps.google.com/maps?q=Hillman H.S. - Baseball,   Hillman, MI ",103,y,,
4,Alcona,x,"http://maps.google.com/maps?q=Alcona High School - Baseball,   Alcona, MI ",104,y,,
4,Frankfort,y,"http://maps.google.com/maps?q=Lockhart Field, 534 11th Street  Frankfort, MI ",105,y,,
4,Marion,y,"http://maps.google.com/maps?q=Marion Athletic Complex - Baseball, 2213 20 Mile Rd.  Marion, MI ",106,y,,
4,Brethren,not done. Cant find,"http://maps.google.com/maps?q=Brethren, 4400 N High Bridge Rd  Brethren, MI 49619",107,y,,
4,Muskegon Western Michigan Christian,y,"http://maps.google.com/maps?q=Warrior Field, 455 E Ellis Rd  Norton Shores, MI 49442",108,y,,
4,Beal City,y,"http://maps.google.com/maps?q=Beal City High School - Baseball,   Mt. Pleasant-Beal City, MI ",109,y,,
4,Breckenridge,y,"http://maps.google.com/maps?q=Breckenridge Community Schools - Baseball, 515 E. Summit Street  Breckenridge, MI ",110,y,,
4,Fowler,y,"http://maps.google.com/maps?q=Fowler High School, 700 S Main  Fowler, MI 48835",111,y,,
4,Lansing Christian,y,"http://maps.google.com/maps?q=Lansing Christian High School, 3405 Belle Chase Way  Lansing, MI 0",112,y,,
4,New Buffalo,y,"http://maps.google.com/maps?q=Slater Field, 1112 E. Clay St.  New Buffalo, MI ",113,y,,
4,Lawrence,y,"http://maps.google.com/maps?q=Lawrence Fields, 650 W. St. Joseph St.  Lawrence, MI ",114,y,,
4,Martin,y,"http://maps.google.com/maps?q=Martin Baseball Field, 1556 Chalmers Street  Martin, MI ",115,y,,
4,Mendon,y,"http://maps.google.com/maps?q=Mendon High School, 148 Kirby Road  Mendon, MI ",116,y,,
4,Colon,y,"http://maps.google.com/maps?q=Colon MS/HS Athletic COmplex, 400 Dallas St.  Colon, MI ",117,y,,
4,East Jackson,y,"http://maps.google.com/maps?q=East jackson - Baseball, 1566 n sutton rd  Jackson, MI ",118,y,,
4,North Adams-Jerome,y,"http://maps.google.com/maps?q=Trott Field, 4555 Knowles  North Adams, MI ",119,y,,
4,Morenci,y,"http://maps.google.com/maps?q=Morenci, 788 Coomer  Morenci, MI 49256",120,y,,
4,Harbor Beach,y,"http://maps.google.com/maps?q=Harbor Beach HS, 402 S Fifth  Harbor Beach, MI 48441",121,y,,
4,Kingston,y,"http://maps.google.com/maps?q=Kingston High School - Baseball, 5970 State St  Kingston, MI 48741",122,y,,
4,Peck,y,"http://maps.google.com/maps?q=Peck High School - Baseball,   Peck, MI ",123,y,,
4,Genesee,y,"http://maps.google.com/maps?q=Genesee, 7347 N Genesee Rd  Genesee, MI 48437",124,y,,
4,Sterling Heights Parkway Christian,y,"http://maps.google.com/maps?q=Parkway Christian School - Baseball,   Sterling Heights , MI ",125,y,,
4,Waterford Our Lady of the Lakes,not done - shitty field at address,"http://maps.google.com/maps?q=Our Lady of the Lakes - Baseball, 5481 Dixie Highway  Waterford, MI ",126,y,,
4,Riverview Gabriel Richard,y,"http://maps.google.com/maps?q=Gabriel Richard HS - Softball, 15325 Pennsylvania Rd  Riverview, MI ",127,y,,
4,Plymouth Christian Academy,y,"http://maps.google.com/maps?q=Stafford Field, 43065 Joy Road   Canton, MI ",128,y,,note
Division 1,Royal Oak -,y,http://maps.google.com/maps?q=Royal+Oak+1500+Lexington+Blvd++Royal+Oak%2c+MI+48073,,,y,not done
Division 1,Woodhaven High School - Baseball - Brownstown -,y,http://maps.google.com/maps?q=Woodhaven+High+School+-+Baseball+24787+Van+Horn+Rd++Brownstown%2c+MI+,,,y,x
