Division,District Host?,Regional Host?,district number,Host / Field Name,Plot Note,Map Link MHSAA,District_#,SF-FNL-HOST
4,y,,97,Painesdale Jeffers,no current imagery? - address is in middle of woods,"http://maps.google.com/maps?q=Stanton Baseball Field, Ball field road  Atlantic Mine, MI ",97,
4,y,,98,Norway,y,"http://maps.google.com/maps?q=Norway, 300 Section St  Norway, MI 49870",98,
4,y,,99,Rudyard,y,"http://maps.google.com/maps?q=Rudyard Township fields - Baseball, 11185 w. second st  rudyard, MI ",99,
4,y,,100,Harbor Springs,y,"http://maps.google.com/maps?q=Kosequat Field,   , MI ",100,
4,y,,101,Central Lake,y,"http://maps.google.com/maps?q=Central Lake Gymnasium, 3627 N. M-88  Central Lake, MI ",101,
4,y,,102,Gaylord St Mary,y,"http://maps.google.com/maps?q=Gaylord St Mary, 321 N Otsego Ave  Gaylord, MI 49735",102,
4,y,,103,Hillman,y,"http://maps.google.com/maps?q=Hillman H.S. - Baseball,   Hillman, MI ",103,
4,y,,104,Alcona,x,"http://maps.google.com/maps?q=Alcona High School - Baseball,   Alcona, MI ",104,
4,y,,105,Frankfort,y,"http://maps.google.com/maps?q=Lockhart Field, 534 11th Street  Frankfort, MI ",105,
4,y,,106,Marion,y,"http://maps.google.com/maps?q=Marion Athletic Complex - Baseball, 2213 20 Mile Rd.  Marion, MI ",106,
4,y,,107,Brethren,not done. Cant find,"http://maps.google.com/maps?q=Brethren, 4400 N High Bridge Rd  Brethren, MI 49619",107,
4,y,,108,Muskegon Western Michigan Christian,y,"http://maps.google.com/maps?q=Warrior Field, 455 E Ellis Rd  Norton Shores, MI 49442",108,
4,y,,109,Beal City,y,"http://maps.google.com/maps?q=Beal City High School - Baseball,   Mt. Pleasant-Beal City, MI ",109,
4,y,,110,Breckenridge,y,"http://maps.google.com/maps?q=Breckenridge Community Schools - Baseball, 515 E. Summit Street  Breckenridge, MI ",110,
4,y,,111,Fowler,y,"http://maps.google.com/maps?q=Fowler High School, 700 S Main  Fowler, MI 48835",111,
4,y,,112,Lansing Christian,y,"http://maps.google.com/maps?q=Lansing Christian High School, 3405 Belle Chase Way  Lansing, MI 0",112,
4,y,,113,New Buffalo,y,"http://maps.google.com/maps?q=Slater Field, 1112 E. Clay St.  New Buffalo, MI ",113,
4,y,,114,Lawrence,y,"http://maps.google.com/maps?q=Lawrence Fields, 650 W. St. Joseph St.  Lawrence, MI ",114,
4,y,,115,Martin,y,"http://maps.google.com/maps?q=Martin Baseball Field, 1556 Chalmers Street  Martin, MI ",115,
4,y,,116,Mendon,y,"http://maps.google.com/maps?q=Mendon High School, 148 Kirby Road  Mendon, MI ",116,
4,y,,117,Colon,y,"http://maps.google.com/maps?q=Colon MS/HS Athletic COmplex, 400 Dallas St.  Colon, MI ",117,
4,y,,118,East Jackson,y,"http://maps.google.com/maps?q=East jackson - Baseball, 1566 n sutton rd  Jackson, MI ",118,
4,y,,119,North Adams-Jerome,y,"http://maps.google.com/maps?q=Trott Field, 4555 Knowles  North Adams, MI ",119,
4,y,,120,Morenci,y,"http://maps.google.com/maps?q=Morenci, 788 Coomer  Morenci, MI 49256",120,
4,y,,121,Harbor Beach,y,"http://maps.google.com/maps?q=Harbor Beach HS, 402 S Fifth  Harbor Beach, MI 48441",121,
4,y,,122,Kingston,y,"http://maps.google.com/maps?q=Kingston High School - Baseball, 5970 State St  Kingston, MI 48741",122,
4,y,,123,Peck,y,"http://maps.google.com/maps?q=Peck High School - Baseball,   Peck, MI ",123,
4,y,,124,Genesee,y,"http://maps.google.com/maps?q=Genesee, 7347 N Genesee Rd  Genesee, MI 48437",124,
4,y,,125,Sterling Heights Parkway Christian,y,"http://maps.google.com/maps?q=Parkway Christian School - Baseball,   Sterling Heights , MI ",125,
4,y,,126,Waterford Our Lady of the Lakes,not done - shitty field at address,"http://maps.google.com/maps?q=Our Lady of the Lakes - Baseball, 5481 Dixie Highway  Waterford, MI ",126,
4,y,,127,Riverview Gabriel Richard,y,"http://maps.google.com/maps?q=Gabriel Richard HS - Softball, 15325 Pennsylvania Rd  Riverview, MI ",127,
4,y,,128,Plymouth Christian Academy,y,"http://maps.google.com/maps?q=Stafford Field, 43065 Joy Road   Canton, MI ",128,
Division 1,,y,,Royal Oak -,y,http://maps.google.com/maps?q=Royal+Oak+1500+Lexington+Blvd++Royal+Oak%2c+MI+48073,,
Division 1,,y,,Woodhaven High School - Baseball - Brownstown -,y,http://maps.google.com/maps?q=Woodhaven+High+School+-+Baseball+24787+Van+Horn+Rd++Brownstown%2c+MI+,,
Division 1,,y,,Warriors Park - Troy -,y,http://maps.google.com/maps?q=Warriors+Park+1525+Equity+Dr.++Troy%2c+MI+,,
Division 1,,y,,Hamtramck KEYWORTH STADIUM / PLAYFAIR PARK (Baseball Diamond) -,y,http://maps.google.com/maps?q=Hamtramck+KEYWORTH+STADIUM+%2f+PLAYFAIR+PARK+3201+Roosevelt+(%40+Gallagher)++Hamtramck%2c+MI+48212,,
Division 1,,y,,Wayne State University - Detroit -,y,http://maps.google.com/maps?q=Wayne+State+University+5101+John+C+Lodge++Detroit%2c+MI+48208,,
Division 1,,y,,Lakeland HS - Baseball - White Lake -,y,http://maps.google.com/maps?q=Lakeland+HS+-+Baseball+1630+Bogie+Lake+Road++White+Lake%2c+MI+,,
Division 1,,y,,Stevenson High School - Sterling Heights -,y,http://maps.google.com/maps?q=Stevenson+High+School+39701+Dodge+Park+Rd.++Sterling+Heights%2c+MI+,,
Division 1,,y,,Oxford High School - Baseball -,y,http://maps.google.com/maps?q=Oxford+High+School+-+Baseball+745+N.+Oxford+Rd++Oxford%2c+MI+,,
Division 1,,y,,Auburn Hills Avondale -,y,http://maps.google.com/maps?q=Auburn+Hills+Avondale+2800+Waukegan++Auburn+Hills%2c+MI+48326,,
Division 1,,y,,St Clair County Community College (Sanborn Park - Skippers Baseball Field) - Port Huron -,y,http://maps.google.com/maps?q=St+Clair+County+Community+College+1919+Sanborn+St++Port+Huron%2c+MI+48060,,
Division 1,,y,,Livonia Franklin -,y,http://maps.google.com/maps?q=Livonia+Franklin+31000+Joy+Rd++Livonia%2c+MI+48150,,
Division 1,,y,,DeWitt High School (Baseball Diamond) -,y,http://maps.google.com/maps?q=DeWitt+High+School+2957+West+Herbison+Road++DeWitt%2c+MI+48820,,
Division 1,,y,,Northville High School - Baseball -,y,http://maps.google.com/maps?q=Northville+High+School+-+Baseball+45700+W.+Six+Mile+Rd.++Northville%2c+MI+,,
Division 1,,y,,Saline High School - Baseball -,y,http://maps.google.com/maps?q=Saline+High+School+-+Baseball+1300+Campus+Parkway++Saline%2c+MI+,,
Division 1,,y,,Novi High School (Baseball Diamond) -,y,http://maps.google.com/maps?q=Novi+High+School+24062+Taft+Rd++Novi%2c+MI+48375,,
Division 1,,y,,Novi High School - Baseball -,y,http://maps.google.com/maps?q=Novi+High+School+-+Baseball+24062+Taft+Road++Novi%2c+MI+,,
