,Unnamed: 0.1,Unnamed: 0,field,level_x,foul_ft,fop_ft,foul_pct,h_lat,h_long,match,school_id,school_name,students,enrollment,division,hs_div,level,icon_field
206,,,Turtle Creek Stadium (Traverse City) ,,29643,109822,21.25,-85.6606873,44.6817024,,,,,3000,,,pro,
211,,,West Michigan Whitecaps ,,32999,111690,22.81,-85.659582,43.0402454,,,,,3000,,,pro,whitecaps
4,4,5,Antrim County -Touth - Lakeside Field,,106926,21536,83.24,-85.2806507,44.8649571,,,,,,,,youth,
56,56,77,Grand Ledge Bridge St (10u),,11531,37086,23.72,-84.7448975,42.7543876,,,,,,,,youth,
57,57,78,Grand Ledge Hayes (12u),,8452,43893,16.15,-84.7006386,42.7518189,,,,,,,,youth,
58,58,79,Grand Ledge JV,,23247,70057,24.92,-84.7588678,42.7462458,,,,,,,,youth,
103,103,139,Moose Lodge Field (14u),,10342,48686,17.52,-84.5978297,42.6602298,,,,,,,,youth,
156,,,Bay City All Saints Youth Field,,12857,31471,29,-83.8975504,43.55632,,,,,,,,youth,
158,,,Boyne City - Youth Field,,18057,83522,17.78,-85.0027986,45.2184825,,,,,,,,youth,
166,,,Decatur Youth Field,,10577,39318,21.2,-85.9858847,42.1126558,,,,,,,,youth,
173,,,Gladstone_youth,,10048,36434,21.62,-87.0393735,45.8605932,,,,,,,,youth,
175,,,GR West Catholic Youth Field,,13311,34313,27.95,-85.7121231,42.9958129,,,,,,,,youth,
178,,,Harbor Springs Youth 1,,6824,28913,19.1,-84.9743461,45.434841,,,,,,,,youth,
179,,,Harbor Springs Youth 2,,9685,37084,20.71,-84.9733378,45.43516,,,,,,,,youth,
185,,,Lincoln High - Ypsi - Youth 1,,9877,31203,24.04,-83.6149003,42.1607613,,,,,,,,youth,
186,,,Lincoln High - Ypsi - Youth 2,,9925,31324,24.06,-83.6143836,42.1607571,,,,,,,,youth,
189,,,Mendon Youth 1,,7531,23324,24.41,-85.4456151,42.0114783,,,,,,,,youth,
190,,,Mendon Youth 2,,8964,32827,21.45,-85.4460878,42.0112333,,,,,,,,youth,
192,,,Noway Youth 1,,17330,64305,21.23,-87.9014622,45.7904849,,,,,,,,youth,
193,,,Noway Youth 2,,9687,32296,23.07,-87.9104722,45.7729944,,,,,,,,youth,
194,,,Noway Youth 3,,8356,32016,20.7,-87.9101182,45.7729103,,,,,,,,youth,
199,,,Pelson Youth 1,,9639,32049,23.12,-84.7883208,45.5499753,,,,,,,,youth,
200,,,Pelson Youth 2,,11165,60612,15.56,-84.789241,45.5497813,,,,,,,,youth,
201,,,Saginaw Swan Valley - Youth Field,,14396,56177,20.4,-84.0862373,43.4096575,,,,,,,,youth,
203,,,St Gerard (Lansing) youth,,12689,51029,19.91,-84.6106279,42.7466265,,,,,,,,youth,
204,,,St Gerard Field 2 youth,,14289,62521,18.6,-84.6117048,42.7462672,,,,,,,,youth,
208,,,USA - unionville - Youth 1,,35924,12533,74.14,-83.4709366,43.650357,,,,,,,,youth,
209,,,USA - Unionville Seabawing - Youth 2,,8033,40294,16.62,-83.470936,43.650734,,,,,,,,youth,
