,school_id,school_name,enrollment_total,enrollment_classification,division,level,field,lat,long,State,foul_ft,fop_ft,foul_pct
456,7525,Sandusky HS,310,310,C,high_school,Sandusky High School,-82.8249717,43.4102931,MI,33613.7785,84661.16862,28.42003257
457,1321,Homer HS,308,308,C,high_school,Homer,-84.8138072,42.1386292,MI,20835.43301,71859.97834,22.47730789
463,1222,Grosse Pointe Woods - University Liggett HS,303,303,C,high_school,Grosse Pointe Woods University Liggett,-82.9007499,42.4260393,MI,22388.47394,83118.81883,21.21983548
469,6312,Pewamo-Westphalia HS,296,296,C,high_school,Pewamo-Westphalia,-84.8358807,42.9403371,MI,27955.46156,84958.40033,24.75821931
470,9876,Detroit Country Day,,,,high_school,Detroit Country Day,-83.2646187,42.513942,MI,17028.75939,91589.48192,15.67762393
474,3664,New Lothrop HS,292,292,C,high_school,New Lothrop HS,-83.9746703,43.122242,MI,37413.55978,89468.33618,29.48691734
502,1676,Centreville HS,260,260,C,high_school,Centerville High School,-85.5231062,41.9149684,MI,30616.65799,92985.2718,24.77037215
505,5520,Harbor Springs HS,256,256,C,high_school,Harbor Springs High School,-84.9734496,45.434179,MI,21382.12284,79731.13343,21.14670581
506,5520,Harbor Springs Youth ,,,,youth,Harbor Springs Youth ,-84.9743461,45.434841,MI,6824.079779,28912.95463,19.0952604
507,5520,Harbor Springs Youth - 2,,,,youth,Harbor Springs Youth ,-84.9733378,45.43516,MI,9684.848296,37083.82606,20.70798121
510,3243,Bridgman HS,250,250,C,high_school,Bridgman HS,-86.5447454,41.9367931,MI,29299.12396,94095.2871,23.7442877
517,5132,Dansville HS,243,243,C,high_school,Dansville Baseball Field HS,-84.3074712,42.5514233,MI,38155.47559,101273.4117,27.36554549
518,3490,Muskegon - Western Michigan Christian HS,243,243,C,high_school,Muskegon Western Michigan Christian,-86.236793,43.1609012,MI,28987.91854,90506.75135,24.25875444
519,4316,Riverview - Gabriel Richard HS,241,241,C,high_school,Gabriel Richard HS - Baseball,-83.2089242,42.1817944,MI,22711.75774,92645.04415,19.68826924
522,4407,Holton HS,240,240,C,high_school,Holton High School,-86.0881718,43.4149801,MI,28877.4123,95912.47411,23.14082746
523,2591,Kalamazoo Christian HS,239,239,C,high_school,Kalamazoo Christian,-85.6134503,42.273406,MI,23934.31071,92206.40663,20.60802728
525,4720,Kalamazoo - Hackett Catholic Prep,235,235,C,high_school,Kalamazoo Hackett Prep High School,-85.5965558,42.2474483,MI,21936.92512,87094.98613,20.11972905
527,4225,USA - Unionville Seabawing - Youth ,234,234,C,youth,USA - Unionville Seabawing - Youth ,-83.470936,43.650734,MI,8032.990375,40293.7221,16.62225706
528,4225,Unionville Sebewaing HS,234,234,C,high_school,USA - Unionville Seabawing High School,-83.4644195,43.6938966,MI,27687.4472,84001.53422,24.78977501
533,1478,Whittemore-Prescott HS,230,230,C,high_school,Whittemore-Prescott High School,-83.8844484,44.2293306,MI,16954.53693,82035.26662,17.12755892
534,7054,Marlette HS,229,229,C,high_school,Marlette High School,-83.070928,43.3238064,MI,22629.02973,86985.63354,20.64416298
537,3458,Rochester Hills - Lutheran Northwest HS,227,227,C,high_school,Rochester Hills Lutheran Northwest,-83.1544493,42.6409811,MI,19787.4055,71052.62656,21.78269321
539,6353,Concord HS,224,224,C,high_school,Concord High School,-84.6411052,42.1722524,MI,18587.87042,82374.38349,18.41071262
540,3185,Whitmore Lake HS,224,224,C,high_school,Whitmore Lake High School,-83.7708313,42.3876304,MI,34917.13505,93541.66532,27.18158269
556,2311,Decatur HS,204,204,C,high_school,Decatur High School,-85.9816872,42.1120337,MI,18841.0379,93430.89022,16.7816107
557,2204,Klenk Park - Alma Scots,,,,muni,Klenk Park - Alma Scots,-84.6785813,43.3879303,MI,35378.68693,109900.7167,24.35216972
558,3045,Kingston HS,203,203,C,high_school,Kingston high School,-83.1919884,43.4105296,MI,20687.59755,74025.70183,21.84233649
560,2988,Merrill HS,203,203,C,high_school,Merrill High School,-84.3410391,43.4071832,MI,28874.13837,89657.73342,24.35980967
568,7995,Breckenridge HS,194,194,C,high_school,Breckenridge HS,-84.4724901,43.413141,MI,22445.34528,82497.39484,21.38818298
574,1577,Rogers City HS,192,192,C,high_school,Rogers City HS,-83.8041977,45.4175136,MI,18534.92547,71875.39688,20.50089524
580,7442,Mayville HS,187,187,D,high_school,Mayville High School,-83.3551339,43.3310365,MI,17938.26045,81702.59524,18.0029169
584,2625,Norway HS,180,180,D,high_school,Norway High School,-87.9126582,45.7729954,MI,25656.29134,82222.65951,23.78248133
592,5768,Camden-Frontier HS,177,177,D,high_school,Camden-Frontier High School,-84.7066398,41.7801468,MI,30123.2145,76954.16051,28.13219366
593,7913,Indian River - Inland Lakes HS,177,177,D,high_school,Indian River Inland Lakes HS,-84.6358958,45.3838713,MI,14836.16434,85638.11734,14.76613129
606,5891,Rudyard HS,169,169,D,high_school,Rudyard HS,-84.5878023,46.2351548,MI,26169.11202,85298.52172,23.4768705
613,7260,Mendon HS,164,164,D,high_school,Mendon High School,-85.4474524,42.0126305,MI,36355.3445,86309.09287,29.63804773
614,7260,Mendon Youth ,,,,youth,Mendon Youth ,-85.4456151,42.0114783,MI,7531.414279,23323.69312,24.4089712
615,7260,Mendon Youth 2,,,,youth,Mendon Youth ,-85.4460878,42.0112333,MI,8964.333867,32827.46741,21.44998204
622,3961,Marine City - Cardinal Mooney Catholic HS,156,156,D,high_school,Marine City Cardinal Mooney HS,-82.8877279,42.5352846,MI,35258.32556,89228.73878,28.32288298
623,3961,Marine City - Field 2,156,156,D,high_school,Marine City Cardinal Mooney Field ,-82.8879871,42.5368865,MI,16169.26463,93546.95168,14.73735167
624,7558,Frankfort HS,154,154,D,high_school,Fankfort H S,-86.225851,44.634408,MI,25912.50964,89205.26372,22.50956467
630,4877,Marion HS,148,148,D,high_school,Marion High School,-85.130365,44.1000449,MI,28880.61747,84443.57858,25.48495244
651,5660,Pellston HS,126,126,D,high_school,Pelson High School,-84.7891347,45.5500721,MI,17057.56619,76325.80545,18.26617083
652,5660,Pelson HS - Youth ,,,,youth,Pelson HS - Youth ,-84.7883208,45.5499753,MI,9639.311631,32049.00412,23.12233406
653,5660,Pelson HS - Youth 2,,,,youth,Pelson HS - Youth ,-84.789241,45.5497813,MI,11164.83847,60612.29331,15.55486851
697,1908,Portland - St Patrick HS,85,85,D,high_school,Portland St. Pats,-84.9107754,42.8702585,MI,34252.43352,129849.2647,20.87268681
725,5454,Huron High School,,,,high_school,Huron High School,-83.3501649,42.1258421,MI,27079.06699,82444.92467,24.7243244
728,3301,Bay City - All Saints Central HS,57,57,D,high_school,Bay City All Saints HS,-83.8962351,43.5560867,MI,25765.97061,87054.94321,22.83793823
729,3301,Bay City All Saints Youth Field,,,,youth,Bay City All Saints Youth Field,-83.8975504,43.55632,MI,12856.77315,31470.61155,29.00413195
731,6196,Hudson high School,,,,high_school,Hudson high School,-84.3444884,41.8638399,MI,31946.96803,88332.99445,26.56050715
770,8532,Glen Lake Community School,,,,high_school,Glen Lake Community School,-85.9189024,44.8515684,MI,23438.08516,92407.71672,20.23214029
