host,district,park_name,Plot Note,Map Link MHSAA
Marion,106,Marion HS,,"http://maps.google.com/maps?q=Marion Athletic Complex - Baseball, 2213 20 Mile Rd.  Marion, MI "
Brethren,107,,not done. Cant find,"http://maps.google.com/maps?q=Brethren, 4400 N High Bridge Rd  Brethren, MI 49619"
Muskegon Western Michigan Christian,108,Muskegon Western Michigan Christian HS,,"http://maps.google.com/maps?q=Warrior Field, 455 E Ellis Rd  Norton Shores, MI 49442"
Beal City,109,Beal City HS,,"http://maps.google.com/maps?q=Beal City High School - Baseball,   Mt. Pleasant-Beal City, MI "
Breckenridge,110,Breckenridge HS,,"http://maps.google.com/maps?q=Breckenridge Community Schools - Baseball, 515 E. Summit Street  Breckenridge, MI "
Fowler,111,Fowler HS,,"http://maps.google.com/maps?q=Fowler High School, 700 S Main  Fowler, MI 48835"
Lansing Christian,112,Lansing Christian HS - high school,,"http://maps.google.com/maps?q=Lansing Christian High School, 3405 Belle Chase Way  Lansing, MI 0"
New Buffalo,113,New Buffalo HS,,"http://maps.google.com/maps?q=Slater Field, 1112 E. Clay St.  New Buffalo, MI "
Lawrence,114,Lawrence HS,,"http://maps.google.com/maps?q=Lawrence Fields, 650 W. St. Joseph St.  Lawrence, MI "
Martin,115,Martin HS,,"http://maps.google.com/maps?q=Martin Baseball Field, 1556 Chalmers Street  Martin, MI "
Mendon,116,Mendon High School,,"http://maps.google.com/maps?q=Mendon High School, 148 Kirby Road  Mendon, MI "
Colon,117,Colon High School - high school,,"http://maps.google.com/maps?q=Colon MS/HS Athletic COmplex, 400 Dallas St.  Colon, MI "
East Jackson,118,,,"http://maps.google.com/maps?q=East jackson - Baseball, 1566 n sutton rd  Jackson, MI "
North Adams-Jerome,119,North Adams-Jerome,,"http://maps.google.com/maps?q=Trott Field, 4555 Knowles  North Adams, MI "
Morenci,120,Morenci HS,,"http://maps.google.com/maps?q=Morenci, 788 Coomer  Morenci, MI 49256"
Harbor Beach,121,Harbor Beach HS,,"http://maps.google.com/maps?q=Harbor Beach HS, 402 S Fifth  Harbor Beach, MI 48441"
Kingston,122,Kingston HS,,"http://maps.google.com/maps?q=Kingston High School - Baseball, 5970 State St  Kingston, MI 48741"
Peck,123,Peck HS,,"http://maps.google.com/maps?q=Peck High School - Baseball,   Peck, MI "
Genesee,124,Genesee HS,,"http://maps.google.com/maps?q=Genesee, 7347 N Genesee Rd  Genesee, MI 48437"
Sterling Heights Parkway Christian,125,Sterling Heights - Parkway Christian High School,,"http://maps.google.com/maps?q=Parkway Christian School - Baseball,   Sterling Heights , MI "
Waterford Our Lady of the Lakes,126,,not done - shitty field at address,"http://maps.google.com/maps?q=Our Lady of the Lakes - Baseball, 5481 Dixie Highway  Waterford, MI "
Riverview Gabriel Richard,127,Gabriel Richard HS,,"http://maps.google.com/maps?q=Gabriel Richard HS - Softball, 15325 Pennsylvania Rd  Riverview, MI "
Plymouth Christian Academy,128,Plymouth Christian Academy - high school,,"http://maps.google.com/maps?q=Stafford Field, 43065 Joy Road   Canton, MI "
