teamName,playoff_games_played,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_count,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_L,playoff_T,playoff_W,playoff_win_pct,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_count,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_L,regular_season_T,regular_season_W,regular_season_win_pct,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_count,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_L,home_T,home_W,home_win_pct,home_run_diff_total,home_run_diff_mean,away_games_played,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_count,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_L,away_T,away_W,away_win_pct,away_run_diff_total,away_run_diff_mean
Salem,1,4.0,4.0,4.0,1,5.0,5.0,5.0,1.0,0.0,0.0,0.0,-1.0,-1.0,34.0,5.176470588235294,4.5,176.0,34.0,4.0588235294117645,3.0,138.0,13.0,2.0,21.0,0.6176470588235294,38.0,1.1176470588235299,21.0,5.761904761904762,5.0,121.0,21.0,4.285714285714286,4.0,90.0,8.0,2.0,13.0,0.6190476190476191,31.0,1.4761904761904763,13.0,4.230769230769231,4.0,55.0,13.0,3.6923076923076925,1.0,48.0,5.0,0.0,8.0,0.6153846153846154,7.0,0.5384615384615383
Saline,5,9.2,9.0,46.0,5,0.4,0.0,2.0,1.0,0.0,4.0,0.8,44.0,8.799999999999999,24.0,6.708333333333333,6.0,161.0,24.0,2.25,2.0,54.0,2.0,23.0,22.0,0.9166666666666666,107.0,4.458333333333333,16.0,6.9375,6.0,111.0,16.0,1.5625,1.0,25.0,0.0,8.0,16.0,1.0,86.0,5.375,8.0,6.25,6.5,50.0,8.0,3.625,3.0,29.0,2.0,15.0,6.0,0.75,21.0,2.625
Sand Creek,1,1.0,1.0,1.0,1,2.0,2.0,2.0,1.0,0.0,0.0,0.0,-1.0,-1.0,5.0,3.2,1.0,16.0,5.0,6.6,7.0,33.0,4.0,23.0,1.0,0.2,-17.0,-3.3999999999999995,2.0,3.0,3.0,6.0,2.0,9.5,9.5,19.0,2.0,15.0,0.0,0.0,-13.0,-6.5,3.0,3.3333333333333335,1.0,10.0,3.0,4.666666666666667,4.0,14.0,2.0,8.0,1.0,0.3333333333333333,-4.0,-1.3333333333333335
Sandusky,1,2.0,2.0,2.0,1,13.0,13.0,13.0,1.0,0.0,0.0,0.0,-11.0,-11.0,11.0,2.5454545454545454,2.0,28.0,11.0,5.0,5.0,55.0,9.0,8.0,2.0,0.18181818181818182,-27.0,-2.4545454545454546,6.0,2.5,2.5,15.0,6.0,5.5,4.5,33.0,5.0,3.0,1.0,0.16666666666666666,-18.0,-3.0,5.0,2.6,2.0,13.0,5.0,4.4,5.0,22.0,4.0,5.0,1.0,0.2,-9.0,-1.8000000000000003
Sanford Meridian Early College,2,9.0,9.0,18.0,2,7.0,7.0,14.0,1.0,0.0,1.0,0.5,4.0,2.0,11.0,6.7272727272727275,7.0,74.0,11.0,3.3636363636363638,1.0,37.0,4.0,14.0,7.0,0.6363636363636364,37.0,3.3636363636363638,5.0,8.4,10.0,42.0,5.0,2.6,1.0,13.0,1.0,10.0,4.0,0.8,29.0,5.800000000000001,6.0,5.333333333333333,5.0,32.0,6.0,4.0,3.0,24.0,3.0,4.0,3.0,0.5,8.0,1.333333333333333
Saranac,1,5.0,5.0,5.0,1,10.0,10.0,10.0,1.0,0.0,0.0,0.0,-5.0,-5.0,10.0,2.7,1.0,27.0,10.0,9.2,10.5,92.0,8.0,25.0,2.0,0.2,-65.0,-6.499999999999999,5.0,4.6,5.0,23.0,5.0,8.0,9.0,40.0,3.0,10.0,2.0,0.4,-17.0,-3.4000000000000004,5.0,0.8,0.0,4.0,5.0,10.4,11.0,52.0,5.0,15.0,0.0,0.0,-48.0,-9.6
Saugatuck,3,4.0,6.0,12.0,3,1.0,0.0,3.0,1.0,0.0,2.0,0.6666666666666666,9.0,3.0,2.0,10.0,10.0,20.0,2.0,1.5,1.5,3.0,0.0,18.0,2.0,1.0,17.0,8.5,0.0,,,0.0,0.0,,,0.0,0.0,9.0,0.0,,0.0,,2.0,10.0,10.0,20.0,2.0,1.5,1.5,3.0,0.0,9.0,2.0,1.0,17.0,8.5
Sault Ste Marie,2,6.0,6.0,12.0,2,3.5,3.5,7.0,1.0,0.0,1.0,0.5,5.0,2.5,17.0,5.882352941176471,5.0,100.0,17.0,7.176470588235294,7.0,122.0,12.0,4.0,5.0,0.29411764705882354,-22.0,-1.2941176470588234,4.0,6.25,6.5,25.0,4.0,8.0,8.0,32.0,3.0,3.0,1.0,0.25,-7.0,-1.75,13.0,5.769230769230769,3.0,75.0,13.0,6.923076923076923,6.0,90.0,9.0,1.0,4.0,0.3076923076923077,-15.0,-1.1538461538461542
Schoolcraft,3,6.0,5.0,18.0,3,3.0,3.0,9.0,1.0,0.0,2.0,0.6666666666666666,9.0,3.0,17.0,6.705882352941177,7.0,114.0,17.0,2.5294117647058822,2.0,43.0,2.0,16.0,14.0,0.8235294117647058,71.0,4.176470588235294,9.0,8.222222222222221,8.0,74.0,9.0,3.111111111111111,3.0,28.0,0.0,7.0,9.0,1.0,46.0,5.111111111111111,8.0,5.0,3.5,40.0,8.0,1.875,2.0,15.0,2.0,9.0,5.0,0.625,25.0,3.125
Shelby,3,3.3333333333333335,3.0,10.0,3,2.3333333333333335,2.0,7.0,1.0,0.0,2.0,0.6666666666666666,3.0,1.0,15.0,3.6666666666666665,3.0,55.0,15.0,9.0,10.0,135.0,12.0,5.0,3.0,0.2,-80.0,-5.333333333333334,10.0,3.0,3.0,30.0,10.0,8.2,7.5,82.0,7.0,1.0,3.0,0.3,-52.0,-5.199999999999999,5.0,5.0,5.0,25.0,5.0,10.6,12.0,53.0,5.0,4.0,0.0,0.0,-28.0,-5.6
