,field,level,foul_ft,fop_ft,foul_pct,h_lat,h_long,match
83,Grosse Ile High School,high_school,36064,93917,27.75,-83.1458188,42.1340427,"[('Grosse Ile HS', 87)]"
84,University Liggett School,high_school,22388,83119,21.22,-82.9007499,42.4260393,"[('Grosse Pointe Woods - University Liggett HS', 84)]"
87,Hamtramck High School,high_school,14857,81704,15.39,-83.0476997,42.3930022,"[('Hamtramck HS', 86)]"
88,Harbor Springs High School,high_school,21382,79731,21.15,-84.9734496,45.434179,"[('Harbor Springs HS', 90)]"
91,Haslett High School,high_school,30039,86400,25.8,-84.4071076,42.7419614,"[('Haslett HS', 82)]"
92,Hemlock HS,high_school,24830,87160,22.17,-84.2333581,43.4238904,"[('Hemlock HS', 100)]"
93,Holland Christian High School,high_school,32779,95289,25.59,-86.1328152,42.7619603,"[('Holland Christian HS', 92)]"
94,Holt High School,high_school,38310,95406,28.65,-84.5799503,42.6367415,"[('Holt HS', 73)]"
95,Holt HS - Practice field,high_school,39740,98054,28.84,-84.5796448,42.6372277,"[('Holt HS', 100)]"
96,Holton High School,high_school,28877,95912,23.14,-86.0881718,43.4149801,"[('Holton HS', 80)]"
97,Homer HS,high_school,20835,71860,22.48,-84.8138072,42.1386292,"[('Homer HS', 100)]"
99,Houghton High School,high_school,32578,92794,25.99,-88.5639378,47.1087711,"[('Houghton HS', 84)]"
100,Howell High School,high_school,21114,92971,18.51,-83.9426426,42.6179456,"[('Howell HS', 80)]"
101,Hudson high School,high_school,31947,88333,26.56,-84.3444884,41.8638399,"[('Hudson Area HS',100)]"
102,Hudsonville Christian HS,high_school,33791,97983,25.64,-85.8456256,42.8840691,"[('Hudsonville HS', 100)]"
103,Hudsonville High School,high_school,30487,96953,23.92,-85.8754492,42.9134789,"[('Hudsonville HS', 88)]"
104,Hudsonville HS - Field 2,high_school,31075,93415,24.96,-85.8768694,42.9142415,"[('Hudsonville HS', 100)]"
105,Huron High School,high_school,27079,82445,24.72,-83.3501649,42.1258421,"[('Ann Arbor - Huron HS',100)]"
106,Indian River Inland Lakes HS,high_school,14836,85638,14.77,-84.6358958,45.3838713,"[('Indian River - Inland Lakes HS', 100)]"
107,Ionia High School,high_school,30676,88463,25.75,-85.0645777,42.9523427,"[('Ionia HS', 77)]"
108,Ionia Practice Field,high_school,29381,81817,26.42,-85.0646534,42.9533573,"[('Ionia HS', 77)]"
109,Jackson Lumen Christi HS,high_school,20498,92032,18.22,-84.4602665,42.2219816,"[('Jackson - Lumen Christi HS', 100)]"
110,Jenison High School,high_school,31316,98281,24.16,-85.837665,42.917629,"[('Jenison HS', 82)]"
113,Kalamazoo Christian high school,high_school,23934,92206,20.61,-85.6134503,42.273406,"[('Kalamazoo Christian HS', 93)]"
115,Kalamazoo Hackett Prep High School,high_school,21937,87095,20.12,-85.5965558,42.2474483,"[('Kalamazoo - Hackett Catholic Prep', 83)]"
116,Kingston high School,high_school,20688,74026,21.84,-83.1919884,43.4105296,"[('Kingston HS', 84)]"
118,Laingsburg HS,high_school,28676,98635,22.52,-84.342751,42.878632,"[('Laingsburg HS', 100)]"
119,Lake Orion HS,high_school,32958,90214,26.76,-83.2369353,42.7539465,"[('Lake Orion HS', 100)]"
120,Lansing Catholic HS,high_school,18458,88369,17.28,-84.5276463,42.7374459,"[('Lansing Catholic HS', 100)]"
121,Lincoln High School - Ypsi - Fields 2,high_school,28282,91822,23.55,-83.6146378,42.1604794,"[('Ypsilanti - Lincoln HS', 92)]"
124,Lincoln High School - Ypsilanti,high_school,26768,92794,22.39,-83.6146339,42.1610319,"[('Ypsilanti - Lincoln HS', 92)]"
125,Livonia Franklin HS,high_school,19947,88016,18.48,-83.3473911,42.356909,"[('Livonia - Franklin HS', 100)]"
126,Marine City Cardinal Mooney Field 2,high_school,16169,93547,14.74,-82.8879871,42.5368865,"[('Marine City - Cardinal Mooney Catholic HS', 88)]"
127,Marine City Cardinal Mooney HS,high_school,35258,89229,28.32,-82.8877279,42.5352846,"[('Marine City - Cardinal Mooney Catholic HS', 88)]"
128,Marion High School,high_school,28881,84444,25.49,-85.130365,44.1000449,"[('Marion HS', 80)]"
129,Marlette High School,high_school,22629,86986,20.64,-83.070928,43.3238064,"[('Marlette HS', 84)]"
131,Mason County Central High School,high_school,33783,87956,27.75,-86.2891178,43.9590923,"[('Scottville - Mason County Central HS', 82)]"
132,Mason High School,high_school,24874,96592,20.48,-84.4345611,42.570571,"[('Mason HS', 77)]"
133,Mayville High School,high_school,17938,81703,18,-83.3551339,43.3310365,"[('Mayville HS', 84)]"
135,Mendon High School,high_school,36355,86309,29.64,-85.4474524,42.0126305,"[('Mendon HS', 80)]"
138,Merrill High School,high_school,28874,89658,24.36,-84.3410391,43.4071832,"[('Merrill HS', 82)]"
139,Moose Lodge Field (14u),high_school,10342,48686,17.52,-84.5978297,42.6602298,
140,Mt Pleasant HS,high_school,28077,94255,22.95,-84.7591327,43.5913032,"[('Mt Pleasant HS', 100)]"
142,Muskegon Mona Shores HS,high_school,32818,90825,26.54,-86.271558,43.1845307,"[('Muskegon - Mona Shores HS', 100)]"
143,Muskegon Western Michigan Christian,high_school,28988,90507,24.26,-86.236793,43.1609012,"[('Muskegon - Western Michigan Christian HS', 100)]"
144,New Lothrop HS,high_school,37414,89468,29.49,-83.9746703,43.122242,"[('New Lothrop HS', 100)]"
145,Northville HS,high_school,28784,95926,23.08,-83.493445,42.4123981,"[('Northville HS', 100)]"
146,Norway High School,high_school,25656,82223,23.78,-87.9126582,45.7729954,"[('Norway HS', 80)]"
147,Novi HS,high_school,23776,89713,20.95,-83.4924439,42.4615268,"[('Novi HS', 100)]"
152,Okemos HS,high_school,27679,88219,23.88,-84.4559105,42.6876301,"[('Okemos HS', 100)]"
156,Orchard Lake St Marys High School,high_school,27391,87971,23.74,-83.35411,42.5916394,"[('Orchard Lake - St Mary Preparatory HS', 71)]"
157,Ovid-Elsie High School,high_school,24768,83750,22.82,-84.3932693,43.0477476,"[('Ovid-Elsie HS', 87)]"
158,Owosso HS,high_school,20193,79372,20.28,-84.1622172,43.0168905,"[('Owosso HS', 100)]"
159,Parkway Christian High School - Sterling Heights,high_school,18986,92907,16.97,-82.9817171,42.562036,"[('Sterling Heights - Parkway Christian School', 100)]"
160,Pelson High School,high_school,17058,76326,18.27,-84.7891347,45.5500721,"[('Pellston HS','100)]"
163,Petoskey High School,high_school,30315,91933,24.8,-84.9386874,45.3672303,"[('Petoskey HS', 84)]"
164,Pewamo-Westphalia HS,high_school,27955,84958,24.76,-84.8358807,42.9403371,"[('Pewamo-Westphalia HS', 100)]"
165,Plymouth HS,high_school,30570,92981,24.74,-83.4986405,42.3483182,"[('Canton - Plymouth HS', 100)]"
166,Portage Northern High School,high_school,24003,89005,21.24,-85.5987309,42.2356888,"[('Portage Northern HS', 91)]"
167,Portland High School,high_school,39688,88555,30.95,-84.9180249,42.882565,"[('Portland HS', 84)]"
168,Portland St. Pats HS,high_school,34252,129849,20.87,-84.9107754,42.8702585,"[('Portland - St Patrick HS',100)]"
169,Richmond High School,high_school,32748,88224,27.07,-82.7574992,42.8073051,"[('Richmond HS', 84)]"
170,Rochester Adams HS,high_school,29388,93346,23.94,-83.1998424,42.6972168,"[('Rochester - Adams HS', 100)]"
171,Rochester Hills Lutheran Northwest HS,high_school,19787,71053,21.78,-83.1544493,42.6409811,"[('Rochester Hills - Lutheran Northwest HS', 100)]"
172,Rochester HS,high_school,29531,88582,25,-83.1562451,42.6774369,"[('Rochester Hills - Rochester HS', 100)]"
173,Rockford HS,high_school,33509,99484,25.2,-85.5686971,43.0900641,"[('Rockford HS', 100)]"
174,Rogers City HS,high_school,18535,71875,20.5,-83.8041977,45.4175136,"[('Rogers City HS', 100)]"
175,Rudyard HS,high_school,26169,85299,23.48,-84.5878023,46.2351548,"[('Rudyard HS', 100)]"
176,Saginaw Heritage HS,high_school,36530,103302,26.12,-84.0129481,43.4554596,"[('Saginaw - Heritage HS', 100)]"
177,Saginaw Heritage HS - Field 2,high_school,20534,98697,17.22,-84.0135834,43.4547419,"[('Saginaw - Heritage HS', 100)]"
179,Saginaw Swan Valley High School,high_school,21585,87095,19.86,-84.0822261,43.4116302,"[('Saginaw - Swan Valley HS', 93)]"
180,Salem High School,high_school,30248,89191,25.33,-83.4972427,42.3458381,"[('Canton - Salem HS', 58)]"
182,Sand Creek High School - Baseball,high_school,26366,79295,24.95,-84.1047473,41.8229202,"[('Sand Creek HS', 87)]"
183,Sandusky High School,high_school,33614,84661,28.42,-82.8249717,43.4102931,"[('Sandusky HS', 84)]"
184,Sexton High School,high_school,25173,95742,20.82,-84.5795795,42.7327867,"[('Lansing - JW Sexton HS', 62)]"
185,Shrine HS Royal Oak,high_school,14713,97502,13.11,-83.1842663,42.5195961,"[('Royal Oak - Shrine Catholic HS', 100)]"
186,St Clair HS,high_school,31501,87273,26.52,-82.5113899,42.824698,"[('St Clair HS', 100)]"
189,St Johns High School,high_school,37094,96144,27.84,-84.5679294,42.9878827,"[('St Johns HS', 84)]"
190,Standish-Sterling HS,high_school,27613,95495,22.43,-83.9548964,44.0156178,"[('Standish-Sterling HS', 100)]"
191,Stevenson Lakeshore HS,high_school,22072,89254,19.83,-86.4944752,42.0092821,"[('Stevensville - Lakeshore HS', 85)]"
193,Traverse City St Frances HS,high_school,14024,94785,12.89,-85.5597553,44.7118419,"[('Traverse City - St Francis HS', 96)]"
194,Trenton High School,high_school,23234,91703,20.21,-83.2030684,42.1421346,"[('Trenton HS', 82)]"
195,Troy - Athens High School,high_school,17790,85160,17.28,-83.111861,42.5828923,"[('Troy - Athens HS', 88)]"
198,Ubly high School,high_school,19713,86330,18.59,-82.9346814,43.7078311,"[('Ubly HS', 73)]"
201,USA - Unionville Seabawing High School,high_school,27687,84002,24.79,-83.4644195,43.6938966,"[('Unionville Sebewaing HS', 71)]"
202,Watervliet HS,high_school,29977,90757,24.83,-86.2497962,42.1861372,"[('Watervliet HS', 100)]"
203,Waverly High School,high_school,31021,88726,25.91,-84.6253319,42.7320798,"[('Lansing - Waverly HS', 59)]"
205,West Bloomfield HS,high_school,23399,95261,19.72,-83.3594581,42.5673665,"[('West Bloomfield HS', 100)]"
209,Whiteford High School - Ottawa Lake,high_school,34576,140217,19.78,-83.7011192,41.7665817,"[('Ottawa Lake - Whiteford HS', 93)]"
210,Whitehall High School,high_school,28215,91519,23.56,-86.3327856,43.4045055,"[('Whitehall HS', 86)]"
211,Whitmore Lake High School,high_school,34917,93542,27.18,-83.7708313,42.3876304,"[('Whitmore Lake HS', 90)]"
212,Whittemore-Prescott High School,high_school,16955,82035,17.13,-83.8844484,44.2293306,"[('Whittemore-Prescott HS', 93)]"
213,Williamston High School,high_school,31596,90369,25.91,-84.28087,42.6987035,"[('Williamston HS', 88)]"
