date,away_team,home_team,game_info,away_team_runs,away_team_hits,away_team_errors,home_team_runs,home_team_hits,home_team_errors,game_id,image,venue,city,state,team,conference,capacity,opened,ref,latitude,longitude,elevation
2016-02-26,UIC,Vanderbilt,,0.0,5.0,1.0,9.0,14.0,0.0,,,Hawkins Field,Nashville,TN,Vanderbilt,Southeastern,3626,2002,,36.1433984,-86.8073934,161.9081268310547
2016-02-26,UMass Lowell,Mississippi State,,2.0,3.0,1.0,4.0,6.0,0.0,,,"Dudy Noble Field, Polk–DeMent Stadium",Starkville,MS,Mississippi State,Southeastern,15000,"1967rebuilt 1987, renovated 2001, rebuilt 2019",,33.4630609,-88.7940698,110.2767028808594
2016-02-26,North Dakota,Alabama,,1.0,4.0,3.0,2.0,4.0,0.0,,,Sewell–Thomas Stadium,Tuscaloosa,AL,Alabama,Southeastern,8500,"1948closed 2015, rebuilt 2016",,33.2048713,-87.53862099999999,65.01921081542969
2016-02-26,Sacramento State,LSU,,0.0,3.0,4.0,6.0,9.0,0.0,,,"Alex Box Stadium, Skip Bertman Field",Baton Rouge,LA,LSU,Southeastern,10326,2009,https://lsusports.net/facilities/alex-box-stadium/,30.4056564,-91.1879038,6.844009876251221
2016-02-26,Wake Forest,USC,,4.0,7.0,1.0,9.0,16.0,2.0,,,Dedeaux Field,Los Angeles,CA,USC,Pac-12,2500,1974,,34.0238376,-118.2898635,53.52592468261719
2016-02-26,Indiana,Cal State Fullerton,,3.0,2.0,3.0,8.0,11.0,0.0,,,Goodwin Field,Fullerton,CA,Cal State Fullerton,Big West,3500,1992,,33.887139,-117.8853105,77.81831359863281
2016-02-26,East Carolina,Virginia,,8.0,10.0,1.0,5.0,11.0,1.0,,,Davenport Field at Disharoon Park,Charlottesville,VA,Virginia,Atlantic Coast,5500,2000,,38.0457546,-78.513342,173.6851654052734
2016-02-26,Oklahoma State,North Carolina,,1.0,4.0,1.0,2.0,11.0,1.0,,,Boshamer Stadium,Chapel Hill,NC,North Carolina,Atlantic Coast,5000,1972,,35.9063145,-79.0427441,125.8752212524414
2016-02-26,Penn State,South Carolina,,1.0,2.0,2.0,7.0,14.0,1.0,,,Founders Park,Columbia,SC,South Carolina,Southeastern,8242,2009,,33.9865404,-81.042621,52.44177627563477
2016-02-26,Louisville,Ole Miss,,5.0,10.0,2.0,6.0,6.0,2.0,,,,,,,,,,,,,
2016-02-26,Texas A&M,Pepperdine,,5.0,7.0,1.0,7.0,10.0,1.0,,,Eddy D. Field Stadium,Malibu,CA,Pepperdine,West Coast,2000,1973,,34.0403085,-118.7109504,100.4457855224609
