date,away_team,home_team,game_info,away_team_runs,away_team_hits,away_team_errors,home_team_runs,home_team_hits,home_team_errors,game_id,image,venue,city,state,team,conference,capacity,opened,ref,latitude,longitude,elevation,weather_data
2016-02-20,Sacramento State,Auburn,,6.0,9.0,2.0,5.0,8.0,0.0,,,Samford Stadium – Hitchcock Field at Plainsman Park,Auburn,AL,Auburn,Southeastern,4096,1950rebuilt 1996,,32.5996377,-85.48956489999999,193.3800048828125,"{'lat': 32.5996377, 'lon': -85.48956489999999, 'tz': '-06:00', 'date': '2016-02-20', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 74.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 46.53, 'max': 67.84, 'afternoon': 65.86, 'night': 48.18, 'evening': 63.81, 'morning': 48.02}, 'pressure': {'afternoon': 1025.0}, 'wind': {'max': {'speed': 10.29, 'direction': 220.0}}}"
2016-02-20,Rhode Island,Florida State,,1.0,6.0,0.0,8.0,9.0,2.0,,,Mike Martin Field at Dick Howser Stadium,Tallahassee,FL,Florida State,Atlantic Coast,6700,1983,,30.4405434,-84.3040448,21.59014511108398,"{'lat': 30.4405434, 'lon': -84.3040448, 'tz': '-05:00', 'date': '2016-02-20', 'units': 'imperial', 'cloud_cover': {'afternoon': 40.0}, 'humidity': {'afternoon': 47.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 43.03, 'max': 73.27, 'afternoon': 71.2, 'night': 48.13, 'evening': 69.62, 'morning': 43.03}, 'pressure': {'afternoon': 1027.0}, 'wind': {'max': {'speed': 10.29, 'direction': 160.0}}}"
2016-02-20,UNLV,Texas,,2.0,8.0,5.0,11.0,13.0,1.0,,,UFCU Disch–Falk Field,Austin,TX,Texas,Big 12,7373,1975,[14],30.2799584,-97.7261606,176.8224334716797,"{'lat': 30.2799584, 'lon': -97.7261606, 'tz': '-06:00', 'date': '2016-02-20', 'units': 'imperial', 'cloud_cover': {'afternoon': 90.0}, 'humidity': {'afternoon': 83.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 66.16, 'max': 74.79, 'afternoon': 69.26, 'night': 67.08, 'evening': 73.99, 'morning': 66.2}, 'pressure': {'afternoon': 1019.0}, 'wind': {'max': {'speed': 10.13, 'direction': 190.0}}}"
2016-02-20,Cincinnati,LSU,,0.0,4.0,0.0,4.0,6.0,1.0,,,"Alex Box Stadium, Skip Bertman Field",Baton Rouge,LA,LSU,Southeastern,10326,2009,https://lsusports.net/facilities/alex-box-stadium/,30.4056564,-91.1879038,6.844009876251221,"{'lat': 30.4056564, 'lon': -91.1879038, 'tz': '-06:00', 'date': '2016-02-20', 'units': 'imperial', 'cloud_cover': {'afternoon': 75.0}, 'humidity': {'afternoon': 57.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 54.16, 'max': 77.14, 'afternoon': 74.59, 'night': 60.46, 'evening': 71.98, 'morning': 56.01}, 'pressure': {'afternoon': 1023.0}, 'wind': {'max': {'speed': 12.75, 'direction': 160.0}}}"
2016-02-20,Sam Houston,Louisiana,,2.0,6.0,2.0,6.0,12.0,0.0,,,M. L. Tigue Moore Field at Russo Park,Lafayette,LA,Louisiana,Sun Belt,6015,1978renovated 2017,,30.213099,-92.041655,10.53493118286133,"{'lat': 30.213099, 'lon': -92.041655, 'tz': '-06:00', 'date': '2016-02-20', 'units': 'imperial', 'cloud_cover': {'afternoon': 75.0}, 'humidity': {'afternoon': 57.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 58.39, 'max': 76.42, 'afternoon': 75.25, 'night': 61.52, 'evening': 70.14, 'morning': 59.18}, 'pressure': {'afternoon': 1023.0}, 'wind': {'max': {'speed': 13.87, 'direction': 200.0}}}"
2016-02-20,Central Michigan,Arkansas,,3.0,7.0,1.0,4.0,9.0,0.0,,,Baum–Walker Stadium,Fayetteville,AR,Arkansas,Southeastern,13472,1996,,36.0498883,-94.1822406,374.5051879882812,"{'lat': 36.0498883, 'lon': -94.1822406, 'tz': '-06:00', 'date': '2016-02-20', 'units': 'imperial', 'cloud_cover': {'afternoon': 20.0}, 'humidity': {'afternoon': 65.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 53.91, 'max': 72.27, 'afternoon': 72.27, 'night': 56.53, 'evening': 67.12, 'morning': 53.91}, 'pressure': {'afternoon': 1015.0}, 'wind': {'max': {'speed': 24.16, 'direction': 190.0}}}"
2016-02-20,Florida Gulf Coast,Florida,,4.0,4.0,0.0,8.0,15.0,2.0,,,Florida Ballpark,Gainesville,FL,Florida,Southeastern,7000,2021,[35],29.6364107,-82.3637638,29.34748268127441,"{'lat': 29.6364107, 'lon': -82.3637638, 'tz': '-05:00', 'date': '2016-02-20', 'units': 'imperial', 'cloud_cover': {'afternoon': 20.0}, 'humidity': {'afternoon': 42.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 44.38, 'max': 75.9, 'afternoon': 73.35, 'night': 50.5, 'evening': 71.8, 'morning': 44.6}, 'pressure': {'afternoon': 1027.0}, 'wind': {'max': {'speed': 10.29, 'direction': 110.0}}}"
2016-02-20,Cal State Fullerton,Stanford,,0.0,4.0,0.0,2.0,5.0,0.0,,,Klein Field at Sunken Diamond,Stanford,CA,Stanford,Pac-12,4000,1931,,37.43173,-122.1587444,18.79486274719238,"{'lat': 37.43173, 'lon': -122.1587444, 'tz': '-08:00', 'date': '2016-02-20', 'units': 'imperial', 'cloud_cover': {'afternoon': 75.0}, 'humidity': {'afternoon': 71.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 47.3, 'max': 59.74, 'afternoon': 54.86, 'night': 51.87, 'evening': 56.19, 'morning': 47.3}, 'pressure': {'afternoon': 1024.0}, 'wind': {'max': {'speed': 11.41, 'direction': 350.0}}}"
2016-02-20,Florida Atlantic,Mississippi State,,4.0,13.0,0.0,0.0,4.0,1.0,,,"Dudy Noble Field, Polk–DeMent Stadium",Starkville,MS,Mississippi State,Southeastern,15000,"1967rebuilt 1987, renovated 2001, rebuilt 2019",,33.4630609,-88.7940698,110.2767028808594,"{'lat': 33.4630609, 'lon': -88.7940698, 'tz': '-06:00', 'date': '2016-02-20', 'units': 'imperial', 'cloud_cover': {'afternoon': 1.0}, 'humidity': {'afternoon': 77.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 58.28, 'max': 69.91, 'afternoon': 65.39, 'night': 59.61, 'evening': 65.43, 'morning': 58.37}, 'pressure': {'afternoon': 1022.0}, 'wind': {'max': {'speed': 11.41, 'direction': 200.0}}}"
2016-02-20,Arizona,Rice,,6.0,11.0,0.0,2.0,7.0,3.0,,,Reckling Park,Houston,TX,Rice,The American,6193,2000,,29.7132708,-95.404089,14.29854393005371,"{'lat': 29.7132708, 'lon': -95.404089, 'tz': '-06:00', 'date': '2016-02-20', 'units': 'imperial', 'cloud_cover': {'afternoon': 75.0}, 'humidity': {'afternoon': 57.0}, 'precipitation': {'total': 0.0}, 'temperature': {'min': 62.08, 'max': 77.41, 'afternoon': 75.83, 'night': 64.11, 'evening': 71.35, 'morning': 62.08}, 'pressure': {'afternoon': 1020.0}, 'wind': {'max': {'speed': 16.11, 'direction': 140.0}}}"
