school_name,school_abrv,school_nickname,street_address,city,state,zip_code,ncaa_member_since,hbcu_status,public_private_status,head_coach,division,conference
Assumption University,ASM,Greyhounds,500 Salisbury St.,Worcester,MA,1609,9/1/1959,No,Private,Mike Rocco,II,Northeast-10 Conference
Auburn University,AU,Tigers,392 South Donahue Drive,Auburn,AL,36849,9/1/1910,No,Public,Butch Thompson,I,Southeastern Conference
Augustana College,Illinois,Vikings,639 38th Street,Rock Island,IL,61201-2296,9/1/1952,No,Private,Gregory D. Wallace,III,College Conference of Illinois & Wisconsin
Augustana University,South Dakota,Vikings,2001 S. Summit Avenue,Sioux Falls,SD,57197,9/1/1951,No,Private,Tim Huber,II,Northern Sun Intercollegiate Conference
Aurora University,AUR,Spartans,347 South Gladstone Avenue,Aurora,IL,60506,9/1/1979,No,Private,Adam Stevens,III,Northern Athletics Collegiate Conference
Austin Peay State University,APSU,Governors,601 College Street,Clarksville,TN,37044,9/1/1957,No,Public,Roland Fanning,I,ASUN Conference
Averett University,AU,Cougars,420 West Main Street,Danville,VA,24541,9/1/1976,No,Private,Kenny Fleming,III,Old Dominion Athletic Conf.
Babson College,BAB,Beavers,231 Forest St,Babson Park,MA,2457,9/1/1953,No,Private,Matt Noone,III,New England Women's and Men's Athletic Conference
Baldwin Wallace University,BW,Yellow Jackets,275 Eastland Road,Berea,OH,44017,9/1/1945,No,Private,Brian Harrison,III,Ohio Athletic Conference
Ball State University,BSU,Cardinals,2000 University Avenue,Muncie,IN,47306,9/1/1956,No,Public,Rich Maloney,I,Mid-American Conference
Charleston Southern University,CSU,Buccaneers/ Bucs,9200 University Blvd,Charleston,SC,29406,9/1/1971,No,Private,Marc MacMillan,I,Big South Conference
Barry University,BarryU,Buccaneers,11300 NE 2nd Ave,Miami Shores,FL,33161,9/1/1984,No,Private,Juan Ranero,II,Sunshine State Conference
Bates College,BAT,Bobcats,2 Andrews Road,Lewiston,ME,4240,9/1/1909,No,Private,Jon Martin,III,New England Small College Athletic Conference
Baylor University,BU,Bears,1311 S 5th St,Waco,TX,76706,9/1/1922,No,Private,Mitch Thompson,I,Big 12 Conference
Beloit College,BC,Buccaneers,700 College Street,Beloit,WI,53511-5595,9/1/1937,No,Private,Dave DeGeorge,III,Midwest Conference
Bemidji State University,BSU,Beavers,1500 Birchmont Dr. NE,Bemidji,MN,56601-2699,9/1/1979,No,Public,Matthew Ellinghuysen,II,Northern Sun Intercollegiate Conference
Benedict College,BC,"Tigers, Lady Tigers",1600 Harden Street,Columbia,SC,29204,9/1/1998,Yes,Private,Selwyn Young,II,Southern Intercol. Ath. Conf.
Bentley University,BEN,Falcons,175 Forest Street,Waltham,MA,2452,9/1/1967,No,Private,Michael Hill,II,Northeast-10 Conference
Baruch College,Baruch,Bearcats,1 Bernard Baruch Way,New York,NY,10010,9/1/1972,No,Public,Jose Torres,III,City University of New York Athletic Conference
Bethany College,West Virginia,Bison,31 East Campus Drive,Bethany,WV,26032,9/1/1970,No,Private,Justin Thomas,III,Presidents' Athletic Conference
Bethel University,Minnesota,Royals,3900 Bethel Drive,St. Paul,MN,55112-6999,9/1/1982,No,Private,Brian Raabe,III,Minnesota Intercollegiate Athletic Conference
Bethune-Cookman University,BCU,Wildcats,640 Dr. Mary McLeod Bethune Blvd.,Daytona Beach,FL,32114,9/1/1952,Yes,Private,Jonathan Hernandez,I,Southwestern Athletic Conf.
Binghamton University,BU,Bearcats,4400 Vestal Parkway East,Vestal,NY,13850,9/1/1968,No,Public,Tim Sinicki,I,America East Conference
Bloomsburg University of Pennsylvania,BU,Huskies,400 E. 2nd Street,Bloomsburg,PA,17815,9/1/1952,No,Public,Mike Collins,II,Pennsylvania State Athletic Conference
Boston College,BC,Eagles,140 Commonwealth Avenue,Chestnut Hill,MA,02467-3861,9/1/1921,No,Private,Michael Gambino,I,Atlantic Coast Conference
Bowdoin College,BOW,Polar Bears,225 Maine Street,Brunswick,ME,4011,9/1/1914,No,Private,Michael Connolly,III,New England Small College Athletic Conference
Bowling Green State University,BGSU,Falcons,1610 Stadium Drive,Bowling Green,OH,43403,9/1/1941,No,Public,Kyle Hallock,I,Mid-American Conference
Bradley University,BU,Braves,1501 West Bradley Avenue,Peoria,IL,61625,9/1/1926,No,Private,Elvis Dominguez,I,Missouri Valley Conference
University of Bridgeport,UB,Purple Knights,126 Park Avenue,Bridgeport,CT,6604,9/1/1955,No,Private,Joseph Tonelli,II,Central Atlantic Collegiate Conference
Bridgewater College,Virginia,Eagles,402 East College Street,Bridgewater,VA,22812-1599,9/1/1958,No,Private,Ben Spotts,III,Old Dominion Athletic Conf.
Bridgewater State University,BSU,Bears,131 Summer Street,Bridgewater,MA,2325,9/1/1960,No,Public,Greg Zackrison,III,Massachusetts State Collegiate Athletic Conference
Brigham Young University,BYU,Cougars/ Cougs,Main Campus,Provo,UT,84602,9/1/1939,No,Private,Trent Pratt,I,Big 12 Conference
Brown University,BU,Bears,1 Prospect St,Providence,RI,2912,9/1/1929,No,Private,Grant Achilles,I,The Ivy League
Bryant University,BU,Bulldogs,1150 Douglas Pike,Smithfield,RI,2917,9/1/1967,No,Private,Ryan Klosterman,I,America East Conference
Bucknell University,BU,Bison,1 Dent Dr1,Lewisburg,PA,17837,9/1/1950,No,Private,Scott Heather,I,Patriot League
Buena Vista University,BVU,Beavers,610 West 4th Street,Storm Lake,IA,50588-9990,9/1/1976,No,Private,Steve Eddie,III,American Rivers Conference
Butler University,BU,Bulldogs,4600 Sunset Avenue,Indianapolis,IN,46208,9/1/1923,No,Private,Blake Beemer,I,Big East Conference
California Institute of Technology,CIT,Beavers,1200 E. California Boulevard,Pasadena,CA,91125,9/1/1954,No,Private,Kevin Whitehead,III,Southern California Intercollegiate Athletic Conf.
California Polytechnic State University,CP,Mustangs,1 Grand Ave.,San Luis Obispo,CA,93407,9/1/1948,No,Public,Larry Lee,I,Big West Conference
"California State Polytechnic University, Pomona",CPP,Broncos,3801 W. Temple Ave.,Bldg 43-116,Pomona,CA,9/1/1957,No,Public,Randal Betten,II,California Collegiate Athletic Association
"California State University, Dominguez Hills",CSUDH,Toros,1000 E. Victoria St.,Carson,CA,90747,9/1/1980,No,Public,Tyler Wright,II,California Collegiate Athletic Association
"California State University, San Bernardino",CSUSB,Coyotes,5500 University Pky,San Bernardino,CA,92407,9/1/1984,No,Public,Michael Nadeau,II,California Collegiate Athletic Association
"California State University, Bakersfield",CSUB,Roadrunners / Runners,9001 Stockdale Highway,8 GYM,Bakersfield,CA,9/1/1972,No,Public,Jeremy Beard,I,Big West Conference
"California State University, Fresno",CSUF,Bulldogs,5241 North Maple Avenue,Fresno,CA,93740,9/1/1937,No,Public,Ryan Overland,I,Mountain West Conference
"California State University, Fullerton",CSUF,Titans,800 N. State College Blvd.,Fullerton,CA,92831,9/1/1961,No,Public,Jason Dietrich,I,Big West Conference
"California State University, East Bay",CSUEB,Pioneers,25800 Carlos Bee Blvd.,Hayward,CA,94542,9/1/1961,No,Public,Michael Cummins,II,California Collegiate Athletic Association
Long Beach State University,CSULB,The Beach,1250 Bellflower Boulevard,Long Beach,CA,90840-0118,9/1/1955,No,Public,Eric Valenzuela,I,Big West Conference
