date,away_team,home_team,game_info,away_team_runs,away_team_hits,away_team_errors,home_team_runs,home_team_hits,home_team_errors,game_id
2016-02-26,South Alabama,Georgia,BULLDOG INVITATIONAL ,3.0,7.0,0.0,1.0,3.0,0.0,
2016-02-26,UMass Lowell,Mississippi State,,2.0,3.0,1.0,4.0,6.0,0.0,
2016-02-26,North Dakota,Alabama,,1.0,4.0,3.0,2.0,4.0,0.0,
2016-02-26,Sacramento State,LSU,,0.0,3.0,4.0,6.0,9.0,0.0,
2016-02-26,Tennessee,Grand Canyon,Grand Canyon Classic ,25.0,21.0,3.0,8.0,12.0,4.0,
2016-02-26,Wake Forest,USC,,4.0,7.0,1.0,9.0,16.0,2.0,
2016-02-26,Indiana,Cal State Fullerton,,3.0,2.0,3.0,8.0,11.0,0.0,
2016-02-26,Houston,Texas Tech,Shriners Hospitals for Children College Classic AT HOUSTON,2.0,5.0,0.0,3.0,7.0,1.0,
2016-02-26,East Carolina,Virginia,,8.0,10.0,1.0,5.0,11.0,1.0,
2016-02-26,Oklahoma State,North Carolina,,1.0,4.0,1.0,2.0,11.0,1.0,
2016-02-26,Penn State,South Carolina,,1.0,2.0,2.0,7.0,14.0,1.0,
2016-02-26,UC Santa Barbara,Kentucky,TONY GWYNN CLASSIC AT SAN DIEGO,11.0,14.0,1.0,4.0,10.0,2.0,
2016-02-26,Louisiana,TCU,Shriners Hospitals for Children College Classic AT HOUSTON,1.0,5.0,1.0,7.0,12.0,2.0,
2016-02-26,Louisville,Ole Miss,,5.0,10.0,2.0,6.0,6.0,2.0,
2016-02-26,Texas A&M,Pepperdine,,5.0,7.0,1.0,7.0,10.0,1.0,
2016-02-26,Florida,Miami,,5.0,8.0,0.0,0.0,4.0,0.0,
2016-02-26,Stanford,Texas,,3.0,5.0,2.0,4.0,8.0,2.0,
2016-02-26,Arkansas,Rice,Shriners Hospitals for Children College Classic AT HOUSTON,5.0,7.0,0.0,2.0,6.0,0.0,
2016-02-26,Illinois State,Oregon,,2.0,2.0,0.0,4.0,7.0,1.0,
2016-02-26,UCLA,Cal Poly,,7.0,11.0,0.0,6.0,10.0,2.0,
2016-02-26,Purdue,California,,0.0,5.0,2.0,10.0,11.0,2.0,
2016-02-27,Nicholls,Mississippi State,,0.0,3.0,0.0,5.0,12.0,1.0,
2016-02-27,Hofstra,Missouri, AT FORT MYERS FL,0.0,3.0,1.0,8.0,11.0,3.0,
2016-02-27,East Carolina,Virginia,,6.0,8.0,1.0,1.0,6.0,0.0,
2016-02-27,Charleston,Florida State,,3.0,8.0,3.0,8.0,12.0,1.0,
2016-02-27,Oklahoma State,North Carolina,,6.0,9.0,2.0,7.0,9.0,0.0,
2016-02-27,North Dakota,Alabama,,2.0,6.0,2.0,5.0,6.0,1.0,
2016-02-27,Southern,Auburn,,0.0,2.0,2.0,7.0,12.0,1.0,
2016-02-27,Oregon State,Kansas,Surprise College Baseball Classic AT SURPRISE AZ,9.0,11.0,2.0,3.0,9.0,2.0,
2016-02-27,UMass Lowell,Mississippi State,,2.0,12.0,0.0,4.0,8.0,1.0,
2016-02-27,Hofstra,Missouri, AT FORT MYERS FL,4.0,8.0,0.0,11.0,15.0,1.0,
2016-02-27,Stanford,Texas,,0.0,2.0,0.0,9.0,13.0,1.0,
2016-02-27,Wake Forest,USC,,5.0,10.0,1.0,4.0,11.0,4.0,
2016-02-27,Florida,Miami,,3.0,7.0,1.0,5.0,9.0,2.0,
2016-02-27,Indiana,Cal State Fullerton,,2.0,5.0,2.0,3.0,7.0,1.0,
2016-02-27,Purdue,California,,0.0,6.0,0.0,4.0,9.0,0.0,
2016-02-27,Alcorn State,Missouri State,,1.0,6.0,1.0,13.0,18.0,1.0,
2016-02-27,Texas Tech,Louisiana, AT LUBBOCK TX,5.0,12.0,2.0,3.0,11.0,1.0,
2016-02-27,UIC,Vanderbilt,,5.0,9.0,2.0,6.0,12.0,1.0,
2016-02-27,Penn State,South Carolina,,5.0,8.0,3.0,16.0,18.0,3.0,
2016-02-27,Louisville,Ole Miss,,4.0,10.0,0.0,0.0,3.0,3.0,
2016-02-27,Sacramento State,LSU,,5.0,10.0,0.0,4.0,11.0,2.0,
2016-02-27,Saint Mary's,Tennessee,Grand Canyon Classic ,3.0,6.0,0.0,6.0,13.0,1.0,
2016-02-27,Wright State,NC State,,1.0,3.0,1.0,6.0,11.0,3.0,
2016-02-27,Cincinnati,Georgia,BULLDOG INVITATIONAL ,6.0,10.0,2.0,7.0,15.0,3.0,
2016-02-27,Texas A&M,Pepperdine,,6.0,13.0,0.0,0.0,2.0,0.0,
2016-02-27,Illinois State,Oregon,,3.0,4.0,1.0,2.0,5.0,2.0,
2016-02-27,Houston,Arkansas,Shriners Hospitals for Children College Classic AT HOUSTON,3.0,11.0,2.0,12.0,13.0,0.0,
2016-02-27,Rice,TCU,Shriners Hospitals for Children College Classic AT HOUSTON,0.0,5.0,1.0,10.0,9.0,0.0,
2016-02-27,San Diego State,Kentucky,TONY GWYNN CLASSIC AT SAN DIEGO,0.0,2.0,3.0,6.0,4.0,1.0,
2016-02-27,UCLA,Cal Poly,,19.0,18.0,0.0,0.0,5.0,4.0,
2016-02-28,Hofstra,Missouri, AT FORT MYERS FL,2.0,7.0,1.0,3.0,7.0,2.0,
2016-02-28,Kansas,Oregon State,Surprise College Baseball Classic AT SURPRISE AZ,1.0,7.0,3.0,3.0,4.0,0.0,
2016-02-28,UIC,Vanderbilt,,8.0,8.0,1.0,20.0,20.0,1.0,
2016-02-28,Florida,Miami,,7.0,12.0,2.0,3.0,3.0,1.0,
2016-02-28,Wright State,NC State,,4.0,9.0,0.0,8.0,12.0,1.0,
2016-02-28,Penn State,South Carolina,,2.0,8.0,2.0,4.0,8.0,1.0,
2016-02-28,North Dakota,Alabama,,1.0,5.0,1.0,7.0,4.0,3.0,
2016-02-28,Louisville,Ole Miss,,2.0,9.0,0.0,4.0,8.0,1.0,
2016-02-28,Western Kentucky,Georgia,BULLDOG INVITATIONAL ,8.0,11.0,1.0,7.0,9.0,0.0,
2016-02-28,Indiana,Cal State Fullerton,,1.0,7.0,3.0,6.0,8.0,1.0,
2016-02-28,TCU,Houston,Shriners Hospitals for Children College Classic AT HOUSTON,10.0,13.0,0.0,1.0,6.0,3.0,
2016-02-28,Wake Forest,USC,,1.0,4.0,1.0,2.0,6.0,0.0,
2016-02-28,Missouri State,Austin Peay,,11.0,17.0,1.0,4.0,9.0,2.0,
2016-02-28,Kentucky,Bryant,TONY GWYNN CLASSIC AT SAN DIEGO,4.0,9.0,2.0,7.0,11.0,0.0,
2016-02-28,Arkansas,Texas Tech,Shriners Hospitals for Children College Classic AT HOUSTON,10.0,12.0,0.0,6.0,11.0,1.0,
2016-02-28,Oklahoma State,North Carolina,,3.0,9.0,0.0,4.0,5.0,1.0,
2016-02-28,Tennessee,Central Michigan,Grand Canyon Classic AT PHOENIX,20.0,19.0,1.0,1.0,8.0,7.0,
2016-02-28,East Carolina,Virginia,,2.0,8.0,5.0,4.0,6.0,2.0,
2016-02-28,Charleston,Florida State,,2.0,5.0,6.0,11.0,10.0,0.0,
2016-02-28,Stanford,Texas,,11.0,15.0,0.0,1.0,5.0,2.0,
2016-02-28,Sacramento State,LSU,,1.0,5.0,3.0,11.0,14.0,1.0,
2016-02-28,Southern,Auburn,,6.0,10.0,0.0,5.0,14.0,2.0,
2016-02-28,Illinois State,Oregon,,1.0,2.0,0.0,3.0,4.0,2.0,
2016-02-28,Purdue,California,,5.0,10.0,2.0,15.0,19.0,0.0,
2016-02-28,Texas A&M,Pepperdine,,4.0,11.0,0.0,0.0,3.0,1.0,
2016-02-28,UCLA,Cal Poly,,2.0,6.0,4.0,6.0,10.0,2.0,
2016-02-28,Nicholls,Mississippi State,,0.0,3.0,0.0,8.0,10.0,0.0,
2016-02-28,Louisiana,Rice, AT HOUSTON,4.0,8.0,1.0,2.0,4.0,1.0,
2016-02-29,Michigan,California,,5.0,10.0,1.0,0.0,5.0,2.0,
2016-03-01,William & Mary,Virginia,,8.0,11.0,6.0,16.0,17.0,2.0,
2016-03-01,UNC Greensboro,NC State,,4.0,9.0,2.0,8.0,10.0,1.0,
2016-03-01,Charleston Southern,Georgia,,3.0,5.0,1.0,10.0,9.0,1.0,
2016-03-01,Incarnate Word,Oklahoma State,,1.0,4.0,4.0,7.0,9.0,1.0,
2016-03-01,Alcorn State,Mississippi State,,0.0,3.0,4.0,14.0,17.0,0.0,
2016-03-01,South Carolina,The Citadel,,6.0,15.0,0.0,3.0,6.0,4.0,
2016-03-01,New Orleans,Louisiana,,4.0,10.0,1.0,7.0,9.0,0.0,
2016-03-01,UT Rio Grande Valley,TCU,,0.0,4.0,4.0,13.0,10.0,0.0,
2016-03-01,USC,Long Beach State,,7.0,15.0,3.0,4.0,6.0,3.0,
2016-03-01,Tennessee Tech,Vanderbilt,,,,,,,,
2016-03-01,Alabama A&M,Auburn,,1.0,5.0,2.0,15.0,17.0,1.0,
2016-03-01,Jacksonville,Florida State,,7.0,16.0,0.0,3.0,8.0,3.0,
2016-03-01,UCLA,UC Santa Barbara,,6.0,12.0,2.0,11.0,7.0,0.0,
2016-03-01,Florida,UCF,,9.0,14.0,0.0,5.0,7.0,2.0,
2016-03-01,Alabama,Troy,,2.0,9.0,0.0,1.0,7.0,0.0,
2016-03-01,Texas,Texas State,,10.0,14.0,0.0,4.0,10.0,1.0,
2016-03-01,Houston Christian,Texas A&M,,2.0,12.0,1.0,3.0,13.0,1.0,
2016-03-01,UTSA,Houston,,3.0,7.0,3.0,2.0,8.0,1.0,
2016-03-01,Morehead State,Louisville,,,,,,,,
2016-03-01,Oral Roberts,Missouri State,,,,,,,,
2016-03-02,Winthrop,North Carolina,,6.0,10.0,4.0,11.0,10.0,2.0,
2016-03-02,Morehead State,Louisville,,5.0,3.0,1.0,9.0,15.0,0.0,
2016-03-02,Austin Peay,Kentucky,,2.0,8.0,1.0,3.0,8.0,1.0,
2016-03-02,Alabama A&M,Auburn,,0.0,2.0,3.0,5.0,4.0,1.0,
2016-03-02,Villanova,Florida State,,10.0,14.0,2.0,11.0,14.0,4.0,
2016-03-02,Arkansas-Pine Bluff,Missouri,,0.0,5.0,0.0,2.0,5.0,0.0,
2016-03-02,Incarnate Word,Oklahoma State,,2.0,7.0,1.0,3.0,6.0,2.0,
2016-03-02,UCF,Florida,,0.0,5.0,3.0,4.0,3.0,0.0,
2016-03-02,Louisiana,McNeese,,2.0,7.0,4.0,7.0,7.0,0.0,
2016-03-02,Cal State Fullerton,Arizona,,0.0,4.0,1.0,2.0,7.0,0.0,
2016-03-02,UNC Wilmington,NC State,,2.0,6.0,0.0,5.0,11.0,2.0,
2016-03-02,Memphis,Ole Miss,,7.0,11.0,2.0,9.0,5.0,1.0,
2016-03-02,Louisiana Tech,Arkansas,,3.0,6.0,1.0,2.0,6.0,0.0,
2016-03-02,Cincinnati,Tennessee,,1.0,4.0,1.0,7.0,7.0,1.0,
2016-03-02,Oral Roberts,Missouri State,,0.0,7.0,1.0,5.0,8.0,0.0,
2016-03-02,Charleston Southern,Georgia,,3.0,7.0,1.0,5.0,14.0,1.0,
2016-03-02,Florida Gulf Coast,Miami,,2.0,6.0,0.0,6.0,10.0,0.0,
2016-03-02,LSU,Nicholls,,9.0,12.0,0.0,4.0,12.0,3.0,
2016-03-02,Rice,Sam Houston,,8.0,9.0,2.0,3.0,8.0,1.0,
2016-03-03,Vanderbilt,Stanford,,1.0,6.0,1.0,4.0,12.0,0.0,
2016-03-03,Vanderbilt,Stanford,,4.0,5.0,1.0,1.0,2.0,2.0,
2016-03-03,California,Texas,,4.0,11.0,0.0,1.0,5.0,0.0,
2016-03-04,Ball State,Ole Miss,Coastal Carolina Tournament AT CONWAY SC,3.0,6.0,4.0,7.0,9.0,1.0,
2016-03-04,Monmouth,Virginia,,2.0,6.0,1.0,4.0,6.0,1.0,
2016-03-04,Niagara,NC State,,1.0,8.0,0.0,7.0,11.0,0.0,
2016-03-04,Buffalo,Kentucky,,1.0,3.0,1.0,5.0,9.0,1.0,
2016-03-04,SIU Edwardsville,Missouri State,,2.0,5.0,0.0,6.0,9.0,1.0,
2016-03-04,Indiana State,Oklahoma State,,0.0,6.0,1.0,1.0,5.0,1.0,
2016-03-04,UC Santa Barbara,Oregon,,1.0,5.0,1.0,13.0,12.0,1.0,
2016-03-04,Clemson,South Carolina,,1.0,6.0,3.0,8.0,12.0,0.0,
2016-03-04,Auburn,Troy,COX DIAMOND INVITATIONAL AT PENSACOLA FL,3.0,8.0,1.0,4.0,10.0,2.0,
