School,Nickname,Color1,Color2,Color3,Color4
Harrison,Hornets,Blue , Gold,,
Harrison Township L'Anse Creuse,Lancers,Blue , White,,
Hart,Pirates,Red , White,,
Hartford,Indians,Green , White,,
Hartland,Eagles,Blue , Gold,,
Haslett,Vikings,Blue , Gold,,
Hastings,Saxons,Navy Blue , Gold,,
Hazel Park,Vikings,Maroon , Grey,,
Hemlock,Huskies,Navy , White,,
Hesperia,Panthers,Green , White,,
Hillman,Tigers,Orange , Black,,
Hillsdale,Hornets,Maize , Blue,,
Hillsdale Academy,Colts,Navy , White,,
Hillsdale Will Carleton Academy,Cougars,Green,White,Gold,
Holland,Dutch,Red , White,,
Holland Black River,Rats,Black , Hunter Green,,
Holland Calvary,Crusaders,Green , White,,
Holland Christian,Maroons,Maroon , White,,
Holland West Ottawa,Panthers,Black , White,,
Holly,Bronchos,Red , White,,
Holt,Rams,Brown , Gold,,
Holton,Red Devils,Red , White,,
Homer,Trojans,Orange , Black,,
Hope of Detroit Academy,Warriors,Blue , Gold,,
Hopkins,Vikings,Royal Blue , White,,
Houghton,Gremlins,Orange , Black,,
Houghton Lake,Bobcats,Green , White,,
Howard City Tri County,Vikings,Black , Gold,,
Howell,Highlanders,Green , Vegas Gold,,
Hudson,Tigers,Orange , Black,,
Hudsonville,Eagles,Maize , Blue,,
Hudsonville Libertas Christian,Phoenix,Maroon , White,,
Hudsonville Unity Christian,Crusaders,Navy , White,,
Ida,Bluestreaks,Royal Blue , Gold,,
Imlay City,Spartans,Royal Blue , Athletic Gold,,
Indian River Inland Lakes,Bulldogs,Blue , White,,
Inkster American International Academy,Vikings,Burgundy , Gray,,
International Academy of Flint,Phoenix,Black,Maroon,White,
Ionia,Bulldogs,Royal Blue , White,,
Iron Mountain,Mountaineers,Black , Gold,,
Ironwood,Red Devils,Red , White,,
Ishpeming,Hematites,Blue , White,,
Ishpeming Westwood,Patriots,Red,White,Blue,
Ithaca,Yellowjackets,Blue , Gold,,
Jackson,Vikings,Orange,Black,White,
Jackson Christian,Royals,Purple,White,Black,
Jackson Lumen Christi,Titans,Forest Green , Gold,,
Jackson Northwest,Mounties,Red , Black,,
Jackson Prep,Falcons,Black,Maroon,Gold,
Jenison,Wildcats,"Green, White, ", Grey,,
Johannesburg-Lewiston,Cardinals,Red , White,,
Jonesville,Comets,Orange , Black,,
Kalamazoo Central,Maroon Giants,Maroon , White,,
Kalamazoo Christian,Comets,Purple , Gold,,
Kalamazoo Hackett Catholic Prep,Irish,Green,White,,
Kalamazoo Heritage Christian,Eagles,Navy Blue , White,,
Kalamazoo Lakeside Academy,Titans,Texas Orange , White,,
Kalamazoo Loy Norrix,Knights,Navy , White,,
Kalamazoo Phoenix,Fury,Forest Green , White,,
Kalkaska,Blazers,Blue , White,,
Kent City,Eagles,Scarlet , White,,
Kentwood Grand River Prep,Titans,Navy Blue , White,,
Kimball Landmark Academy,Lakers,Royal Blue,White,Black,
Kimball New Life Christian,Knights,Red , White,,
Kinde North Huron,Warriors,Blue , Gold,,
Kingsford,Flivvers,Maize , Blue,,
Kingsley,Stags,Orange , Black,,
Kingston,Cardinals,Red , Black,,
Kinross Maplewood Baptist,Black Bears,Forest Green,Silver,Black,
Laingsburg,Wolfpack,Red , White,,
Lake City,Trojans,Red , Black,,
Lake Fenton,Blue Devils,Royal Blue , White,,
Lake Leelanau St Mary,Eagles,Royal Blue , White,,
Lake Linden-Hubbell,Lakes,Navy , Gold,,
Lake Odessa Lakewood,Vikings,Navy Blue , White,,
Lake Orion,Dragons,Green , White,,
Lakeview,Wildcats,Navy , Vegas Gold,,
L'Anse,Purple Hornets,Purple , White,,
Lansing Catholic,Cougars,Columbia Blue , Silver,,
Lansing Christian,Pilgrims,Black , Gold,,
Lansing Eastern,Quakers,Blue , Gold,,
Lansing Everett,Vikings,Red , Blue,,
Lansing Martin Luther,Mavericks,Black,Gold,Silver,
Lansing New Covenant Christian,Warriors,Red , Black,,
Lansing Sexton,Big Reds,Red , White,,
Lansing Waverly,Warriors,Black , Gold,,
Lapeer,Lightning,Blue , Green,,
Lawrence,Tigers,Purple , White,,
Lawton,Blue Devils,Royal Blue , Gold,,
Leland,Comets,Purple , Gold,,
LeRoy Pine River,Bucks,Green , White,,
Leslie,Blackhawks,Orange , Black,,
Lincoln Park,Railsplitters,Royal Blue , Orange,,
Linden,Eagles,Red,Black,White,
Litchfield,Terriers,Red , White,,
Livingston Christian,Falcons,Red,White,Navy Blue,
"Livingston Classical Academy
Livonia Churchill",Chargers,Red , Black,,
Livonia Clarenceville,Trojans,Red , Gray,,
Livonia Franklin,Patriots,Red , Blue,,
Livonia Stevenson,Spartans,Blue , White,,
Lowell,Red Arrows,Red , White,,
Ludington,Orioles,Orange , Black,,
Lutheran Westland,Warriors,Black , White,,
Mackinac Island,Lakers,Royal Blue , White,,
Mackinaw City,Comets,Blue , White,,
Macomb Dakota,Cougars,Green,Navy,Gray,
Macomb L'Anse Creuse North,Crusaders,Black , Vegas Gold,,
Macomb Lutheran North,Mustangs,Black , Gold,,
Madison Heights Bishop Foley,Ventures,Black,Gold,White,
Madison Heights Lamphere,Rams,Blue , White,,
Madison Heights Madison,Eagles,Purple , Gold,,
Mancelona,Ironmen,Orange , Black,,
Mancelona North Central Academy,Hawks,Green , Gold,,
Manchester,Flying Dutchmen,Maroon , Gold,,
Manistee,Chippewas,Navy , Gold,,
Manistee Catholic Central,Sabers,Red,White,Blue,
Manistique,Emeralds,Green , White,,
Manton,Rangers,Orange , Black,,
Maple City Glen Lake,Lakers,Black,White,Gold,
Marcellus,Wildcats,Orange , Black,,
Marcellus Howardsville Christian,Eagles,Red , White,,
Marine City,Mariners,Orange , Black,,
Marine City Cardinal Mooney,Cardinals,Red,White,Black,
Marion,Eagles,Maroon , White,,
Marlette,Red Raiders,Red , White,,
Marquette,Redmen/Redettes,Red , White,,
Marquette North Star Academy,Polar Bears,Teal , Black,,
Marshall,Redhawks,Red , Black,,
Marshall Academy,Griffons,Blue , Yellow,,
Martin,Clippers,Maroon , White,,
Marysville,Vikings,Navy , White,,
Mason,Bulldogs,Blue , Red,,
Mason County Central,Spartans,Royal Blue , Gold,,
Mason County Eastern,Cardinals,Scarlet , Gold,,
Mattawan,Wildcats,Blue , Gold,,
Mayville,Wildcats,Maroon , White,,
McBain,Ramblers,Green , Gold,,
McBain Northern Michigan Christian,Comets,Maroon , White,,
Melvindale,Cardinals,Red , White,,
Melvindale Academy for Business & Tech,Gators,Blue , Gold,,
Memphis,Yellowjackets,Blue , Gold,,
Mendon,Hornets,Green , White,,
Menominee,Maroons,Maroon , White,,
Merrill,Vandals,Orange , Black,,
Mesick,Bulldogs,Orange , Black,,
Michigan Center,Cardinals,Red , Grey,,
Middleville Thornapple Kellogg,Trojans,Orange , Black,,
Midland,Chemics,Blue , Gold,,
Midland Bullock Creek,Lancers,Black , Gold,,
Midland Calvary Baptist,Kings,Purple,Gold,White,
Midland Dow,Chargers,Green , Gold,,
Milan,Big Reds,Red , Black,,
Milford,Mavericks,Cardinal , White,,
Millington,Cardinals,Red , White,,
Mio,Thunderbolts,Blue , Gold,,
Monroe,Trojans,Red , White,,
Monroe Jefferson,Bears,Royal Blue , Gold,,
Monroe St Mary Catholic Central,Falcons/Kestrels,Green , Gold,,
Montague,Wildcats,Royal , White,,
Montrose,Rams,Red , Black,,
Morenci,Bulldogs,Maroon , White,,
Morley Stanwood,Mohawks,Blue , Gold,,
Morrice,Orioles,Orange , Black,,
Mount Clemens,Battling Bathers,Red , Gray,,
Mount Pleasant,Oilers,Blue , Gold,,
Mount Pleasant Sacred Heart,Irish,Red,White,Green,
Mt Morris,Panthers,Navy , White,,
Munising,Mustangs,Orange , Black,,
Muskegon,Big Reds,Cardinal , White,,
Muskegon Catholic Central,Crusaders,Green , Gold,,
Muskegon Heights Academy,Tigers,Orange , Black,,
Muskegon Mona Shores,Sailors,Navy Blue,Columbia,White,
Muskegon Oakridge,Eagles,Blue , White,,
Muskegon Orchard View,Cardinals,Red , Gray,,
Muskegon Reeths-Puffer,Rockets,Green , White,,
Muskegon Western Michigan Christian,Warriors,Forest Green , White,,
Napoleon,Pirates,Green , White,,
Negaunee,Miners,Maize , Blue,,
New Baltimore Anchor Bay,Tars,Red , White,,
New Boston Huron,Chiefs,Red , White,,
New Buffalo,Bison,Royal Blue , Gold,,
New Haven,Rockets,Green , White,,
New Haven Merritt Academy,Mustangs,Royal Blue,White,,
New Lothrop,Hornets,Black , White,,
Newaygo,Lions,Black , White,,
Newberry,Indians,Orange , Black,,
Niles,Vikings,Navy Blue , Vegas Gold,,
Niles Brandywine,Bobcats,Maroon , Gold,,
North Adams-Jerome,Rams,Green , White,,
North Branch,Broncos,Blue , White,,
North Farmington,Raiders,Brown , Gold,,
North Muskegon,Norsemen,Blue , Gold,,
Northport,Wildcats,Blue , Gold,,
Northville,Mustangs,Orange , Black,,
Norway,Knights,Navy , White,,
Novi,Wildcats,Green , White,,
Novi Christian Academy,Warriors,Maroon , White,,
Oak Park,Knights,Red,White,Black,
Ogemaw Heights,Falcons,Brown , Gold,,
Okemos,Chiefs,Maroon , White,,
Olivet,Eagles,Green , White,,
Onaway,Cardinals,Red , White,,
Onekama,Portagers,Royal Blue , Vegas Gold,,
Onsted,Wildcats,Purple , Gold,,
Ontonagon,Gladiators,Maroon , White,,
Orchard Lake St Mary's,Eaglets,Red , White,,
Ortonville Brandon,Blackhawks,Royal Blue , White,,
Oscoda,Owls,Royal Blue , White,,
Otisville LakeVille Memorial,Falcons,Black , Gold,,
Otsego,Bulldogs,Navy Blue , Vegas Gold,,
Ottawa Lake Whiteford,Bobcats,Blue , Gold,,
Ovid-Elsie,Marauders,Blue , Gold,,
Owendale-Gagetown,Bulldogs,Scarlet , Grey,,
Owosso,Trojans,Blue , Gold,,
Oxford,Wildcats,Navy Blue , Gold,,
Painesdale Jeffers,Jets,Green , White,,
Paradise Whitefish Township,Rockets,Blue , White,,
Parchment,Panthers,Maroon , White,,
Parma Western,Panthers,Maroon,White,Gold,
