PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_PACISL_PCT,PSS_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3
00643438,GRANDVILLE CALVIN CHRISTIAN HIGH SCHOOL,2,17,3750 IVANREST AVE SW,GRANDVILLE,26081,081,MI,26,49418,6165380990,180,7.25,Yes,,13,193,48,48,47,52,42,51,45,53,79,84,72,77,904,891,2,12,26,5,846,0,0,67,21,1,1,3,2,2,0.22,1.34,2.91,0.56,94.94,0,0,13.29,8,KENT,Christian Schools International (CSI),,
00646687,GREAT LAKES ADVENTIST ACADEMY,14,17,PO BOX 68,CEDAR LAKE,26117,117,MI,26,48812,9894274444,171,9.91,Yes,,,,,,,,,,,,15,25,50,50,140,140,0,13,16,10,101,0,0,18.1,43,1,1,2,2,4,0,9.28,11.42,7.14,72.14,0,0,7.73,28,MONTCALM,General Conference of the Seventh-Day Adventist Church (GCSDAC),,
00643846,GREENHILLS SCHOOL,11,17,850 GREENHILLS DR,ANN ARBOR,26161,161,MI,26,48105,7347694010,,7.5,Yes,,,,,,,,,100,100,100,100,100,100,100,700,700,,,,,,,,100,12,1,3,3,3,1,,,,,,,,7,30,WASHTENAW,National Association of Independent Schools (NAIS),,
A1301558,GRIGGS INTERNATIONAL ACADEMY,3,17,12501 OLD COLUMBIA PIKE,SILVER SPRING,26021,021,MD,26,20904,2694716559,180,6.5,Yes,,,20,84,82,77,50,76,65,112,143,310,459,255,212,1945,1945,11,109,123,10,1617,0,75,15.9,31,1,1,3,2,3,0.56,5.6,6.32,0.51,83.13,0,3.85,122.32,28,BERRIEN,General Conference of the Seventh-Day Adventist Church (GCSDAC),,
00639636,HACKETT CATHOLIC PREP,14,17,1000 W KILGORE RD,KALAMAZOO,26077,077,MI,26,49008,2693812646,180,6.75,Yes,,,,,,,,,,,,52,59,63,61,235,235,0,15,19,1,176,1,23,20.6,13,1,1,2,1,1,0,6.38,8.08,0.42,74.89,0.42,9.78,11.4,1,KALAMAZOO,Other school association(s),,
A9103488,HARBOR LIGHT CHRISTIAN SCHOOL,2,17,8333 CLAYTON RD,HARBOR SPRINGS,26047,047,MI,26,49740,2313477859,175,7,Yes,,12,10,12,13,10,7,6,6,9,6,8,8,9,21,137,125,5,10,4,4,98,3,1,13.5,41,1,1,3,2,4,4,8,3.2,3.2,78.4,2.4,0.8,9.25,8,EMMET,School does not belong to ANY associations or organizations,,
A9502327,HAVENWYCK SCHOOL,10,17,1525 UNIVERSITY DR,AUBURN HILLS,26125,125,MI,26,48326,2483712230,220,7,Yes,,,,,,,,1,,1,3,7,8,6,4,30,30,0,0,2,11,15,0,2,2,21,3,4,3,3,2,0,0,6.66,36.66,50,0,6.66,15,30,OAKLAND,School does not belong to ANY associations or organizations,,
A1902439,HERITAGE CHRISTIAN ACADEMY,3,17,6312 QUAIL RUN DR,KALAMAZOO,26077,077,MI,26,49009,2693721400,,7,Yes,,,24,12,10,10,13,10,12,15,21,16,11,18,19,191,191,8,1,8,5,161,3,5,16.6,22,1,1,3,2,2,4.18,0.52,4.18,2.61,84.29,1.57,2.61,11.5,8,KALAMAZOO,Association of Christian Schools International (ACSI),,
A9103494,HILLSDALE ACADEMY,3,17,1 ACADEMY LN,HILLSDALE,26059,059,MI,26,49242,5174398644,172,7.11,Yes,,,11,17,17,11,12,13,13,18,21,18,17,24,20,212,212,0,1,4,3,204,0,0,22.4,32,1,1,3,2,3,0,0.47,1.88,1.41,96.22,0,0,9.46,8,HILLSDALE,School does not belong to ANY associations or organizations,,
02036567,HOWARDSVILLE CHRISTIAN SCHOOL,2,17,53441 BENT RD,MARCELLUS,26149,149,MI,26,49067,2696469367,174,6.75,No,,27,13,16,10,13,12,10,13,12,12,8,3,13,10,172,145,0,0,0,1,144,0,0,14.4,42,1,1,3,2,4,0,0,0,0.68,99.31,0,0,10.06,8,ST. JOSEPH,Association of Christian Schools International (ACSI),,
00644409,HURON VALLEY LUTHERAN HIGH SCHOOL,14,17,33740 COWAN RD,WESTLAND,26163,163,MI,26,48185,7345250160,180,6.91,Yes,,,,,,,,,,,,16,20,22,24,82,82,0,3,7,0,72,0,0,6.8,21,1,1,2,2,2,0,3.65,8.53,0,87.8,0,0,12.05,23,WAYNE,Other school association(s),,
02038087,IMMANUEL CHRISTIAN SCHOOL,3,17,PO BOX 6,ROSCOMMON,26143,143,MI,26,48653,9892754363,180,7,Yes,,,3,2,3,3,6,3,6,4,2,2,,2,2,38,38,0,0,0,0,38,0,0,7.3,42,1,1,3,2,4,0,0,0,0,100,0,0,5.2,8,ROSCOMMON,American Association of Christian Schools (AACS),Other religious school associations,
00641554,INTER-CITY BAPTIST SCHOOL,3,17,4700 ALLEN RD,ALLEN PARK,26163,163,MI,26,48101,3139286900,178,7.25,Yes,,,21,27,17,26,29,25,26,18,23,27,31,22,18,310,310,,,,,,,,24.5,21,1,1,3,2,2,,,,,,,,12.65,5,WAYNE,School does not belong to ANY associations or organizations,,
00643879,INTERLOCHEN ARTS ACADEMY,14,17,PO BOX 199,INTERLOCHEN,26055,055,MI,26,49643,2312767200,261,9,Yes,14,,,,,,,,,,,52,90,161,235,552,552,,,,,,,,90,41,1,3,2,3,4,,,,,,,,6.13,30,GRAND TRAVERSE,National Association of Independent Schools (NAIS),The Association of Boarding Schools (TABS),Other school association(s)
