school_id,school_name,students,enrollment,division
2253,Gladwin HS,492,492,B
1346,Berrien Springs HS,491,491,B
1057,Shepherd HS,489,489,B
9145,Detroit - Communication Media Arts HS,488,488,B
5339,Detroit - Old Redford Preparatory HS,488,488,B
4844,Hopkins HS,487,487,B
4241,Saginaw HS,487,487,B
1305,Kingsley Area HS,486,486,B
6436,Olivet HS,485,485,B
6535,Parchment HS,485,485,B
4563,Dundee HS,480,480,B
1621,Ferndale - University HS,478,478,B
3235,Flint - Hamady HS,476,476,B
3788,Clare HS,469,469,B
1148,Richmond HS,469,469,B
5867,Newaygo HS,467,467,B
5826,Grand Rapids - West Catholic HS,466,466,B
8184,Ann Arbor - Father Gabriel Richard HS,462,462,B
4885,Onsted HS,458,458,B
3012,Standish-Sterling HS,455,455,B
4010,Montague HS,453,453,B
3383,Ovid-Elsie HS,452,452,B
5603,Mt Morris (EAJ) HS,451,451,B
1726,Stanton - Central Montcalm HS,450,450,B
2947,Manistee HS,450,450,B
5636,Houghton HS,449,449,B
5165,Durand Area HS,447,447,B
5685,Detroit - Pershing HS,447,447,B
6254,Detroit - Osborn HS,446,446,B
1296,Detroit - Southeastern HS,445,445,B
1109,Detroit School of Arts,440,440,B
2435,Lansing Catholic HS,439,439,B
4836,Ida HS,438,438,B
4786,Almont HS,437,437,B
3053,Boyne City HS,436,436,B
4348,Dearborn - Advanced Technology Academy,435,435,B
1668,Algonac HS,433,433,B
5041,Hillsdale HS,429,429,B
1028,Detroit - Jalen Rose Leadership Academy,425,425,B
6907,Kalkaska HS,425,425,B
7608,Stockbridge HS,424,424,B
9057,Detroit Collegiate Prep @ Northwestern,422,422,B
1767,Chesaning HS,421,421,B
9060,Detroit Edison PSA Early College of Excellence,420,420,B
7806,Clawson HS,418,418,B
5379,Warren - Michigan Collegiate HS,417,417,B
5710,Negaunee HS,416,416,B
5033,Reed City HS,416,416,B
6931,Constantine HS,411,411,B
6460,Otisville - LakeVille Memorial HS,410,410,B
4126,Coloma HS,409,409,B
2864,Kalamazoo - Comstock HS,408,408,B
3474,Jonesville HS,406,406,B
1684,Dearborn Heights - Robichaud HS,406,406,B
5883,Benzonia - Benzie Central HS,403,403,B
1085,Taylor Preparatory HS,403,403,B
1932,Ecorse HS,402,402,B
6130,Gladstone HS,402,402,B
7871,Michigan Center HS,401,401,B
5421,Fennville HS,400,400,B
3598,Caro HS,399,399,B
1817,Shelby HS,399,399,B
5578,Watervliet HS,399,399,B
1635,Clinton HS,397,397,C
1783,Elk Rapids HS,396,396,C
3805,Hart HS,396,396,C
3639,Dearborn Heights - Star International Academy,395,395,C
1111,Canton Preparatory HS,392,392,C
1453,Brooklyn - Columbia Central HS,391,391,C
5314,Grayling HS,390,390,C
5966,Sanford - Meridian Early College HS,390,390,C
4258,Quincy HS,390,390,C
2170,Clinton Township - Clintondale HS,389,389,C
1692,Adrian - Madison HS,388,388,C
4439,Detroit - Voyageur College Prep,388,388,C
2674,Grand Rapids - Covenant Christian HS,387,387,C
7673,Erie-Mason HS,382,382,C
5009,Lake City Area HS,382,382,C
7120,Menominee HS,382,382,C
7252,Blissfield HS,380,380,C
4464,Millington HS,380,380,C
5405,Pinconning Area HS,378,378,C
6650,Buchanan HS,376,376,C
7293,Calumet HS,376,376,C
3318,Kent City HS,372,372,C
6691,Morley Stanwood HS,372,372,C
3796,Napoleon HS,372,372,C
1338,Laingsburg HS,371,371,C
1701,Tawas City - Tawas Area HS,370,370,C
6056,Niles - Brandywine HS,369,369,C
2377,Montrose Hill-McCloy HS,365,365,C
1341,Southfield - Bradford Academy HS,364,364,C
1503,Scottville - Mason County Central HS,360,360,C
1022,Grand Rapids - Wellspring Preparatory HS,356,356,C
2195,Houghton Lake HS,353,353,C
5058,Leslie HS,351,351,C
4431,Grass Lake HS,348,348,C
1206,Madison Heights - Madison HS,348,348,C
6956,LeRoy - Pine River Area HS,343,343,C
3433,Monroe - St Mary Catholic Central HS,341,341,C
1536,Delton Kellogg HS,339,339,C
4497,Bloomingdale HS,337,337,C
6568,Hemlock HS,337,337,C
3152,Ishpeming - Westwood HS,337,337,C
2220,Harrison Community HS,335,335,C
4398,Ithaca HS,335,335,C
6221,North Muskegon HS,335,335,C
8003,Ravenna HS,333,333,C
2848,New Haven HS,330,330,C
8052,St Louis HS,330,330,C
4811,Detroit Central HS,329,329,C
7112,Perry HS,329,329,C
1107,Traverse City - St Francis HS,329,329,C
2476,Burton - Bendle HS,325,325,C
7368,Bronson HS,325,325,C
5090,Bangor HS,324,324,C
5586,Hartford HS,324,324,C
1560,Oscoda HS,320,320,C
5215,St Charles HS,320,320,C
1019,Ypsilanti - Arbor Preparatory HS,319,319,C
6543,Ann Arbor - Greenhills HS,319,319,C
6717,Manchester HS,318,318,C
2617,Hanover-Horton HS,316,316,C
1168,Hamtramck - Oakland International Academy,312,312,C
5504,Beaverton HS,311,311,C
1152,Detroit Leadership Academy,311,311,C
1362,Bad Axe HS,310,310,C
5743,Bath HS,310,310,C
9960,Detroit Cristo Rey HS,310,310,C
3482,Jackson - Lumen Christi HS,310,310,C
7525,Sandusky HS,310,310,C
1321,Homer HS,308,308,C
2427,Galesburg-Augusta HS,305,305,C
5330,Union City HS,305,305,C
4332,Lakeview HS,304,304,C
8218,Mancelona HS,304,304,C
3838,Schoolcraft HS,303,303,C
1222,Grosse Pointe Woods - University Liggett HS,303,303,C
