PopularName_Score,ProperName_Score,MHSAA_SchoolId,SchoolInfo_Index,Matched_School_Name
55,77,4247,651,kearsley street
81,100,4248,1374,hackett catholic prep
71,62,4249,340,detroit public safety academy
62,79,4250,1424,our lady of the lakes catholic school
63,76,4251,1064,saginaw high school
53,67,4252,26,alba school
64,74,4253,898,north huron school
53,67,4254,46,apollo center
73,81,4255,1006,portage northern high school
67,77,4256,1145,swartz creek high school
68,68,4257,1349,detroit country day school
45,64,4258,1025,reese high school
40,57,4259,1213,veritas
54,69,4260,567,hopkins high school
60,75,4261,1450,the leelanau school
50,67,4262,384,edison
42,50,4263,46,apollo center
60,79,4264,1349,detroit country day school
62,63,4265,384,edison
45,57,4266,528,hartland virtual academy
54,69,4267,106,berkley high school
52,56,4268,414,flat river academy
51,58,4269,476,grand rapids learning center
60,73,4270,116,birch run high school
50,67,4271,945,otsego high school
60,74,4272,341,detroit school of arts
60,63,4273,675,lake city high school
56,59,4274,443,fulton alternative education
70,79,4275,1245,waterford mott high school
60,73,4276,1024,reed city high school
69,73,4277,1378,hillsdale academy
50,67,4278,712,leslie high school
50,67,4279,793,martin high school
50,67,4280,574,howell high school
76,83,4281,1229,walled lake central high school
50,67,4282,66,bangor high school
65,76,4283,1009,potterville high school
50,67,4284,172,canton high school
60,73,4285,85,beal city high school
60,73,4286,316,dansville high school
73,80,4287,1405,mesivta of west bloomfield
62,74,4288,35,allen park high school
41,76,4289,360,durand area high school
80,88,4290,678,lake lindenhubbell schools
61,77,4291,862,muskegon covenant academy
52,69,4292,91,beekman center
77,69,4293,46,apollo center
57,63,4294,1114,st charles virtual school
50,59,4295,69,baraga school
64,71,4296,889,north adamsjerome middlehigh school
62,68,4297,1414,north pointe christian schools
60,73,4298,36,allendale high school
73,69,4299,79,bay city central high school
44,54,4300,9,ace
55,91,4301,592,ingham county youth center
67,77,4302,740,link learning kenowa hills
70,68,4303,340,detroit public safety academy
52,73,4304,528,hartland virtual academy
70,81,4305,1347,de la salle collegiate high school
57,71,4306,488,grayling high school
55,58,4307,25,alanson public school
62,74,4308,1187,union city high school
63,68,4309,341,detroit school of arts
65,82,4310,1335,calvary christian schools
69,63,4311,476,grand rapids learning center
66,86,4312,1080,seiter education service center
59,71,4313,1006,portage northern high school
64,75,4314,1391,lake michigan academy
60,82,4315,1169,thornapple kellogg high school
62,78,4316,750,livonia career technical center
62,65,4317,987,pinconning high school
57,71,4318,156,burr oak high school
49,60,4319,409,fennville public high school
68,68,4320,1268,west mi academy of environmental science
50,57,4321,384,edison
60,73,4322,782,marcellus high school
86,100,4323,1319,auburn hills christian school
57,63,4324,901,north pointe center
60,57,4325,1306,wyoming high school
68,84,4326,113,big bay de noc school
50,54,4327,1213,veritas
52,76,4328,1371,great lakes adventist academy
70,79,4329,515,harbor springs high school
82,85,4330,1225,wakefieldmarenisco school
53,57,4331,630,jerry l white center
