,school_id,school_name,enrollment_total,enrollment_classification,division,level,match
62,6948,Fraser HS,1503,1503,A,high_school,fraser hs
63,1404,Wayne Memorial HS,1488,1488,A,high_school,wayne memorial hs
64,1313,White Lake - Lakeland HS,1486,1486,A,high_school,white lake - lakeland hs
65,5784,Farmington HS,1479,1479,A,high_school,farmington hs
66,4324,Caledonia HS,1476,1476,A,high_school,caledonia hs
67,5082,Walled Lake Central HS,1473,1473,A,high_school,walled lake central hs
68,3111,Warren Mott HS,1460,1460,A,high_school,warren mott hs
69,3714,Sterling Heights HS,1459,1459,A,high_school,sterling heights hs
70,2146,St Clair Shores - Lakeview HS,1442,1442,A,high_school,st clair shores - lakeview hs
71,6007,Okemos HS,1427,1427,A,high_school,okemos hs
72,6080,Highland - Milford HS,1425,1425,A,high_school,highland - milford hs
73,4233,Traverse City Central HS,1417,1417,A,high_school,traverse city central hs
74,2022,Harrison Township - L'Anse Creuse HS,1401,1401,A,high_school,harrison township - l'anse creuse hs
75,4547,Saginaw - Heritage HS,1398,1398,A,high_school,saginaw - heritage hs
76,1437,Portage Central HS,1393,1393,A,high_school,portage central hs
77,5842,Dearborn Heights - Crestwood HS,1388,1388,A,high_school,dearborn heights - crestwood hs
78,3648,Detroit - U of D Jesuit HS,692,1384,B,high_school,detroit - u of d jesuit hs
79,3508,Livonia - Franklin HS,1379,1379,A,high_school,livonia - franklin hs
80,2443,Grosse Pointe Farms - Grosse Pointe South HS,1373,1373,A,high_school,grosse pointe farms - grosse pointe south hs
81,6122,Temperance - Bedford HS,1371,1371,A,high_school,temperance - bedford hs
82,4935,Berkley HS,1370,1370,A,high_school,berkley hs
83,6626,Birmingham - Seaholm HS,1345,1345,A,high_school,birmingham - seaholm hs
84,5025,Waterford Mott HS,1343,1343,A,high_school,waterford mott hs
85,3375,Farmington Hills - North Farmington HS,1339,1339,A,high_school,farmington hills - north farmington hs
86,2583,Battle Creek - Lakeview HS,1338,1338,A,high_school,battle creek - lakeview hs
87,5850,Wyandotte - Roosevelt HS,1322,1322,A,high_school,wyandotte - roosevelt hs
88,2336,Flushing HS,1320,1320,A,high_school,flushing hs
89,2996,Lincoln Park HS,1308,1308,A,high_school,lincoln park hs
90,7797,Farmington Hills - Mercy HS,650,1300,B,high_school,farmington hills - mercy hs
91,6295,South Lyon HS,1297,1297,A,high_school,south lyon hs
92,4381,Livonia - Churchill HS,1294,1294,A,high_school,livonia - churchill hs
93,1172,Warren - Cousino HS,1288,1288,A,high_school,warren - cousino hs
94,5990,Midland HS,1281,1281,A,high_school,midland hs
95,2113,Midland - HH Dow HS,1269,1269,A,high_school,midland - hh dow hs
96,5256,Bay City - Central HS,1263,1263,A,high_school,bay city - central hs
97,6477,Ypsilanti - Lincoln HS,1247,1247,A,high_school,ypsilanti - lincoln hs
98,7962,Muskegon - Mona Shores HS,1240,1240,A,high_school,muskegon - mona shores hs
99,2963,Beverly Hills - Wylie E Groves HS,1230,1230,A,high_school,beverly hills - wylie e groves hs
100,4794,Portage Northern HS,1227,1227,A,high_school,portage northern hs
101,3268,Port Huron Northern HS,1221,1221,A,high_school,port huron northern hs
