,Unnamed: 0,field,home_plate,foul_ft,fop_ft,foul_pct,match,mat2
68,76,Detroit Catholic Central HS - Novi,"-83.54344949999999,42.488053,0",18311.1401698622,96536.823683167,15.9438091504129,detroit catholic central hs - novi,[]
69,77,Detroit Country Day,"-83.2646187,42.513942,0",17028.7593853639,91589.4819154762,15.6776239252478,detroit country day,[]
70,78,Detroit Western,"-83.0689599,42.3320337,0",28788.7385602094,108026.160937249,21.0421077426176,detroit western,[]
71,79,Dewitt High School,"-84.58102770000001,42.8262729,0",20440.806267228,84826.502337134,19.4180002683007,dewitt high school,[]
72,80,Dow Diamond (Midland),"-84.2371778,43.609054,0",29101.1937624584,106467.655436801,21.4659886355495,dow diamond (midland),[]
73,81,East Lansing High School,"-84.4568141,42.7419931,0",28064.4843498446,89645.335974471,23.8420925905085,east lansing high school,[]
74,82,Eastern High School,"-84.53557480000001,42.7372929,0",38328.7648656191,86897.6743459555,30.6075658678287,eastern high school,[]
75,83,Eaton Rapids High School,"-84.63514499999999,42.5118192,0",37223.0087916192,101498.296214205,26.8329430652749,eaton rapids high school,[]
76,84,Ecorse High School,"-83.149694,42.2528271,0",29410.7677211473,78787.6383175818,27.182256003494,ecorse high school,[]
77,85,Edwardsburg HS,"-86.091742,41.7896252,0",30166.4270173009,85216.1049591399,26.1447088225281,edwardsburg hs,['edwardsburg hs']
78,86,EMU,"-83.64872339999999,42.2573876,0",17041.1056279869,109552.682914666,13.4612494216058,emu,[]
79,87,Everett High School,"-84.5561434,42.6905115,0",36876.1731983827,93447.6138089378,28.2958115668564,everett high school,[]
80,88,Fankfort H S,"-86.22585100000001,44.634408,0",25912.5096447368,89205.2637234116,22.509564671537,fankfort h s,['frankfort hs']
81,89,Fenway Park - Boston,"-71.0977733,42.3462476,0",17744.3188714898,102744.69070018,14.7269190232118,fenway park - boston,[]
82,90,Forrest Hills Eastern,"-85.5286469,43.0058274,0",34527.5629537916,98243.7776310163,26.0052830691553,forrest hills eastern,['ada - forest hills eastern hs']
83,91,Fowlerville HS,"-84.0655802,42.6688057,0",19823.2699897209,94791.4549137442,17.2955700119833,fowlerville hs,['fowlerville hs']
84,92,Gabriel Richard HS - Baseball,"-83.2089242,42.1817944,0",22711.757738857,92645.044149266,19.6882692369398,gabriel richard hs - baseball,[]
85,93,Garber High School Essexville,"-83.8341769,43.6056339,0",25668.2189244339,91404.3486567556,21.9250499538528,garber high school essexville,[]
86,96,Gladstone High School,"-87.03889359999999,45.85971000000001,0",22977.7698234044,84311.83807144,21.4165847692585,gladstone high school,[]
87,97,Gladstone_youth,"-87.0393735,45.8605932,0",10047.9225706513,36433.6804046371,21.6169880715887,gladstone_youth,[]
88,98,Gladwin High School,"-84.4919148,43.9902464,0",26731.1271124326,93476.7498943384,22.2374171959853,gladwin high school,[]
89,99,Goodrich HS,"-83.52947949999999,42.9168576,0",33688.1035374843,91639.6841532489,26.8799953770948,goodrich hs,['goodrich hs']
90,100,GR West Catholic,"-85.712159,42.9943182,0",23865.5354363519,94829.1620234605,20.1066567817255,gr west catholic,[]
91,101,GR West Catholic Youth Field,"-85.7121231,42.9958129,0",13310.970062104,34313.2633204942,27.9499933472269,gr west catholic youth field,[]
92,102,Grand Blanc,"-83.6283145,42.9187188,0",26521.9459228983,93196.2035624549,22.1536550948301,grand blanc,['grand blanc hs']
93,103,Grand Ledge,"-84.75398939999999,42.7472938,0",28836.4431519731,79360.8768110812,26.6517166615769,grand ledge,['grand ledge hs']
94,104,Grand Ledge Bridge St (u),"-84.74489749999999,42.7543876,0",11531.246578546,37085.6234332526,23.7186116172176,grand ledge bridge st (u),[]
95,105,Grand Ledge Hayes (u),"-84.7006386,42.7518189,0",8451.51166659086,43892.763764881,16.1460094669863,grand ledge hayes (u),['grand ledge hs']
96,106,Grand Ledge JV,"-84.7588678,42.7462458,0",23246.9681374608,70056.7448240752,24.9153730324154,grand ledge jv,['grand ledge hs']
97,107,Grand Rapids Kenowa Hills,"-85.7475037,43.0343372,0",37757.9194108042,93309.5224618723,28.8080082065564,grand rapids kenowa hills,['grand rapids - kenowa hills hs']
98,108,Gross Pointe North High School,"-82.8911176,42.4379668,0",19074.6932942362,80421.3129844877,19.1713155207468,gross pointe north high school,['grosse pointe north hs']
99,110,Gross Pointe South,"-82.9025228,42.3918844,0",21526.5077329637,83785.3524581836,20.4407249989619,gross pointe south,['grosse pointe north hs']
100,111,Grosse Ile High School,"-83.1458188,42.1340427,0",36064.3774213618,93916.6464260018,27.7458788628347,grosse ile high school,[]
101,112,GVSU,"-85.8933881,42.9654715,0",35023.9371469052,102526.633524942,25.4625894867868,gvsu,[]
102,113,Hamtramck Historical,"-83.0505764,42.390044,0",46502.844400863,123991.023531229,27.2753765076085,hamtramck historical,[]
103,114,Hamtramck Historical Field ,"-83.0476997,42.3930022,0",14856.501206692,81704.1806072042,15.3856631163037,hamtramck historical field ,[]
104,115,Harbor Springs High School,"-84.9734496,45.434179,0",21382.1228426325,79731.13343215,21.1467058132566,harbor springs high school,[]
105,116,Harbor Springs Youth ,"-84.97434610000001,45.434841,0",6824.07977946519,28912.9546262129,19.0952604012965,harbor springs youth ,['harbor springs hs']
106,117,Harbor Springs Youth ,"-84.9733378,45.43516,0",9684.84829599521,37083.8260607336,20.7079812058042,harbor springs youth ,['harbor springs hs']
107,118,Haslett High School,"-84.4071076,42.7419614,0",30038.8930704135,86400.4990723336,25.7978786367999,haslett high school,[]
108,119,Holland Christian Baseball Field,"-86.1328152,42.7619603,0",32778.5485155118,95289.0313145069,25.5947278452658,holland christian baseball field,[]
109,121,Holt High School,"-84.57995029999999,42.6367415,0",38310.321637456,95405.7401713372,28.6505010088,holt high school,[]
110,122,Holt HS - Field ,"-84.5796448,42.6372277,0",39740.3539898376,98054.4688972865,28.8402373595641,holt hs - field ,[]
111,123,Holton High School,"-86.0881718,43.4149801,0",28877.4122960096,95912.4741068741,23.1408274567852,holton high school,[]
112,124,Homer,"-84.8138072,42.1386292,0",20835.433006431,71859.9783437039,22.4773078871511,homer,[]
113,125,Hope College - Holland,"-86.08836650000001,42.7870783,0",30723.024506934,99673.6268741766,23.5612066579377,hope college - holland,[]
114,126,Houghton High School,"-88.56393780000001,47.10877110000001,0",32578.1533505646,92793.9452197411,25.985170322642,houghton high school,[]
115,127,Howell,"-83.9426426,42.6179456,0",21113.7445731151,92971.3023711077,18.507021856631,howell,['howell hs']
116,128,Hudson high School,"-84.3444884,41.8638399,0",31946.9680314504,88332.9944491448,26.5605071473184,hudson high school,[]
117,129,Hudsonville Christian HS,"-85.84562560000001,42.8840691,0",33791.3055958471,97983.2418050793,25.6432719841081,hudsonville christian hs,['hudsonville - unity christian hs']
118,130,Hudsonville High School,"-85.87544920000001,42.9134789,0",30486.6489866507,96953.2158959621,23.922380186712,hudsonville high school,[]
119,131,Hudsonville HS - Field ,"-85.8768694,42.9142415,0",31074.6690807932,93415.4866850266,24.9615472722584,hudsonville hs - field ,[]
120,132,Huron High School,"-83.3501649,42.1258421,0",27079.0669905048,82444.9246730829,24.7243243961382,huron high school,[]
121,133,Ionia High School,"-85.0645777,42.9523427,0",30676.0420634184,88463.3739145071,25.7480211831004,ionia high school,[]
122,134,Ionia Practice Field,"-85.0646534,42.9533573,0",29381.0945688221,81816.823679938,26.4223422808095,ionia practice field,[]
123,135,Jenison High School,"-85.837665,42.917629,0",31315.7997222128,98281.3366456494,24.1639596366718,jenison high school,[]
124,137,Jimmy Johns Stadium (Utica),"-83.0400041,42.6261647,0",35340.2121045748,95356.1313420341,27.0399394295309,jimmy johns stadium (utica),[]
125,138,Kalamazoo (Growlers),"-85.5621405,42.2904771,0",28703.903797887,99711.9797231123,22.3523002068456,kalamazoo (growlers),[]
126,139,Kalamazoo College,"-85.6092979,42.2877622,0",30733.4380836602,109771.807563611,21.8735164954725,kalamazoo college,[]
127,140,Kalamazoo Hackett Prep High School,"-85.5965558,42.2474483,0",21936.9251207503,87094.9861341262,20.1197290483791,kalamazoo hackett prep high school,[]
128,141,Kingston high School,"-83.1919884,43.4105296,0",20687.5975461478,74025.7018267858,21.8423364861257,kingston high school,[]
129,142,Klenk Park - Alma Scots,"-84.6785813,43.3879303,0",35378.6869333368,109900.716674287,24.3521697190393,klenk park - alma scots,[]
130,145,Laingsburg HS,"-84.34275100000001,42.878632,0",28675.7358171136,98635.215657026,22.5241705329164,laingsburg hs,['laingsburg hs']
131,146,Lake Orion,"-83.2369353,42.7539465,0",32957.7036712615,90213.899028841,26.7575504002385,lake orion,['lake orion hs']
132,147,Lansing Catholic,"-84.5276463,42.7374459,0",18457.8759626582,88368.8236009572,17.278335882376,lansing catholic,['lansing catholic hs']
133,148,Lincoln High - Ypsi - Fields ,"-83.6146378,42.1604794,0",28281.893416405,91821.7429378644,23.5479076861436,lincoln high - ypsi - fields ,[]
134,149,Lincoln High - Ypsi - Youth ,"-83.6149003,42.1607613,0",9876.70960809718,31202.9524753237,24.04282096586,lincoln high - ypsi - youth ,[]
135,150,Lincoln High - Ypsi - Youth ,"-83.6143836,42.1607571,0",9925.25566671406,31323.8337073607,24.0617570407556,lincoln high - ypsi - youth ,[]
136,151,Lincoln High School - Ypsilanti,"-83.6146339,42.1610319,0",26767.9848112982,92793.8716805188,22.3883984380338,lincoln high school - ypsilanti,[]
137,153,Lincoln HS - Ypsi Field ,"-83.6146378,42.1604794,0",28281.893416405,91821.7429378644,23.5479076861436,lincoln hs - ypsi field ,[]
138,154,Lincoln HS - Ypsi Youth ,"-83.6149003,42.1607613,0",9876.70960809718,31202.9524753237,24.04282096586,lincoln hs - ypsi youth ,[]
139,155,Lincoln HS - Ypsi Youth ,"-83.6143836,42.1607571,0",9925.25566671406,31323.8337073607,24.0617570407556,lincoln hs - ypsi youth ,[]
140,156,Livonia Franklin HS,"-83.3473911,42.356909,0",19946.9005931066,88016.3290617711,18.4756427321322,livonia franklin hs,['livonia - franklin hs']
141,157,Marine City Cardinal Mooney Field ,"-82.8879871,42.5368865,0",16169.2646331792,93546.9516775712,14.7373516667608,marine city cardinal mooney field ,['marine city - cardinal mooney catholic hs']
142,158,Marion High School,"-85.130365,44.1000449,0",28880.6174734326,84443.5785841916,25.4849524445309,marion high school,[]
143,159,Marlette High School,"-83.07092799999999,43.3238064,0",22629.0297309755,86985.6335384177,20.6441629760441,marlette high school,[]
144,160,Marsh Field Muskegon,"-86.2433912,43.2189761,0",44994.8921066772,93865.9822195239,32.4028581304901,marsh field muskegon,[]
145,161,Mason County Central High School,"-86.2891178,43.9590923,0",33783.1360457715,87955.895414003,27.7504557418253,mason county central high school,[]
146,162,Mason High School,"-84.4345611,42.570571,0",24873.8490759936,96592.1621429554,20.4780323535587,mason high school,[]
147,163,Mayville High School,"-83.3551339,43.3310365,0",17938.2604480531,81702.5952352161,18.0029169009486,mayville high school,[]
148,164,Mendon High School,"-85.4474524,42.0126305,0",36355.3444980997,86309.09286728,29.6380477332711,mendon high school,[]
149,165,Mendon Youth ,"-85.4456151,42.0114783,0",7531.41427869126,23323.6931246718,24.4089711963548,mendon youth ,[]
150,166,Mendon Youth ,"-85.4460878,42.0112333,0",8964.33386707847,32827.4674120941,21.449982036419,mendon youth ,[]
151,167,Merrill High School,"-84.3410391,43.4071832,0",28874.1383698713,89657.7334238826,24.3598096722141,merrill high school,[]
152,168,Moose Lodge Field (u),"-84.59782970000001,42.6602298,0",10341.6196408646,48686.0832367059,17.5199425637724,moose lodge field (u),[]
153,169,Mt Pleasant HS,"-84.75913269999999,43.5913032,0",28077.4262825342,94255.0917258128,22.951727586134,mt pleasant hs,['mt pleasant hs']
154,171,Municipal Park,"-84.5068483,42.7308541,0",25469.6980244831,90986.5766377703,21.8706103199251,municipal park,[]
155,172,Muskegon Mona Shores,"-86.271558,43.1845307,0",32818.4437617139,90825.4952868229,26.542703196176,muskegon mona shores,['muskegon - mona shores hs']
156,173,Muskegon Western Michigan Christian,"-86.23679300000001,43.1609012,0",28987.9185397966,90506.7513483434,24.2587544422964,muskegon western michigan christian,['muskegon - western michigan christian hs']
