Round,Date,Time,Location,Team1,Record1,Team2,Record2,MoreInfo,District,Division
 SemiFin, 6/3/2023, 10:00 AM, Napoleon High - Baseball, Brooklyn Columbia Central ,6-12-1 , Michigan Center ,8-5 ,/gameeventdetails/contestid/3961033/schoolid/3889/view/contest,84 ,3
 SemiFin, 6/3/2023, 12:00 PM, Napoleon High - Baseball, Napoleon ,10-12 , Jackson Lumen Christi ,14-5 ,/gameeventdetails/contestid/3961032/schoolid/4148/view/contest,84 ,3
 Round 1, 5/30/2023, 4:30 PM, Parkway Christian School - Baseball - Sterling Heights, Rochester Hills Lutheran Northwest ,4-3 , New Haven Merritt Academy ,2-4 ,/gameeventdetails/contestid/3961177/schoolid/4111/view/contest,25 ,4
 SemiFin, 6/3/2023, 10:00 AM, Parkway Christian School - Baseball - Sterling Heights,  , , Auburn Hills Oakland Christian ,6-8 ,/gameeventdetails/contestid/3961179/schoolid/0/view/contest,25 ,4
 SemiFin, 6/3/2023, 12:30 PM, Parkway Christian School - Baseball - Sterling Heights, Sterling Heights Parkway Christian ,11-6 , Marine City Cardinal Mooney ,10-4 ,/gameeventdetails/contestid/3961178/schoolid/4667/view/contest,25 ,4
 Round 1, 5/30/2023, 6:30 PM, Our Lady of the Lakes - Baseball - Waterford, Royal Oak Shrine Catholic ,11-7 , Clarkston Everest Collegiate ,1-8 ,/gameeventdetails/contestid/3961181/schoolid/4237/view/contest,26 ,4
 SemiFin, 6/3/2023, 12:00 PM, Our Lady of the Lakes - Baseball - Waterford,  , , Waterford Our Lady of the Lakes ,13-4 ,/gameeventdetails/contestid/3961183/schoolid/0/view/contest,26 ,4
 SemiFin, 6/3/2023, 10:00 AM, Our Lady of the Lakes - Baseball - Waterford, Southfield Christian ,0-7 , Bloomfield Hills Roeper ,10-3 ,/gameeventdetails/contestid/3961182/schoolid/4069/view/contest,26 ,4
 SemiFin, 6/2/2023, 10:00 AM, Peck High School - Baseball, Marlette ,8-9 , Capac ,12-8 ,/gameeventdetails/contestid/3961173/schoolid/4472/view/contest,23 ,4
 SemiFin, 6/2/2023, 12:00 PM, Peck High School - Baseball, Brown City ,4-16 , Peck ,12-2 ,/gameeventdetails/contestid/3961172/schoolid/4435/view/contest,23 ,4
