date,game_id,away_team_runs,home_team_runs,game_info
2023-03-14,401517674,15,6,
2023-03-14,401516549,5,1,
2023-03-14,401512969,14,6,
2023-03-14,401513218,3,4,
2023-03-14,401517620,4,12,Hancock Whitney Classic
2023-03-14,401517657,0,10,
2023-03-14,401517523,2,7,
2023-03-14,401517482,7,13,
2023-03-14,401516774,5,20,
2023-03-14,401514198,0,5,
2023-03-14,401519556,4,0,
2023-03-14,401517063,2,12,
2023-03-14,401519634,8,10,
2023-03-14,401516747,11,12,
2023-03-14,401516980,2,7,
2023-03-15,401512913,4,6,
2023-03-15,401513024,2,16,
2023-03-15,401523848,8,10,
2023-03-15,401517621,2,4,Hancock Whitney Classic
2023-03-15,401516981,4,7,
2023-03-15,401517483,2,5,
2023-03-16,401497218,2,12,
2023-03-16,401512970,2,1,
2023-03-16,401497213,0,3,
2023-03-17,401497203,9,0,
2023-03-17,401497204,0,8,
2023-03-17,401497199,6,3,
2023-03-17,401512914,7,8,
2023-03-17,401512971,7,0,
2023-03-17,401513025,17,7,
2023-03-17,401497205,1,9,
2023-03-17,401497206,7,8,
2023-03-17,401497200,2,7,
2023-03-17,401513261,3,4,
2023-03-17,401497202,5,6,
2023-03-17,401516982,1,3,
2023-03-18,401513025,17,7,
2023-03-18,401497210,12,7,
2023-03-18,401513072,1,4,
2023-03-18,401497207,3,9,
2023-03-18,401497208,5,4,
2023-03-18,401513262,6,21,
2023-03-18,401513220,3,2,
2023-03-18,401497209,3,12,
2023-03-18,401516983,1,15,
2023-03-18,401497211,2,7,
2023-03-18,401513073,3,12,
2023-03-18,401512915,10,4,
2023-03-18,401512972,4,5,
2023-03-18,401497201,12,2,
2023-03-18,401534751,9,14,
2023-03-19,401497217,6,8,
2023-03-19,401497212,1,7,
2023-03-19,401497214,0,5,
2023-03-19,401497216,3,17,
2023-03-19,401516984,3,9,
2023-03-19,401497219,4,7,
2023-03-19,401513074,3,1,
2023-03-19,401512916,3,9,
2023-03-19,401497215,12,1,
2023-03-21,401517563,4,10,
2023-03-21,401512917,8,15,
2023-03-21,401514199,2,6,
2023-03-21,401517637,1,11,
2023-03-21,401516570,7,8,
2023-03-21,401516678,3,19,
2023-03-21,401519635,8,3,
2023-03-21,401516748,8,5,
2023-03-21,401517622,2,16,
2023-03-21,401513172,0,20,
2023-03-21,401517484,2,12,
2023-03-21,401516775,3,8,
2023-03-21,401517658,0,7,
2023-03-21,401513028,4,6,
2023-03-21,401517543,3,9,
2023-03-21,401513075,4,8,
2023-03-21,401513222,5,8,
2023-03-21,401519557,2,12,
2023-03-21,401517502,5,6,
2023-03-21,401514182,0,7,
2023-03-21,401516985,11,17,
2023-03-22,401516776,4,6,
2023-03-22,401516647,7,8,
2023-03-22,401514140,8,3,
2023-03-22,401513309,0,11,
2023-03-22,401513264,5,10,
2023-03-22,401513120,3,8,
2023-03-22,401514168,2,9,
2023-03-23,401513029,3,6,
2023-03-23,401517503,6,7,
2023-03-24,401497221,9,3,
2023-03-24,401497224,26,3,
2023-03-24,401497226,4,10,
2023-03-24,401513030,8,5,
2023-03-24,401513121,4,5,
2023-03-24,401501280,6,8,
2023-03-24,401513173,0,11,
2023-03-24,401512918,3,4,
2023-03-24,401497225,8,9,
2023-03-24,401501282,2,6,
2023-03-24,401512974,1,4,
2023-03-24,401497220,4,3,
2023-03-24,401513224,3,4,
2023-03-24,401497222,3,6,
2023-03-25,401497228,2,12,
2023-03-25,401513174,1,4,
2023-03-25,401535685,12,8,
2023-03-25,401497232,1,8,
2023-03-25,401497233,7,8,
2023-03-25,401513031,3,5,
2023-03-25,401497227,9,5,
2023-03-25,401513122,20,12,
2023-03-25,401497229,24,7,
2023-03-25,401513225,3,16,
2023-03-25,401497235,5,14,
2023-03-25,401497230,9,7,
2023-03-25,401535536,18,5,
2023-03-25,401516595,4,12,
2023-03-25,401497239,4,5,
2023-03-25,401501286,5,6,
2023-03-25,401501284,5,18,
2023-03-26,401513175,1,4,
2023-03-26,401497238,11,7,
2023-03-26,401535792,2,1,
2023-03-26,401516596,4,15,
2023-03-26,401501290,8,9,
2023-03-26,401537190,7,8,
2023-03-26,401497234,3,4,
2023-03-26,401513123,4,5,
2023-03-26,401513226,14,5,
2023-03-26,401497237,7,4,
2023-03-26,401512920,4,5,
2023-03-26,401497240,6,9,
2023-03-26,401512976,12,2,
2023-03-28,401517564,5,17,
2023-03-28,401535501,1,11,
2023-03-28,401517485,3,16,
2023-03-28,401514200,13,2,
2023-03-28,401513032,12,7,
2023-03-28,401517544,10,8,
2023-03-28,401512977,2,6,
2023-03-28,401513076,0,4,
2023-03-28,401517623,4,9,
2023-03-28,401516777,1,8,
