teamName,games_played,runs_scored_mean,runs_scored_median,runs_scored_total,runs_allowed_count,runs_allowed_mean,runs_allowed_median,runs_allowed_total,A_runs_scored,H_runs_scored,A_runs_allowed,H_runs_allowed,games,run_differential_home,run_differential_away,run_differential,runs_scored_avg,runs_allowed_avg,runs_scored_avg_home,runs_scored_avg_away,runs_allowed_avg_home,runs_allowed_avg_away,run_differential_avg,home_runs_scored_avg,home_runs_allowed_avg,home_run_differential_avg,away_runs_scored_avg,away_runs_allowed_avg,loss_playoff,win_playoff,wins_playoff,losses_playoff,games_playoff,runs_scored_playoff,runs_allowed_playoff,run_differential_playoff
Lansing Catholic,29,6.689655172413793,6.0,194.0,29,2.4482758620689653,2.0,71.0,91.0,103.0,46.0,25.0,29,78.0,45.0,123.0,6.689655172413793,2.4482758620689653,3.5517241379310347,3.1379310344827585,0.8620689655172413,1.5862068965517242,4.241379310344827,3.5517241379310347,0.8620689655172413,2.689655172413793,3.1379310344827585,1.5862068965517242,1.0,6.0,6.0,1.0,7.0,47.0,17.0,4.285714285714286
Lansing Christian,50,5.36,6.0,268.0,50,8.48,7.0,424.0,154.0,114.0,146.0,278.0,50,-164.0,8.0,-156.0,5.36,8.48,2.28,3.08,5.56,2.92,-3.12,2.28,5.56,-3.28,3.08,2.92,2.0,4.0,4.0,2.0,6.0,58.0,14.0,7.333333333333333
Lansing Eastern,15,4.666666666666667,2.0,70.0,15,11.266666666666667,11.0,169.0,8.0,62.0,72.0,97.0,15,-35.0,-64.0,-99.0,4.666666666666667,11.266666666666667,4.133333333333334,0.5333333333333333,6.466666666666667,4.8,-6.6,4.133333333333334,6.466666666666667,-2.3333333333333335,0.5333333333333333,4.8,1.0,0.0,0.0,1.0,1.0,0.0,8.0,-8.0
Lansing Everett,21,2.761904761904762,1.0,58.0,21,16.19047619047619,16.0,340.0,33.0,25.0,187.0,153.0,21,-128.0,-154.0,-282.0,2.761904761904762,16.19047619047619,1.1904761904761905,1.5714285714285714,7.285714285714286,8.904761904761905,-13.428571428571429,1.1904761904761905,7.285714285714286,-6.095238095238095,1.5714285714285714,8.904761904761905,1.0,0.0,0.0,1.0,1.0,0.0,30.0,-30.0
Lansing Sexton,20,1.4,0.0,28.0,20,17.95,16.0,359.0,8.0,20.0,196.0,163.0,20,-143.0,-188.0,-331.0,1.4,17.95,1.0,0.4,8.15,9.8,-16.55,1.0,8.15,-7.15,0.4,9.8,1.0,0.0,0.0,1.0,1.0,0.0,15.0,-15.0
Lansing Waverly,30,6.433333333333334,5.5,193.0,30,5.533333333333333,5.0,166.0,127.0,66.0,74.0,92.0,30,-26.0,53.0,27.0,6.433333333333334,5.533333333333333,2.2,4.233333333333333,3.066666666666667,2.466666666666667,0.9,2.2,3.066666666666667,-0.8666666666666667,4.233333333333333,2.466666666666667,1.0,0.0,0.0,1.0,1.0,1.0,4.0,-3.0
Lapeer,27,4.074074074074074,4.0,110.0,27,5.185185185185185,5.0,140.0,68.0,42.0,110.0,30.0,27,12.0,-42.0,-30.0,4.074074074074074,5.185185185185185,1.5555555555555556,2.5185185185185186,1.1111111111111112,4.074074074074074,-1.1111111111111112,1.5555555555555556,1.1111111111111112,0.4444444444444444,2.5185185185185186,4.074074074074074,1.0,0.0,0.0,1.0,1.0,4.0,9.0,-5.0
Lapeer Faith Home School,2,3.0,3.0,6.0,2,1.5,1.5,3.0,0.0,6.0,0.0,3.0,2,3.0,0.0,3.0,3.0,1.5,3.0,0.0,1.5,0.0,1.5,3.0,1.5,1.5,0.0,0.0,,,,,,,,
Lawrence,32,10.0625,10.0,322.0,32,3.78125,1.5,121.0,103.0,219.0,70.0,51.0,32,168.0,33.0,201.0,10.0625,3.78125,6.84375,3.21875,1.59375,2.1875,6.28125,6.84375,1.59375,5.25,3.21875,2.1875,1.0,1.0,1.0,1.0,2.0,10.0,10.0,0.0
Lawton,19,3.263157894736842,0.0,62.0,19,8.631578947368421,10.0,164.0,61.0,1.0,130.0,34.0,19,-33.0,-69.0,-102.0,3.263157894736842,8.631578947368421,0.05263157894736842,3.210526315789474,1.7894736842105263,6.842105263157895,-5.368421052631579,0.05263157894736842,1.7894736842105263,-1.736842105263158,3.210526315789474,6.842105263157895,1.0,0.0,0.0,1.0,1.0,1.0,6.0,-5.0
LeRoy Pine River,21,6.095238095238095,4.0,128.0,21,5.0,4.0,105.0,106.0,22.0,38.0,67.0,21,-45.0,68.0,23.0,6.095238095238095,5.0,1.0476190476190477,5.0476190476190474,3.1904761904761907,1.8095238095238095,1.0952380952380953,1.0476190476190477,3.1904761904761907,-2.142857142857143,5.0476190476190474,1.8095238095238095,1.0,0.0,0.0,1.0,1.0,4.0,7.0,-3.0
Leslie,33,5.121212121212121,3.0,169.0,33,5.03030303030303,4.0,166.0,104.0,65.0,61.0,105.0,33,-40.0,43.0,3.0,5.121212121212121,5.03030303030303,1.9696969696969697,3.1515151515151514,3.1818181818181817,1.8484848484848484,0.09090909090909091,1.9696969696969697,3.1818181818181817,-1.2121212121212122,3.1515151515151514,1.8484848484848484,1.0,1.0,1.0,1.0,2.0,7.0,4.0,1.5
Lincoln Park,28,2.2857142857142856,2.0,64.0,28,11.571428571428571,12.0,324.0,25.0,39.0,142.0,182.0,28,-143.0,-117.0,-260.0,2.2857142857142856,11.571428571428571,1.3928571428571428,0.8928571428571429,6.5,5.071428571428571,-9.285714285714286,1.3928571428571428,6.5,-5.107142857142857,0.8928571428571429,5.071428571428571,1.0,0.0,0.0,1.0,1.0,2.0,6.0,-4.0
Linden,34,5.735294117647059,5.0,195.0,34,5.852941176470588,5.0,199.0,120.0,75.0,100.0,99.0,34,-24.0,20.0,-4.0,5.735294117647059,5.852941176470588,2.2058823529411766,3.5294117647058822,2.911764705882353,2.9411764705882355,-0.11764705882352941,2.2058823529411766,2.911764705882353,-0.7058823529411765,3.5294117647058822,2.9411764705882355,1.0,0.0,0.0,1.0,1.0,0.0,12.0,-12.0
Litchfield,16,4.4375,3.0,71.0,16,7.5,5.0,120.0,55.0,16.0,105.0,15.0,16,1.0,-50.0,-49.0,4.4375,7.5,1.0,3.4375,0.9375,6.5625,-3.0625,1.0,0.9375,0.0625,3.4375,6.5625,1.0,0.0,0.0,1.0,1.0,0.0,5.0,-5.0
Livonia Churchill,37,6.4324324324324325,6.0,238.0,37,3.4594594594594597,2.0,128.0,53.0,185.0,46.0,82.0,37,103.0,7.0,110.0,6.4324324324324325,3.4594594594594597,5.0,1.4324324324324325,2.2162162162162162,1.2432432432432432,2.972972972972973,5.0,2.2162162162162162,2.7837837837837838,1.4324324324324325,1.2432432432432432,1.0,2.0,2.0,1.0,3.0,5.0,7.0,-0.6666666666666666
Livonia Clarenceville,22,6.181818181818182,3.0,136.0,22,9.636363636363637,10.0,212.0,33.0,103.0,73.0,139.0,22,-36.0,-40.0,-76.0,6.181818181818182,9.636363636363637,4.681818181818182,1.5,6.318181818181818,3.3181818181818183,-3.4545454545454546,4.681818181818182,6.318181818181818,-1.6363636363636365,1.5,3.3181818181818183,1.0,2.0,2.0,1.0,3.0,32.0,20.0,4.0
Livonia Franklin,32,7.65625,7.0,245.0,32,2.9375,2.0,94.0,97.0,148.0,21.0,73.0,32,75.0,76.0,151.0,7.65625,2.9375,4.625,3.03125,2.28125,0.65625,4.71875,4.625,2.28125,2.34375,3.03125,0.65625,1.0,3.0,3.0,1.0,4.0,34.0,15.0,4.75
Livonia Stevenson,36,4.25,3.0,153.0,36,5.416666666666667,6.0,195.0,76.0,77.0,58.0,137.0,36,-60.0,18.0,-42.0,4.25,5.416666666666667,2.138888888888889,2.111111111111111,3.8055555555555554,1.6111111111111112,-1.1666666666666667,2.138888888888889,3.8055555555555554,-1.6666666666666667,2.111111111111111,1.6111111111111112,1.0,0.0,0.0,1.0,1.0,4.0,13.0,-9.0
Lowell,31,5.258064516129032,5.0,163.0,31,5.225806451612903,4.0,162.0,86.0,77.0,97.0,65.0,31,12.0,-11.0,1.0,5.258064516129032,5.225806451612903,2.4838709677419355,2.774193548387097,2.096774193548387,3.129032258064516,0.03225806451612903,2.4838709677419355,2.096774193548387,0.3870967741935484,2.774193548387097,3.129032258064516,1.0,1.0,1.0,1.0,2.0,5.0,8.0,-1.5
