school_name,school_abrv,school_nickname,street_address,city,state,zip_code,ncaa_member_since,hbcu_status,public_private_status,head_coach,division,conference
Assumption University,ASM,Greyhounds,500 Salisbury St.,Worcester,MA,01609,9/1/1959,No,Private,Mike Rocco,II,Northeast-10 Conference
Auburn University,AU,Tigers,392 South Donahue Drive,Auburn,AL,36849,9/1/1910,No,Public,Butch Thompson,I,Southeastern Conference
Augustana College,Illinois,Vikings,639 38th Street,Rock Island,IL,61201-2296,9/1/1952,No,Private,Gregory D. Wallace,III,College Conference of Illinois & Wisconsin
Augustana University,South Dakota,Vikings,2001 S. Summit Avenue,Sioux Falls,SD,57197,9/1/1951,No,Private,Tim Huber,II,Northern Sun Intercollegiate Conference
Aurora University,AUR,Spartans,347 South Gladstone Avenue,Aurora,IL,60506,9/1/1979,No,Private,Adam Stevens,III,Northern Athletics Collegiate Conference
Austin Peay State University,APSU,Governors,601 College Street,Clarksville,TN,37044,9/1/1957,No,Public,Roland Fanning,I,ASUN Conference
Averett University,AU,Cougars,420 West Main Street,Danville,VA,24541,9/1/1976,No,Private,Kenny Fleming,III,Old Dominion Athletic Conf.
Babson College,BAB,Beavers,231 Forest St,Babson Park,MA,02457,9/1/1953,No,Private,Matt Noone,III,New England Women's and Men's Athletic Conference
Baldwin Wallace University,BW,Yellow Jackets,275 Eastland Road,Berea,OH,44017,9/1/1945,No,Private,Brian Harrison,III,Ohio Athletic Conference
Ball State University,BSU,Cardinals,2000 University Avenue,Muncie,IN,47306,9/1/1956,No,Public,Rich Maloney,I,Mid-American Conference
Charleston Southern University,CSU,Buccaneers/ Bucs,9200 University Blvd,Charleston,SC,29406,9/1/1971,No,Private,Marc MacMillan,I,Big South Conference
Barry University,BarryU,Buccaneers,11300 NE 2nd Ave,Miami Shores,FL,33161,9/1/1984,No,Private,Juan Ranero,II,Sunshine State Conference
Bates College,BAT,Bobcats,2 Andrews Road,Lewiston,ME,04240,9/1/1909,No,Private,Jon Martin,III,New England Small College Athletic Conference
