Division,Host,Location,District,closest_park_1,closest_park_2,closest_park_3,location1,location2,location3
2,Coopersville,"http://maps.google.com/maps?q=Coopersville High School, 198 East St  Coopersville, MI 49404-1290",39,Coopersville HS,,,Coopersville HS - JV - practice,Coopersville HS,GVSU 
2,Coldwater,"http://maps.google.com/maps?q=CHS Baseball Complex (Lowe Field), 275 N Fremont St  Coldwater, MI 49036-1297",47,Coldwater HS,,,Coldwater HS,Coldwater Heritage Park - muni,Quincy HS
2,Clio,"http://maps.google.com/maps?q=Conlee Field, 1 Mustang Drive  Clio, MI ",63,Clio HS,,,Clio HS,Elisabeth Ann Johnson HS (Mt Morris) - Field 2,Elisabeth Ann Johnson HS (Mt Morris) - Field 1
3,Charlevoix,"http://maps.google.com/maps?q=Charlevoix HS, 5200 Marion Center Rd  Charlevoix, MI 49720",67,Charlevoix HS,,,Charlevoix HS,Ellsworth HS,East Jordan HS
4,Central Lake,"http://maps.google.com/maps?q=Central Lake Gymnasium, 3627 N. M-88  Central Lake, MI ",101,Central Lake HS,,,Central Lake HS,Ellsworth HS,Bellaire HS
3,Caro,"http://maps.google.com/maps?q=Caro HS, 301 Hooper St.  Caro, MI ",96,Caro HS,,,Caro HS,USA - unionville -1 ,USA - Unionville Seabawing -2 
2,Carleton Airport,"http://maps.google.com/maps?q=Airport High School - Carleton, 11330 Grafton Rd  Carleton, MI 48117-9392",51,Carleton Airport High School,,,Carleton Airport High School,New Boston Huron HS,Huron High School
1,Allen Park,"http://maps.google.com/maps?q=James Gulliver Field - Baseball, 18401Champaign  Allen Park, MI ",18,Cabrini HS (Allen Park),,,,Allen Park High School,
3,Burton Bentley,"http://maps.google.com/maps?q=Bentley High School, 1150 N Belsay Rd  Burton, MI 48509",94,Burton Bentley HS,,,Burton Bentley HS,Burton Atherton HS,Flint Kearsley HS
1,Brownstown Woodhaven,"http://maps.google.com/maps?q=Woodhaven High School - Baseball, 24787 Van Horn Rd  Brownstown, MI ",17,Brownstone Woodhaven HS,,,Brownstone Woodhaven HS,,
3,Bridgman,"http://maps.google.com/maps?q=Bridgman HS, 9964 Gast Rd  Bridgman, MI 49106",81,Bridgman HS,,,Bridgman HS,Three Oaks River Valley HS,St Joseph Michigan Lutheran HS
4,Breckenridge,"http://maps.google.com/maps?q=Breckenridge Community Schools - Baseball, 515 E. Summit Street  Breckenridge, MI ",110,Breckenridge HS,,,Breckenridge HS,Merrill High School,St Louis HS
2,Berrien Springs,"http://maps.google.com/maps?q=Berrien Springs High School - Baseball, one sylvester ave  berrien springs, MI ",45,Berrien Springs HS,,,Berrien Springs HS,Berrien Springs HS- Field 2,Eau Claire HS
2,Belding,"http://maps.google.com/maps?q=Belding High School, 850 Hall St  Belding, MI 48809",40,Belding HS,,,Belding HS,Greenville HS,Greenville JV / 16u 
4,Beal City,"http://maps.google.com/maps?q=Beal City High School - Baseball,   Mt. Pleasant-Beal City, MI ",109,Beal City HS,,,Beal City HS,CMU ,Mount Pleasant HS
2,Bay City John Glenn,"http://maps.google.com/maps?q=Bay City John Glenn High School, 3201 Kiesel Road  Bay City, MI 48706",36,Bay City john Glen HS,,,Bay City john Glen HS,Bay City All SaintsField,Bay City All Saints HS
1,Auburn Hills Avondale,"http://maps.google.com/maps?q=Auburn Hills Avondale, 2800 Waukegan  Auburn Hills, MI 48326",28,Auburn Hills Avondale HS,,,Auburn Hills Avondale HS,,
3,Ann Arbor Greenhills,"http://maps.google.com/maps?q=Concordia University, 4090 Geddes Rd.  Ann Arbor, MI 48105",88,Ann Arbor Greenhills HS,,,EMU ,U of M ,Ann Arbor Pioneer HS
1,Livonia Stevenson,"http://maps.google.com/maps?q=Adlai E Stevenson HS, 33500 Six Mile Road  Livonia, MI ",16,Aldai Stevenson High School,,,,,
3,Algonac,"http://maps.google.com/maps?q=Algonac High School, 5200 Taft Rd  Algonac, MI 48001-4701",93,Alcona HS,,,Algonac High School,Marine City HS,New Haven HS
4,Alcona,"http://maps.google.com/maps?q=Alcona High School - Baseball,   Alcona, MI ",104,Alcona HS,,,Alcona HS,Tawas HS,Tawas - Field Behind Library
2,Adrian,"http://maps.google.com/maps?q=Cliff Nelson Field, 785 Riverside  Adrian, MI ",50,Adrian,Adrian HS,,Ironwood HS,KingsfordField ,Kingsford HS
1,Midland Dow,"http://maps.google.com/maps?q=H H Dow High School - Baseball, 3901 N. Saginaw Rd.  Midland , MI ",2,,,,Northwood University ,Dow Diamond (Midland) ,Bullock Creek HS - Midland
1,Lowell,"http://maps.google.com/maps?q=Lowell High School, 11700 Vergennes St  Lowell, MI 49331",6,,,,,,
1,Jackson,"http://maps.google.com/maps?q=Glick Community Field, 544 Wildwood Ave  Jackson, MI ",10,,,,,,
1,Brighton,"http://maps.google.com/maps?q=BHS Baseball, 7878 Brighton Rd  Brighton, MI ",11,,,,,,
1,Saline,"http://maps.google.com/maps?q=Saline High School - Baseball, 1300 Campus Parkway  Saline, MI ",12,,,,,,
1,Monroe,"http://maps.google.com/maps?q=Monroe High School - Baseball, 901 Herr Rd  Monroe, MI ",13,,,,,,
1,Detroit Western,"http://maps.google.com/maps?q=Historic Hamtramck Stadium, 3201 Dan St  Hamtramck, MI 48212",19,Historic Hamtramck Stadium - muni,,,Historic Hamtramck Stadium - muni,,
1,Royal Oak,"http://maps.google.com/maps?q=Royal Oak, 1500 Lexington Blvd  Royal Oak, MI 48073",22,,,,,,
1,Detroit U of D Jesuit,"http://maps.google.com/maps?q=Detroit U-D Jesuit, 8400 S Cambridge  Detroit, MI 48221",23,,,,,,
1,Bloomfield Hills Brother Rice,"http://maps.google.com/maps?q=Warriors Park, 1525 Equity Dr.  Troy, MI ",24,,,,,,
1,Port Huron Northern,,26,,,,,,
1,Romeo,"http://maps.google.com/maps?q=Romeo HS - Baseball, 11091 W 32 Mile Rd  Romeo, MI ",27,,,,Utica Eisenhower HS,Armada HS - JV/16u ,Armada HS
2,Newaygo,"http://maps.google.com/maps?q=Newaygo Baseball Field , 850 E 76th St  Newaygo , MI ",37,,,,Grant HS,Fremont HS,Freemont 16u/14u
2,Dearborn Divine Child,"http://maps.google.com/maps?q=Divine Child High School - Dearborn, 1001 N Silvery Lane  Dearborn, MI 48128",53,,,,Dearborn HS,Garden City HS,Dearborn Heights Annapolis HS
2,Detroit University Prep Art & Design,"http://maps.google.com/maps?q=Detroit University Prep Art & Design, 485 W Milwaukee St  Detroit, MI 48202",55,Wayne State Univ ,,,Wayne State Univ ,Historic Hamtramck Stadium - muni,Hamtramck High School
3,Clare,"http://maps.google.com/maps?q=Brookwood Athletic Complex, 667 Ann Arbor Trail  Clare, MI 48617",72,Clare High School,,,Clare High School,Farwell 10u ,Farwell Little League 12u 
3,Vermontville Maple Valley,"http://maps.google.com/maps?q=Maplewood Elementary, 170 Seminary Street  Vermontville, MI 49096",79,,,,Charlotte High School,Charlotte HS,Lake Odessa Lakewood HS
3,Clinton,"http://maps.google.com/maps?q=Clinton High School - Baseball, 341 East Michigan  Clinton, MI ",86,Clinton High School,,,Clinton High School,Tecumseh HS,Manchester HS
3,Detroit Communication Media Arts,"http://maps.google.com/maps?q=Communication & Media Arts High School - Detroit, 14771 Mansfield  Detroit, MI 48227",89,,,,Livonia - Clarenceville HS,Redford Thurston HS,Southfield Christian HS
3,Detroit Osborn,"http://maps.google.com/maps?q=Detroit Osborn, 11600 E 7 Mile Rd  Detroit, MI 48205",91,Laura F. Osborn HS,,,Laura F. Osborn HS,Harper Woods Little League 1 ,Harper Woods HSLittle League 2 
3,Madison Heights Bishop Foley,"http://maps.google.com/maps?q=Bishop Foley - Baseball, 32000 Campbell  Madison Heights, MI ",92,,,,Madison Heights Lamphere HS,Clawson HS,Warren Mott HS
4,Painesdale Jeffers,"http://maps.google.com/maps?q=Stanton Baseball Field, Ball field road  Atlantic Mine, MI ",97,,,,Hancock -2 ,Hancock -1,Hancock Driving Park - Houghton Muni - muni
4,Norway,"http://maps.google.com/maps?q=Norway, 300 Section St  Norway, MI 49870",98,,,,Noway1,Noway3,Noway2
4,Gaylord St Mary,"http://maps.google.com/maps?q=Gaylord St Mary, 321 N Otsego Ave  Gaylord, MI 49735",102,,,,Gaylord HS,Johannesburg-Lewiston HS,Boyne City HS
4,Brethren,"http://maps.google.com/maps?q=Brethren, 4400 N High Bridge Rd  Brethren, MI 49619",107,,,,Manistee HS,Benzie Central HS,Buckley HS
4,Mendon,"http://maps.google.com/maps?q=Mendon High School, 148 Kirby Road  Mendon, MI ",116,Mendon High School,,,Mendon2,Mendon1,Mendon High School
4,Colon,"http://maps.google.com/maps?q=Colon MS/HS Athletic COmplex, 400 Dallas St.  Colon, MI ",117,,,,Mendon1,Mendon2,Mendon High School
4,East Jackson,"http://maps.google.com/maps?q=East jackson - Baseball, 1566 n sutton rd  Jackson, MI ",118,,,,Michigan Center HS,Vandercook Lake HS,Jackson Lumen Christi HS
4,North Adams-Jerome,"http://maps.google.com/maps?q=Trott Field, 4555 Knowles  North Adams, MI ",119,,,,Hillsdale,Hillsdale HS,Jonesville HS
4,Waterford Our Lady of the Lakes,"http://maps.google.com/maps?q=Our Lady of the Lakes - Baseball, 5481 Dixie Highway  Waterford, MI ",126,,,,Waterford Kettering HS,Clarkston HS - practice,Clarkston HS
4,Plymouth Christian Academy,"http://maps.google.com/maps?q=Stafford Field, 43065 Joy Road   Canton, MI ",128,,,,Canton HS,Salem High School,Plymouth HS
