school,record,wins,losses,ties,match,id
Eastpointe,1-12,1,12,,Eastpointe HS,1890
Macomb Lutheran North,14-8,14,8,,Macomb - Lutheran North,5958
Fowlerville,6-20-1,6,20,1,Fowlerville HS,7343
Owosso,6-4,6,4,,Owosso HS,6171
Haslett,3-12,3,12,,Haslett HS,2278
Corunna,15-20,15,20,,Corunna HS,1123
Williamston,17-17-1,17,17,1,Williamston HS,7277
Ortonville Brandon,2-8,2,8,,Ortonville - Brandon HS,4217
Lake Fenton,4-1,4,1,,Linden - Lake Fenton HS,7137
Linden,4-4,4,4,,Linden HS,3870
Goodrich,17-1,17,1,,Goodrich HS,8192
Saginaw Arthur Hill,0-1,0,1,,Saginaw - Arthur Hill HS,4753
Carrollton,3-28,3,28,,Carrollton HS,6502
Saginaw Swan Valley,6-9-1,6,9,1,Saginaw - Swan Valley HS,2757
Saginaw,0-1,0,1,,Saginaw - Heritage HS,4547
Clio,1-6,1,6,,Clio HS,3706
Flint Hamady,0-10-1,0,10,1,Flint - Hamady HS,3235
Frankenmuth,10-11-1,10,11,1,Frankenmuth HS,7723
Flint Powers Catholic,11-6,11,6,,Flint - Powers Catholic HS,2484
Birch Run,6-23,6,23,,Birch Run HS,4968
Armada,12-12,12,12,,Armada HS,5594
Marysville,1-5,1,5,,Marysville HS,2922
St Clair,18-7,18,7,,St Clair Shores - Lakeview HS,2146
Marine City,3-7,3,7,,Marine City HS,1585
Richmond,24-5,24,5,,Richmond HS,1148
Croswell-Lexington,10-10,10,10,,Croswell-Lexington HS,1841
Imlay City,1-23,1,23,,Imlay City HS,4282
North Branch,16-10,16,10,,North Branch HS,6155
Yale,14-9,14,9,,Yale HS,7186
Canton Prep,10-11,10,11,,Canton HS,5116
Dearborn Heights Robichaud,1-8,1,8,,Dearborn Heights - Robichaud HS,1684
Taylor Prep,0-29,0,29,,Taylor HS,1170
Detroit Loyola,3-6,3,6,,Detroit - Loyola HS,9134
Hope of Detroit Academy,3-5,3,5,,Hope of Detroit Academy HS,1153
Ecorse,20-4,20,4,,Ecorse HS,1932
Detroit Cristo Rey,6-9,6,9,,Detroit Cristo Rey HS,9960
Detroit Central,1-6,1,6,,Novi - Detroit Catholic Central HS,4638
Caro,6-15,6,15,,Caro HS,3598
Elkton-Pigeon-Bay Port Laker,10-4,10,4,,Elkton-Pigeon-Bay Port Laker HS,6444
Bad Axe,23-5,23,5,,Bad Axe HS,1362
Cass City,12-23,12,23,,Cass City HS,1073
Sandusky,11-6,11,6,,Sandusky HS,7525
Almont,4-14,4,14,,Almont HS,4786
Algonac,26-10,26,10,,Algonac HS,1668
New Haven,4-12,4,12,,New Haven HS,2848
Brown City,15-5,15,5,,Brown City HS,6675
Memphis,2-13,2,13,,Memphis HS,4514
Brighton Charyl Stockwell Prep,16-3,16,3,,Brighton - Charyl Stockwell Prep Academy,1054
Burton Atherton,2-8-1,2,8,1,Burton - Atherton HS,5017
Burton Bentley,11-11-1,11,11,1,Burton - Bentley HS,8093
Burton Bendle,0-5,0,5,,Burton - Bendle HS,2476
Mt Morris,5-7,5,7,,Mt Morris (EAJ) HS,5603
Otisville LakeVille Memorial,5-21,5,21,,Otisville - LakeVille Memorial HS,6460
Saginaw Valley Lutheran,11-21,11,21,,Saginaw - Valley Lutheran HS,6345
Vassar,6-11,6,11,,Vassar HS,3292
Reese,15-9-1,15,9,1,Reese HS,4828
Millington,20-12,20,12,,Millington HS,4464
Clawson,16-10,16,10,,Clawson HS,7806
Madison Heights Madison,2-6,2,6,,Madison Heights - Lamphere HS,4191
Madison Heights Bishop Foley,5-28-1,5,28,1,Madison Heights - Bishop Foley Catholic HS,1511
Clinton Township Clintondale,4-4,4,4,,Clinton Township - Clintondale HS,2170
Detroit Southeastern,5-5,5,5,,Detroit - Southeastern HS,1296
Detroit Osborn,5-4,5,4,,Detroit - Osborn HS,6254
Detroit Edison,20-6,20,6,,Detroit Edison PSA Early College of Excellence,9060
Grosse Pointe Woods University Liggett,13-8,13,8,,Grosse Pointe Woods - University Liggett HS,1222
Shelby,0-5,0,5,,Shelby Township - Utica Eisenhower HS,3020
Ravenna,3-7,3,7,,Ravenna HS,8003
North Muskegon,23-11-1,23,11,1,North Muskegon HS,6221
Montague,23-15,23,15,,Montague HS,4010
Hesperia,0-3,0,3,,Hesperia Community HS,7574
Kent City,1-2,1,2,,Kent City HS,3318
Central Montcalm,6-21,6,21,,Stanton - Central Montcalm HS,1726
Grand Rapids NorthPointe Christian,11-4,11,4,,Grand Rapids - NorthPointe Christian HS,4076
Morley Stanwood,1-2,1,2,,Morley Stanwood HS,6691
Lakeview,0-2,0,2,,St Clair Shores - Lakeview HS,2146
Delton Kellogg,0-12,0,12,,Delton Kellogg HS,1536
Vermontville Maple Valley,7-8,7,8,,Vermontville - Maple Valley HS,1156
Springport,5-2,5,2,,Springport HS,7228
Lansing Catholic,22-12,22,12,,Lansing Catholic HS,2435
Potterville,8-14,8,14,,Potterville HS,5108
Durand,10-6,10,6,,Durand Area HS,5165
Bath,1-17,1,17,,Bath HS,5743
Perry,10-21,10,21,,Perry HS,7112
Byron,13-5,13,5,,Byron Center HS,2542
Laingsburg,6-8,6,8,,Laingsburg HS,1338
Ithaca,12-6-1,12,6,1,Ithaca HS,4398
St Louis,2-7,2,7,,St Louis HS,8052
Pewamo-Westphalia,23-11-2,23,11,2,Pewamo-Westphalia HS,6312
Ovid-Elsie,4-8,4,8,,Ovid-Elsie HS,3383
Saranac,7-8,7,8,,Saranac HS,5223
Chesaning,13-3-1,13,3,1,Chesaning HS,1767
St Charles,1-8,1,8,,St Charles HS,5215
Montrose,3-6,3,6,,Montrose Hill-McCloy HS,2377
Hemlock,21-9-2,21,9,2,Hemlock HS,6568
New Lothrop,33-5,33,5,,New Lothrop HS,3664
Grandville Calvin Christian,21-9-1,21,9,1,Grandville - Calvin Christian HS,2575
Holland Black River,5-18,5,18,,Holland - Black River HS,1263
Grand Rapids Covenant Christian,6-4,6,4,,Grand Rapids - Covenant Christian HS,2674
Fennville,3-7,3,7,,Fennville HS,5421
Saugatuck,6-18,6,18,,Saugatuck HS,2880
Coloma,12-6,12,6,,Coloma HS,4126
Bangor,0-18,0,18,,Bangor HS,5090
Bloomingdale,0-13,0,13,,Bloomingdale HS,4497
Watervliet,12-4-1,12,4,1,Watervliet HS,5578
Hartford,6-11,6,11,,Hartford HS,5586
Niles Brandywine,7-6,7,6,,Niles - Brandywine HS,6056
Buchanan,29-4,29,4,,Buchanan HS,6650
Lawton,5-5,5,5,,Lawton HS,7351
Constantine,8-13,8,13,,Constantine HS,6931
Bridgman,25-6-1,25,6,1,Bridgman HS,3243
Galesburg-Augusta,12-10-1,12,10,1,Galesburg-Augusta HS,2427
Centreville,16-8-1,16,8,1,Centreville HS,1676
Climax-Scotts,6-5,6,5,,Climax-Scotts HS,4423
Schoolcraft,4-16,4,16,,Schoolcraft HS,3838
Comstock,11-11-1,11,11,1,Comstock Park HS,2006
Onsted,30-5,30,5,,Onsted HS,4885
Sand Creek,13-14,13,14,,Sand Creek HS,1924
Brooklyn Columbia Central,2-10,2,10,,Brooklyn - Columbia Central HS,1453
Adrian Madison,7-6,7,6,,Adrian - Madison HS,1692
Blissfield,7-6,7,6,,Blissfield HS,7252
Ida,2-7,2,7,,Ida HS,4836
Monroe St Mary Catholic Central,1-5,1,5,,Monroe - St Mary Catholic Central HS,3433
Ottawa Lake Whiteford,11-2,11,2,,Ottawa Lake - Whiteford HS,3755
Erie Mason,6-4,6,4,,Erie-Mason HS,7673
Napoleon,3-7,3,7,,Napoleon HS,3796
Jackson Lumen Christi,7-2,7,2,,Jackson - Lumen Christi HS,3482
Leslie,7-4,7,4,,Leslie HS,5058
Michigan Center,5-6,5,6,,Michigan Center HS,7871
Stockbridge,6-6-1,6,6,1,Stockbridge HS,7608
Clinton,28-11,28,11,,Clinton Township - Chippewa Valley HS,1874
Grass Lake,7-5,7,5,,Grass Lake HS,4431
Manchester,5-2,5,2,,Manchester HS,6717
Ann Arbor Greenhills,9-17,9,17,,Ann Arbor - Greenhills HS,6543
Union City,20-8,20,8,,Union City HS,5330
Bronson,1-7,1,7,,Bronson HS,7368
Quincy,16-14,16,14,,Quincy HS,4258
Homer,7-1,7,1,,Homer HS,1321
Jonesville,2-8,2,8,,Jonesville HS,3474
Hudson,10-6,10,6,,Hudson Area HS,7384
Hanover-Horton,7-4,7,4,,Hanover-Horton HS,2617
Hillsdale,1-8,1,8,,Hillsdale HS,5041
Iron Mountain,0-2,0,2,,Iron Mountain HS,2212
Houghton,7-1,7,1,,Houghton HS,5636
Negaunee,2-4,2,4,,Negaunee HS,5710
Calumet,2-1,2,1,,Calumet HS,7293
Eben Junction Superior Central,1-14,1,14,,Eben Junction - Superior Central HS,5363
Gladstone,6-3-1,6,3,1,Gladstone HS,6130
Newberry,2-10,2,10,,Newberry HS,6700
Menominee,0-3,0,3,,Menominee HS,7120
Harrison,0-2,0,2,,Harrison Township - L'Anse Creuse HS,2022
Roscommon,5-4,5,4,,Roscommon HS,7161
