Unnamed: 0,field,level_x,foul_ft,fop_ft,foul_pct,h_lat,h_long,match,school_id,school_name,students,enrollment,division,level_y,level,h_lon
166.0,Portage Northern High School,high_school,24003.0,89005.0,21.24,-85.5987309,42.2356888,Portage Northern HS,4794.0,Portage Northern HS,1227.0,1227.0,A,high_school,,
167.0,Portland High School,high_school,39688.0,88555.0,30.95,-84.9180249,42.882565,Portland HS,7104.0,Portland HS,567.0,567.0,B,high_school,,
168.0,Portland St. Pats HS,high_school,34252.0,129849.0,20.87,-84.9107754,42.8702585,Portland - St Patrick HS,1908.0,Portland - St Patrick HS,85.0,85.0,D,high_school,,
169.0,Richmond High School,high_school,32748.0,88224.0,27.07,-82.7574992,42.8073051,Richmond HS,1148.0,Richmond HS,469.0,469.0,B,high_school,,
170.0,Rochester Adams HS,high_school,29388.0,93346.0,23.94,-83.1998424,42.6972168,Rochester - Adams HS,6733.0,Rochester - Adams HS,1528.0,1528.0,A,high_school,,
171.0,Rochester Hills Lutheran Northwest HS,high_school,19787.0,71053.0,21.78,-83.1544493,42.6409811,Rochester Hills - Lutheran Northwest HS,3458.0,Rochester Hills - Lutheran Northwest HS,227.0,227.0,C,high_school,,
172.0,Rochester HS,high_school,29531.0,88582.0,25.0,-83.1562451,42.6774369,Rochester Hills - Rochester HS,6824.0,Rochester Hills - Rochester HS,1721.0,1721.0,A,high_school,,
173.0,Rockford HS,high_school,33509.0,99484.0,25.2,-85.5686971,43.0900641,Rockford HS,4183.0,Rockford HS,2480.0,2480.0,A,high_school,,
174.0,Rogers City HS,high_school,18535.0,71875.0,20.5,-83.8041977,45.4175136,Rogers City HS,1577.0,Rogers City HS,192.0,192.0,C,high_school,,
175.0,Rudyard HS,high_school,26169.0,85299.0,23.48,-84.5878023,46.2351548,Rudyard HS,5891.0,Rudyard HS,169.0,169.0,D,high_school,,
176.0,Saginaw Heritage HS,high_school,36530.0,103302.0,26.12,-84.0129481,43.4554596,Saginaw - Heritage HS,4547.0,Saginaw - Heritage HS,1398.0,1398.0,A,high_school,,
177.0,Saginaw Heritage HS - Field 2,high_school,20534.0,98697.0,17.22,-84.0135834,43.4547419,Saginaw - Heritage HS,4547.0,Saginaw - Heritage HS,1398.0,1398.0,A,high_school,,
179.0,Saginaw Swan Valley High School,high_school,21585.0,87095.0,19.86,-84.0822261,43.4116302,Saginaw - Swan Valley HS,2757.0,Saginaw - Swan Valley HS,586.0,586.0,B,high_school,,
180.0,Salem High School,high_school,30248.0,89191.0,25.33,-83.4972427,42.3458381,Canton - Salem HS,3747.0,Canton - Salem HS,2183.0,2183.0,A,high_school,,
182.0,Sand Creek High School - Baseball,high_school,26366.0,79295.0,24.95,-84.1047473,41.8229202,Sand Creek HS,1924.0,Sand Creek HS,265.0,265.0,C,high_school,,
183.0,Sandusky High School,high_school,33614.0,84661.0,28.42,-82.8249717,43.4102931,Sandusky HS,7525.0,Sandusky HS,310.0,310.0,C,high_school,,
184.0,Sexton High School,high_school,25173.0,95742.0,20.82,-84.5795795,42.7327867,Lansing - JW Sexton HS,7830.0,Lansing - JW Sexton HS,713.0,713.0,B,high_school,,
185.0,Shrine HS Royal Oak,high_school,14713.0,97502.0,13.11,-83.1842663,42.5195961,Royal Oak - Shrine Catholic HS,4613.0,Royal Oak - Shrine Catholic HS,241.0,241.0,C,high_school,,
186.0,St Clair HS,high_school,31501.0,87273.0,26.52,-82.5113899,42.824698,St Clair HS,2740.0,St Clair HS,787.0,787.0,B,high_school,,
189.0,St Johns High School,high_school,37094.0,96144.0,27.84,-84.5679294,42.9878827,St Johns HS,3623.0,St Johns HS,922.0,922.0,A,high_school,,
190.0,Standish-Sterling HS,high_school,27613.0,95495.0,22.43,-83.9548964,44.0156178,Standish-Sterling HS,3012.0,Standish-Sterling HS,455.0,455.0,B,high_school,,
191.0,Stevenson Lakeshore HS,high_school,22072.0,89254.0,19.83,-86.4944752,42.0092821,Stevensville - Lakeshore HS,5875.0,Stevensville - Lakeshore HS,864.0,864.0,A,high_school,,
193.0,Traverse City St Frances HS,high_school,14024.0,94785.0,12.89,-85.5597553,44.7118419,Traverse City - St Francis HS,1107.0,Traverse City - St Francis HS,329.0,329.0,C,high_school,,
194.0,Trenton High School,high_school,23234.0,91703.0,20.21,-83.2030684,42.1421346,Trenton HS,1627.0,Trenton HS,841.0,841.0,A,high_school,,
195.0,Troy - Athens High School,high_school,17790.0,85160.0,17.28,-83.111861,42.5828923,Troy - Athens HS,1957.0,Troy - Athens HS,1775.0,1775.0,A,high_school,,
198.0,Ubly high School,high_school,19713.0,86330.0,18.59,-82.9346814,43.7078311,Ubly HS,1395.0,Ubly HS,170.0,170.0,D,high_school,,
