,field,level,size_factor,foul_ft,fop_ft,foul_pct,h_lon,h_lat,home_plate,min_distance,max_distance,avg_distance,median_distance,match,school_id,id
57,Bay City john Glen HS,high_school,300,25783.0,102941.0,20.03,-83.9280232,43.6193164,"43.6193164,-83.9280232",323.0,381.0,361.0,365.0,Bay City - John Glenn HS,1247.0,1247
58,Beal City HS,high_school,300,25698.0,89488.0,22.31,-84.9127615,43.6741539,"43.6741539,-84.9127615",321.0,356.0,343.0,346.0,Mt Pleasant - Beal City HS,5124.0,5124
59,Bellaire HS,high_school,300,22443.0,85075.0,20.87,-85.19125608380878,44.97663506300876,"44.97663506300876,-85.19125608380878",299.0,335.0,324.0,325.0,Bellaire HS,2724.0,2724
60,Benton Harbor HS,high_school,300,32774.0,103161.0,24.11,-86.46242873648274,42.10208032631181,"42.10208032631181,-86.46242873648274",330.0,393.0,355.0,348.0,Benton Harbor HS,7021.0,7021
61,Berrien Springs HS,high_school,300,27513.0,89387.0,23.54,-86.34676304174523,41.94527624505015,"41.94527624505015,-86.34676304174523",301.0,373.0,343.0,345.0,Berrien Springs HS,1346.0,1346
62,Berrien Springs HS- Field 2,high_school,300,16104.0,60210.0,21.1,-86.34916618958593,41.94603598683737,"41.94603598683737,-86.34916618958593",274.0,279.0,276.0,276.0,Berrien Springs HS,1346.0,1346
63,Blanchard Montabella HS,high_school,300,25946.0,92961.0,21.82,-85.0570271,43.462828,"43.462828,-85.0570271",310.0,362.0,345.0,352.0,Blanchard - Montabella HS,4588.0,4588
64,Blissfield HS,high_school,300,20396.0,92349.0,18.09,-83.8684514,41.8222438,"41.8222438,-83.8684514",322.0,364.0,343.0,344.0,Blissfield HS,7252.0,7252
65,Bloomfield Hills Cranbrook Kingswood HS,high_school,300,33458.0,84753.0,28.3,-83.2546705,42.5730994,"42.5730994,-83.2546705",297.0,365.0,330.0,329.0,Bloomfield Hills HS,1069.0,1069
66,Breckenridge HS,high_school,300,22445.0,82497.0,21.39,-84.4724901,43.413141,"43.413141,-84.4724901",305.0,347.0,325.0,322.0,Breckenridge HS,7995.0,7995
67,Bridgman HS,high_school,300,29299.0,94095.0,23.74,-86.5447454,41.9367931,"41.9367931,-86.5447454",319.0,358.0,344.0,346.0,Bridgman HS,3243.0,3243
68,Bronson high School,high_school,300,25822.0,90957.0,22.11,-85.1894145,41.865696,"41.865696,-85.1894145",308.0,377.0,341.0,339.0,Bronson HS,7368.0,7368
69,Brooklyn Columbia Central HS,high_school,300,28721.0,79617.0,26.51,-84.28050182046512,42.08744943886004,"42.08744943886004,-84.28050182046512",295.0,359.0,326.0,323.0,Brooklyn - Columbia Central HS,1453.0,1453
70,Brownstone Woodhaven HS,high_school,300,35410.0,85450.0,29.3,-83.26982889999999,42.121292,"42.121292,-83.26982889999999",314.0,360.0,330.0,330.0,Brownstown Township - Woodhaven HS,4662.0,4662
71,Buchanan HS,high_school,300,22660.0,88476.0,20.39,-86.37097850000001,41.8239409,"41.8239409,-86.37097850000001",306.0,365.0,336.0,338.0,Buchanan HS,6650.0,6650
72,Buckley HS,high_school,300,33903.0,80891.0,29.53,-85.6731449,44.5008812,"44.5008812,-85.6731449",297.0,354.0,324.0,323.0,Buckley HS,8135.0,8135
73,Bullock Creek HS - Midland,high_school,300,29073.0,99260.0,22.65,-84.29441850000001,43.5717901,"43.5717901,-84.29441850000001",311.0,396.0,366.0,373.0,Midland HS,5990.0,5990
74,Burton Bendle HS,high_school,300,17958.0,88460.0,16.87,-83.6588749,42.9713263,"42.9713263,-83.6588749",299.0,379.0,337.0,332.0,Burton - Bendle HS,2476.0,2476
75,Burton Bentley HS,high_school,300,20634.0,97697.0,17.44,-83.58978980000001,43.0249547,"43.0249547,-83.58978980000001",319.0,378.0,354.0,359.0,Burton - Bentley HS,8093.0,8093
76,Cadillac HS,high_school,300,30056.0,99601.0,23.18,-85.41243659808052,44.25171036778424,"44.25171036778424,-85.41243659808052",313.0,376.0,352.0,358.0,Cadillac HS,2914.0,2914
77,Calumet HS,high_school,300,31476.0,84566.0,27.12,-88.4150098185453,47.27486620144298,"47.27486620144298,-88.4150098185453",297.0,359.0,329.0,334.0,Calumet HS,7293.0,7293
78,Camden-Frontier HS,high_school,300,30123.0,76954.0,28.13,-84.7066398,41.7801468,"41.7801468,-84.7066398",294.0,318.0,311.0,312.0,Camden-Frontier HS,5768.0,5768
79,Canton HS,high_school,300,34876.0,95041.0,26.84,-83.49149558809128,42.34417276686442,"42.34417276686442,-83.49149558809128",320.0,376.0,351.0,355.0,Canton - Salem HS,3747.0,3747
80,Carleton Airport HS,high_school,300,21262.0,88074.0,19.45,-83.37652180000001,42.0373919,"42.0373919,-83.37652180000001",312.0,352.0,340.0,347.0,Carleton - Airport HS,4654.0,4654
81,Carson City-Crystal HS,high_school,300,28644.0,89237.0,24.3,-84.8398423,43.1811276,"43.1811276,-84.8398423",314.0,351.0,333.0,334.0,Carson City-Crystal HS,3846.0,3846
82,Cassopolis HS,high_school,300,38899.0,81363.0,32.35,-86.00279620000001,41.8947527,"41.8947527,-86.00279620000001",313.0,329.0,322.0,322.0,Cassopolis - Ross Beatty HS,5776.0,5776
83,Central Lake HS,high_school,300,17407.0,75523.0,18.73,-85.26909015052674,45.0671292656414,"45.0671292656414,-85.26909015052674",292.0,319.0,309.0,310.0,Walled Lake Central HS,5082.0,5082
84,Centreville HS,high_school,300,30617.0,92985.0,24.77,-85.5231062,41.9149684,"41.9149684,-85.5231062",324.0,353.0,342.0,344.0,Centreville HS,1676.0,1676
85,Charlotte HS,high_school,300,35679.0,83501.0,29.94,-84.85511649999999,42.5604691,"42.5604691,-84.85511649999999",308.0,354.0,328.0,323.0,Charlotte HS,3516.0,3516
86,Charlotte HS,high_school,300,36168.0,81966.0,30.62,-84.85512254479295,42.56047812125827,"42.56047812125827,-84.85512254479295",304.0,351.0,321.0,316.0,Charlotte HS,3516.0,3516
87,Cheboygan HS,high_school,300,28930.0,94239.0,23.49,-84.49712839999999,45.6300425,"45.6300425,-84.49712839999999",331.0,360.0,345.0,344.0,Cheboygan Area HS,4150.0,4150
88,Chesaning Union HS,high_school,300,42709.0,93437.0,31.37,-84.1253816,43.1946837,"43.1946837,-84.1253816",320.0,362.0,349.0,353.0,Chesaning HS,1767.0,1767
89,Chesaning Union HS - Field 2,high_school,300,34692.0,83266.0,29.41,-84.1254496,43.1935652,"43.1935652,-84.1254496",298.0,351.0,333.0,338.0,Chesaning HS,1767.0,1767
90,Clare HS,high_school,300,19721.0,93774.0,17.38,-84.7809457,43.8248348,"43.8248348,-84.7809457",331.0,356.0,345.0,346.0,Clare HS,3788.0,3788
91,Clawson HS,high_school,300,25158.0,89206.0,22.0,-83.1551154,42.5415517,"42.5415517,-83.1551154",321.0,355.0,338.0,337.0,Clawson HS,7806.0,7806
92,Clinton HS,high_school,300,23742.0,91577.0,20.59,-83.9647212,42.0745982,"42.0745982,-83.9647212",308.0,363.0,337.0,336.0,Clinton Township - Chippewa Valley HS,1874.0,1874
93,Coleman HS,high_school,300,26901.0,96586.0,21.78,-84.575239,43.7555484,"43.7555484,-84.575239",312.0,362.0,342.0,344.0,Coleman HS,1131.0,1131
94,Concord HS,high_school,300,18588.0,82374.0,18.41,-84.6411052,42.1722524,"42.1722524,-84.6411052",300.0,345.0,322.0,330.0,Concord HS,6353.0,6353
95,Cranbrook HS,high_school,300,33362.0,84811.0,28.23,-83.25467329999999,42.5730964,"42.5730964,-83.25467329999999",298.0,363.0,329.0,330.0,Bloomfield Hills - Cranbrook Kingswood HS,7203.0,7203
96,Croswell-Lexington HS,high_school,300,21506.0,86257.0,19.96,-82.59978014628501,43.26746068076477,"43.26746068076477,-82.59978014628501",317.0,348.0,331.0,332.0,Croswell-Lexington HS,1841.0,1841
97,Dansville HS,high_school,300,38155.0,101273.0,27.37,-84.30747119999999,42.5514233,"42.5514233,-84.30747119999999",327.0,379.0,360.0,364.0,Dansville HS,5132.0,5132
98,Decatur HS,high_school,300,18841.0,93431.0,16.78,-85.9816872,42.1120337,"42.1120337,-85.9816872",309.0,363.0,344.0,349.0,Decatur HS,2311.0,2311
99,Deckerville HS,high_school,300,33690.0,80382.0,29.53,-82.7305137,43.530507,"43.530507,-82.7305137",302.0,353.0,331.0,336.0,Deckerville Community HS,3417.0,3417
100,Detroit Catholic Central HS,high_school,300,18311.0,96537.0,15.94,-83.54344949999999,42.488053,"42.488053,-83.54344949999999",324.0,374.0,351.0,355.0,Novi - Detroit Catholic Central HS,4638.0,4638
101,Detroit Catholic Central HS - Field 2,high_school,300,33484.0,90188.0,27.07,-83.5440067,42.4880269,"42.4880269,-83.5440067",302.0,389.0,346.0,347.0,Detroit Central HS,4811.0,4811
102,Detroit Country Day HS,high_school,300,17029.0,91589.0,15.68,-83.2646187,42.513942,"42.513942,-83.2646187",313.0,378.0,339.0,331.0,Beverly Hills - Detroit Country Day HS,4092.0,4092
103,Dewitt HS,high_school,300,20441.0,84827.0,19.42,-84.58102770000001,42.8262729,"42.8262729,-84.58102770000001",298.0,381.0,333.0,332.0,DeWitt HS,1354.0,1354
